"","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.744","19.432","23.559","38.721","27.693","4","-8.391","3.194","23.659","10.307","16.724","32.131","23.153","27.58","28.858","38.562","45.15","51.224","73.711","65.111","49.676","52.959","52.909","45.36","42.19","52.736","37.836","11.121","13.014","12.905","13.612","9.481","4.978","0.121","6.715","12.715","9.237","13.124","17.363","13.048","22.116","22.453","36.411","35.576","28.034","24.712","25.383","26.757","24.856","27.082","30.484","27.069","30.86","30.144","13.558","17.241","16.266","17.094","15.377","9.201","5.37","9.292","15.966","12.731","15.655","20.651","14.737","16.994","15.949","19.467","21.443","21.086","19.401","20.446","17.735","17.966","19.845","19.872","18.472","25.543","24.186"
"B Annualized Returns","2.466","13.335","17.471","31.293","22.755","6.675","-6.249","-2.199","8.341","5.834","7.251","20.659","8.768","11.557","16.012","14.412","14.484","22.877","57.925","45.449","38.363","39.87","35.872","28.495","32.67","34.241","31.113","9.204","8.246","9.888","9.941","6.865","4.185","0.333","3.879","6.251","6.417","6.829","9.663","5.524","13.322","16.636","22.351","19.108","17.073","17.776","19.301","22.435","20.931","20.736","24.818","22.088","22.374","22.381","11.306","12.204","12.592","12.621","12.49","7.922","3.949","6.407","7.974","8.432","9.371","12.547","9.016","9.656","11.824","11.246","9.551","11.757","14.394","16.53","16.037","16.514","16.269","15.558","15.083","19.911","20.542"
"AR DIFF(P-B)","0.278","6.097","6.088","7.428","4.938","-2.675","-2.142","5.393","15.318","4.473","9.473","11.472","14.385","16.023","12.846","24.15","30.666","28.347","15.786","19.662","11.313","13.089","17.037","16.865","9.52","18.495","6.723","1.917","4.768","3.017","3.671","2.616","0.793","-0.212","2.836","6.464","2.82","6.295","7.7","7.524","8.794","5.817","14.06","16.468","10.961","6.936","6.082","4.322","3.925","6.346","5.666","4.981","8.486","7.763","2.252","5.037","3.674","4.473","2.887","1.279","1.421","2.885","7.992","4.299","6.284","8.104","5.721","7.338","4.125","8.221","11.892","9.329","5.007","3.916","1.698","1.452","3.576","4.314","3.389","5.632","3.644"
"P Volatility","23.42","21.34","21.8","17.26","13.11","12.78","13.61","27.85","37.03","38.27","38.44","38.77","37.27","37.76","36.45","40.36","40.16","38.54","22.38","18.01","16.49","16.06","16.71","15.75","15.33","16.51","11.55","17.11","17.08","17.3","17.64","17.18","16.58","16.8","23.74","29.19","30.33","30.6","30.96","29.95","29.64","28.63","29.15","28.4","28.17","26.86","26.99","25.46","25.72","26.47","25.27","25.54","26.6","26.75","14.7","14.38","14.34","14.61","14.45","14.21","14.28","19.68","24.08","24.91","25.14","25.43","24.58","24.92","24.09","25.69","25.62","25.29","24.29","24.33","23.59","23.93","24.57","23.72","23.81","24.37","24.66"
"B Volatility","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","14.56","14.52","14.47","14.59","14.29","13.9","15.36","18.32","20.44","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","19.77","12.08","12.02","11.95","12.01","12.04","11.95","13.38","15.68","17.27","17.38","17.38","17.53","17.99","18.2","18.22","18.9","18.79","18.56","18.3","18.36","18.56","18.58","18.54","18.53","18.53","18.23","18.48"
"V DIFF(P-B)","4.54","4.29","4.71","4.7","2.92","2.69","-1.58","7.7","13.08","14.48","14.62","14.77","12.28","12.09","10.77","13.14","12.89","14.2","5.72","4.86","2.99","2.12","2.92","3.29","5.03","4.25","0.9","2.55","2.56","2.83","3.05","2.89","2.68","1.44","5.42","8.75","9.73","10.08","10.3","8.65","8.85","7.75","8.88","8.77","8.57","7.26","7.45","6.36","6.69","7.44","6.42","6.69","7.13","6.98","2.62","2.36","2.39","2.6","2.41","2.26","0.899999999999999","4","6.81","7.53","7.76","7.9","6.59","6.72","5.87","6.79","6.83","6.73","5.99","5.97","5.03","5.35","6.03","5.19","5.28","6.14","6.18"
"P Tracking Error","5.96","7.1","7.31","7.41","6.02","6.11","8.61","13.44","19.04","20.46","20.77","20.92","17.29","17.93","15.51","17.28","17.31","16.66","9.78","9.95","9.27","8.74","9.18","9.67","9.36","9.42","7.65","5.82","6.45","6.65","6.84","6.29","6.57","7.06","9.93","13.62","14.71","14.74","14.88","12.73","13.36","11.48","12.5","12.95","12.54","11.04","11.12","10.71","10.95","11.4","11.25","10.92","11.59","11.33","5.41","5.61","5.67","5.82","5.35","5.52","6.3","8.5","11.49","12.27","12.38","12.5","10.81","11.24","9.71","10.63","11.03","10.74","9.31","9.52","9.06","9.33","9.71","9.55","9.37","10.05","9.98"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
