"","2018-01-09_to_2021-01-10_ALLPortfolio_6QRank","2018-02-09_to_2021-02-10_ALLPortfolio_6QRank","2018-03-09_to_2021-03-10_ALLPortfolio_6QRank","2018-04-09_to_2021-04-10_ALLPortfolio_6QRank","2018-05-09_to_2021-05-10_ALLPortfolio_6QRank","2018-06-11_to_2021-06-10_ALLPortfolio_6QRank","2018-07-09_to_2021-07-10_ALLPortfolio_6QRank","2018-08-09_to_2021-08-10_ALLPortfolio_6QRank","2018-09-10_to_2021-09-10_ALLPortfolio_6QRank","2018-10-09_to_2021-10-10_ALLPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.539","16.974","17.5","19.984","19.456","18.373","17.749","18.696","20.466","22.863"
"B Annualized Returns","11.606","13.699","11.385","16.455","15.762","15.073","16.195","15.818","16.321","16.757"
"AR DIFF(P-B)","2.933","3.275","6.115","3.529","3.694","3.3","1.554","2.878","4.145","6.106"
"P Volatility","21.9","21.65","22.58","22.23","21.65","21.92","21.46","21.83","22.15","22.1"
"B Volatility","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","3.03","2.99","4.05","3.67","2.96","3.23","2.81","3.2","3.5","3.87"
"P Tracking Error","5","5.32","6.75","6.64","6.04","6.35","5.84","6.29","6.88","6.73"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.59","0.62","0.91","0.53","0.61","0.52","0.27","0.46","0.6","0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.12","-0.04","0.29","0.15","0.16","0.1","0.08","0.11","0.17","0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.13","1.18","1.15","1.12","1.13","1.11","1.13","1.14","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.09","95.12","92.95","92.51","93.06","92.62","93.36","92.72","91.44","92.39"
"B R-Squared","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.0184","-38.1661","-38.8204","-38.627","-37.722","-38.3269","-38.0939","-38.3243","-38.8033","-38.8756"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.0934","-4.2411","-4.8954","-4.70200000000001","-3.797","-4.4019","-4.1689","-4.3993","-4.8783","-4.9506"
