"","2016-06-27_to_2018-06-28_CorePortfolio_4QRank","2016-07-27_to_2018-07-28_CorePortfolio_4QRank","2016-08-29_to_2018-08-28_CorePortfolio_4QRank","2016-09-27_to_2018-09-28_CorePortfolio_4QRank","2016-10-27_to_2018-10-28_CorePortfolio_4QRank","2016-11-28_to_2018-11-28_CorePortfolio_4QRank","2016-12-27_to_2018-12-28_CorePortfolio_4QRank","2017-01-27_to_2019-01-28_CorePortfolio_4QRank","2017-02-27_to_2019-02-28_CorePortfolio_4QRank","2017-03-27_to_2019-03-28_CorePortfolio_4QRank","2017-04-27_to_2019-04-28_CorePortfolio_4QRank","2017-05-30_to_2019-05-28_CorePortfolio_4QRank","2017-06-27_to_2019-06-28_CorePortfolio_4QRank","2017-07-27_to_2019-07-28_CorePortfolio_4QRank","2017-08-28_to_2019-08-28_CorePortfolio_4QRank","2017-09-27_to_2019-09-28_CorePortfolio_4QRank","2017-10-27_to_2019-10-28_CorePortfolio_4QRank","2017-11-27_to_2019-11-28_CorePortfolio_4QRank","2017-12-27_to_2019-12-28_CorePortfolio_4QRank","2018-01-29_to_2020-01-28_CorePortfolio_4QRank","2018-02-27_to_2020-02-28_CorePortfolio_4QRank","2018-03-27_to_2020-03-28_CorePortfolio_4QRank","2018-04-27_to_2020-04-28_CorePortfolio_4QRank","2018-05-29_to_2020-05-28_CorePortfolio_4QRank","2018-06-27_to_2020-06-28_CorePortfolio_4QRank","2018-07-27_to_2020-07-28_CorePortfolio_4QRank","2018-08-27_to_2020-08-28_CorePortfolio_4QRank","2018-09-27_to_2020-09-28_CorePortfolio_4QRank","2018-10-29_to_2020-10-28_CorePortfolio_4QRank","2018-11-27_to_2020-11-28_CorePortfolio_4QRank","2018-12-27_to_2020-12-28_CorePortfolio_4QRank","2019-01-28_to_2021-01-28_CorePortfolio_4QRank","2019-02-27_to_2021-02-28_CorePortfolio_4QRank","2019-03-27_to_2021-03-28_CorePortfolio_4QRank","2019-04-29_to_2021-04-28_CorePortfolio_4QRank","2019-05-28_to_2021-05-28_CorePortfolio_4QRank","2019-06-27_to_2021-06-28_CorePortfolio_4QRank","2019-07-29_to_2021-07-28_CorePortfolio_4QRank","2019-08-27_to_2021-08-28_CorePortfolio_4QRank","2019-09-27_to_2021-09-28_CorePortfolio_4QRank","2019-10-28_to_2021-10-28_CorePortfolio_4QRank","2019-11-27_to_2021-11-28_CorePortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.896","14.395","16.119","16.422","12.122","12.254","6.177","9.785","10.1","11.727","12.142","9.21","12.712","12.133","11.283","12.667","12.191","10.656","9.329","9.58","3.448","-4.518","1.707","3.997","3.81","5.39","4.881","3.446","8.25","13.398","19.996","17.822","16.23","19.172","16.998","21.405","18.62","18.098","24.714","19.782","20.866","15.834"
"B Annualized Returns","16.5","14.063","15.301","16.127","11.661","11.633","4.663","7.328","8.386","9.638","10.953","7.791","10.254","10.576","8.698","8.692","8.504","10.103","9.899","7.161","3.749","-1.369","3.55","6.13","5.575","6.834","10.018","7.226","11.285","16.444","22.441","19.659","16.826","19.028","19.222","22.448","21.053","20.694","25.327","21.163","22.94","20.703"
"AR DIFF(P-B)","2.396","0.331999999999999","0.818","0.295000000000002","0.461","0.621","1.514","2.457","1.714","2.089","1.189","1.419","2.458","1.557","2.585","3.975","3.687","0.553000000000001","-0.569999999999999","2.419","-0.301","-3.149","-1.843","-2.133","-1.765","-1.444","-5.137","-3.78","-3.035","-3.046","-2.445","-1.837","-0.596","0.144000000000002","-2.224","-1.043","-2.433","-2.596","-0.613000000000003","-1.381","-2.074","-4.869"
"P Volatility","7.68","7.27","7.43","7.29","6.66","8.91","8.93","12.02","12.92","13.11","12.82","12.7","13.86","14.27","14.28","14.28","14.29","14.35","14.55","14.83","14.13","15.74","19.56","22.05","22.04","21.76","22.37","21.95","21.9","21.71","22.29","21.74","21.83","21.36","21.37","21.13","20.77","20.9","21.25","21.19","21.16","20.77"
"B Volatility","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","0.239999999999999","0.0499999999999998","0.0299999999999994","-0.16","-0.42","-0.220000000000001","-0.19","0.359999999999999","0.289999999999999","0.379999999999999","0.0700000000000003","-0.25","-0.18","-0.460000000000001","-0.440000000000001","-0.550000000000001","-0.520000000000001","-0.41","-0.34","0.300000000000001","0","0.290000000000001","1.44","1.78","1.56","1.38","1.75","0.84","1.3","0.93","1.8","1.71","1.74","1.25","1.24","1.78","1.76","1.89","2.43","2.36","1.71","0.989999999999998"
"P Tracking Error","2.1","2.01","2.27","2.41","2.3","2.03","2.46","2.49","2.6","2.8","3.08","2.69","2.55","2.6","3.09","3.45","4.11","2.97","2.84","2.94","2.49","2.17","3.09","3.2","3.23","3.35","3.61","4.05","4.34","4.44","4.77","4.39","4.27","3.84","5.38","5.05","5.41","5.72","5.54","5.04","4.37","5.43"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.14","0.17","0.36","0.12","0.2","0.31","0.62","0.99","0.66","0.75","0.39","0.53","0.96","0.6","0.84","1.15","0.9","0.19","-0.2","0.82","-0.12","-1.45","-0.6","-0.67","-0.55","-0.43","-1.42","-0.93","-0.7","-0.69","-0.51","-0.42","-0.14","0.04","-0.41","-0.21","-0.45","-0.45","-0.11","-0.27","-0.47","-0.9"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.19","0.07","0.13","0.13","0.2","0.03","0.15","0.14","0.09","0.2","0.15","0.1","0.19","0.17","0.21","0.43","0.36","0.08","0.02","0.16","0","-0.14","-0.17","-0.23","-0.1","-0.21","-0.3","-0.43","-0.31","-0.28","-0.24","-0.21","-0.19","-0.09","-0.19","-0.23","-0.14","-0.23","-0.2","-0.28","-0.21","-0.32"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
