"","1 Y 2018-08-14 to 2020-08-15","1 Y 2018-09-14 to 2020-09-15","1 Y 2018-10-15 to 2020-10-15","1 Y 2018-11-14 to 2020-11-15","1 Y 2018-12-14 to 2020-12-15","1 Y 2019-01-14 to 2021-01-15","1 Y 2019-02-14 to 2021-02-15","1 Y 2019-03-14 to 2021-03-15","1 Y 2019-04-15 to 2021-04-15","1 Y 2019-05-14 to 2021-05-15","1 Y 2019-06-14 to 2021-06-15","1 Y 2019-07-15 to 2021-07-15","1 Y 2019-08-14 to 2021-08-15","1 Y 2019-09-16 to 2021-09-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.005","3.302","9.571","11.243","13.182","13.098","14.932","69.217","54.369","57.721","42.707","37.288","36.9","38.592","6.603","4.273","9.97","12.73","19.222","19.618","16.754","16.436","16.833","19.715","18.666","16.821","22.995","20.189"
"B Annualized Returns","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.323","38.479","35.129","32.447","32.074","9.396","8.519","11.34","15.198","20.496","20.017","17.795","16.814","19.774","20.997","21.258","20.474","25.416","23.14"
"AR DIFF(P-B)","-6.44","-10.148","-6.941","-4.533","-2.584","-0.513","0.9","7.526","4.535","11.398","4.228","2.159","4.453","6.518","-2.793","-4.246","-1.37","-2.468","-1.274","-0.399000000000001","-1.041","-0.378","-2.941","-1.282","-2.592","-3.653","-2.421","-2.951"
"P Volatility","26.4","26.61","25.26","26.43","29.33","29.72","27.03","15.91","13.8","14.38","13.92","13.5","13.88","12.88","22.66","22.97","21.21","21.95","21.91","21.54","21.36","20.73","21.55","21.24","20.94","20.16","20.55","20.88"
"B Volatility","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","3.09","2.53","0.48","1.48","2.25","2.59","2.5","-1.87","-0.77","-0.309999999999999","-0.949999999999999","-1.07","0.220000000000001","1.15","2.04","1.86","0.609999999999999","1.17","1.42","1.51","1.35","0.68","1.55","2.03","2.07","1.29","1.87","2.18"
"P Tracking Error","4.31","4.83","5.37","5.96","6.11","6.83","6.95","8.83","8.84","9.08","8.14","8.79","8.01","8.18","3.6","4.4","4.43","4.32","4.42","4.83","4.95","6.6","6.79","7.04","6.64","6.75","6.89","6.97"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-1.49","-2.1","-1.29","-0.76","-0.42","-0.08","0.13","0.85","0.51","1.26","0.52","0.25","0.56","0.8","-0.78","-0.96","-0.31","-0.57","-0.29","-0.08","-0.21","-0.06","-0.43","-0.18","-0.39","-0.54","-0.35","-0.42"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.61","-1.19","-0.64","-0.37","-0.23","-0.29","-0.62","0.92","1.04","0.99","1.07","0.88","0.91","0.75","-0.22","-0.44","-0.18","-0.22","-0.14","-0.21","-0.41","-0.18","-0.15","-0.2","-0.22","-0.22","-0.2","-0.3"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.09","1","1.03","1.06","1.07","1.07","0.78","0.76","0.79","0.79","0.75","0.84","0.86","1.09","1.07","1.01","1.04","1.05","1.05","1.04","0.98","1.02","1.04","1.05","1.01","1.04","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","98.38","97.07","94.98","94.46","95.54","94.56","93.06","72.67","61.27","60.89","67.71","61.18","65.57","56.99","98.03","96.59","95.43","96.07","95.95","94.94","94.5","89.4","89.65","88.65","89.72","88.26","88.33","88.58"
