"","2017-04-18_to_2020-04-19_CorePortfolio_12QRank","2017-05-18_to_2020-05-19_CorePortfolio_12QRank","2017-06-19_to_2020-06-19_CorePortfolio_12QRank","2017-07-18_to_2020-07-19_CorePortfolio_12QRank","2017-08-18_to_2020-08-19_CorePortfolio_12QRank","2017-09-18_to_2020-09-19_CorePortfolio_12QRank","2017-10-18_to_2020-10-19_CorePortfolio_12QRank","2017-11-20_to_2020-11-19_CorePortfolio_12QRank","2017-12-18_to_2020-12-19_CorePortfolio_12QRank","2018-01-18_to_2021-01-19_CorePortfolio_12QRank","2018-02-20_to_2021-02-19_CorePortfolio_12QRank","2018-03-19_to_2021-03-19_CorePortfolio_12QRank","2018-04-18_to_2021-04-19_CorePortfolio_12QRank","2018-05-18_to_2021-05-19_CorePortfolio_12QRank","2018-06-18_to_2021-06-19_CorePortfolio_12QRank","2018-07-18_to_2021-07-19_CorePortfolio_12QRank","2018-08-20_to_2021-08-19_CorePortfolio_12QRank","2018-09-18_to_2021-09-19_CorePortfolio_12QRank","2018-10-18_to_2021-10-19_CorePortfolio_12QRank","2018-11-19_to_2021-11-19_CorePortfolio_12QRank","2018-12-18_to_2021-12-19_CorePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","5.027","4.866","6.021","7.237","9.606","8.69","9.495","10.535","10.852","10.973","11.686","12.664","15.89","16.122","14.016","16.596","17.213","13.767","17.389","19.053","20.976"
"B Annualized Returns","7.066","7.291","8.075","9.433","11.616","9.845","10.173","11.526","11.293","10.71","12.879","12.974","15.376","14.874","14.511","14.758","15.532","15.138","17.709","20.394","22.161"
"AR DIFF(P-B)","-2.039","-2.425","-2.054","-2.196","-2.01","-1.155","-0.678000000000001","-0.991","-0.440999999999999","0.263","-1.193","-0.31","0.514000000000001","1.248","-0.494999999999999","1.838","1.681","-1.371","-0.32","-1.341","-1.185"
"P Volatility","16.41","17.44","17.52","17.43","17.82","18.02","18.03","18.09","19.36","19.46","19.17","19.18","19.49","19.63","19.54","19.87","20.1","19.82","19.78","20.17","19.69"
"B Volatility","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71","17.62"
"V DIFF(P-B)","0.970000000000001","0.390000000000001","0.32","0.239999999999998","0.41","0.259999999999998","0.0400000000000027","0.0199999999999996","0.359999999999999","0.59","0.48","0.609999999999999","0.84","0.849999999999998","0.759999999999998","1.13","1.38","1.08","1.34","1.46","2.07"
"P Tracking Error","3.63","3.68","3.38","3.47","3.41","3.69","3.82","3.93","4.08","3.96","4.08","3.87","4.1","4.08","4.24","4.64","4.79","4.23","4.25","4.06","4.79"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
