"","1 Y 2017-08-15 to 2020-08-16","1 Y 2017-09-15 to 2020-09-16","1 Y 2017-10-16 to 2020-10-16","1 Y 2017-11-15 to 2020-11-16","1 Y 2017-12-15 to 2020-12-16","1 Y 2018-01-15 to 2021-01-16","1 Y 2018-02-15 to 2021-02-16","1 Y 2018-03-15 to 2021-03-16","1 Y 2018-04-16 to 2021-04-16","1 Y 2018-05-15 to 2021-05-16","1 Y 2018-06-15 to 2021-06-16","1 Y 2018-07-16 to 2021-07-16","1 Y 2018-08-15 to 2021-08-16","1 Y 2018-09-17 to 2021-09-16","1 Y 2018-10-15 to 2021-10-16","2 Y 2017-08-15 to 2020-08-16","2 Y 2017-09-15 to 2020-09-16","2 Y 2017-10-16 to 2020-10-16","2 Y 2017-11-15 to 2020-11-16","2 Y 2017-12-15 to 2020-12-16","2 Y 2018-01-15 to 2021-01-16","2 Y 2018-02-15 to 2021-02-16","2 Y 2018-03-15 to 2021-03-16","2 Y 2018-04-16 to 2021-04-16","2 Y 2018-05-15 to 2021-05-16","2 Y 2018-06-15 to 2021-06-16","2 Y 2018-07-16 to 2021-07-16","2 Y 2018-08-15 to 2021-08-16","2 Y 2018-09-17 to 2021-09-16","2 Y 2018-10-15 to 2021-10-16","3 Y 2017-08-15 to 2020-08-16","3 Y 2017-09-15 to 2020-09-16","3 Y 2017-10-16 to 2020-10-16","3 Y 2017-11-15 to 2020-11-16","3 Y 2017-12-15 to 2020-12-16","3 Y 2018-01-15 to 2021-01-16","3 Y 2018-02-15 to 2021-02-16","3 Y 2018-03-15 to 2021-03-16","3 Y 2018-04-16 to 2021-04-16","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-15 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","25.935","7.424","14.859","11.153","14.66","14.899","32.162","77.244","55.569","54.979","37.897","37.644","35.639","39.956","39.79","18.877","6.701","12.201","12.253","20.469","21.31","28.681","17.171","16.882","20.366","18.82","18.945","21.492","20.601","20.594","17.457","9.698","10.733","10.182","11.097","11.316","19.446","11.832","13.068","15.819","14.416","15.415","15.201","14.677","17.474"
"B Annualized Returns","18.445","12.636","16.206","16.219","15.933","13.611","13.991","61.478","49.505","46.323","35.17","34.569","32.559","32.074","32.074","9.396","8.256","11.362","15.108","20.572","20.017","17.848","16.648","20.127","20.997","20.899","20.412","24.492","23.186","23.186","11.024","10.588","10.826","12.039","11.232","10.718","12.129","11.86","15.643","15.464","15.062","15.484","16.268","16.276","18.732"
"AR DIFF(P-B)","7.49","-5.212","-1.347","-5.066","-1.273","1.288","18.171","15.766","6.064","8.656","2.727","3.075","3.08000000000001","7.88200000000001","7.716","9.481","-1.555","0.839","-2.855","-0.102999999999998","1.293","10.833","0.523","-3.245","-0.631","-2.079","-1.467","-3","-2.585","-2.592","6.433","-0.889999999999999","-0.093","-1.857","-0.135","0.598000000000001","7.317","-0.0279999999999987","-2.575","0.355","-0.645999999999999","-0.0690000000000008","-1.067","-1.599","-1.258"
"P Volatility","29.85","26.71","26.31","26.54","28.24","28.41","30.49","17.82","13.51","13.88","13.86","13.43","13.07","12.66","12.95","24.4","22.72","21.85","22.12","21.38","20.9","23.3","23","21.74","20.07","20.07","19.55","19.82","20.63","20.6","20.12","18.83","18.76","18.9","19.72","19.79","21.67","21.14","20.11","19.14","19.25","18.95","19.48","20.34","19.78"
"B Volatility","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.73","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7","18.7","17.41","17.76","17.99","18.07","19","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","6.54","2.63","1.53","1.59","1.16","1.28","5.96","0.0399999999999991","-1.06","-0.809999999999999","-1.01","-1.14","-0.59","0.93","1.22","3.78","1.61","1.25","1.34","0.890000000000001","0.869999999999997","3.29","2.95","1.74","0.859999999999999","1.2","0.68","1.14","1.93","1.9","2.71","1.07","0.770000000000003","0.829999999999998","0.719999999999999","0.919999999999998","3.01","2.61","1.55","0.449999999999999","0.559999999999999","0.300000000000001","0.850000000000001","1.69","1.55"
"P Tracking Error","12.49","4.62","4.64","6.44","5.4","5.14","9.38","7.83","8.62","8.7","6.71","7.05","7.55","7.61","7.7","9","3.87","3.78","4.86","4.05","3.8","6.77","6.74","6.72","6.49","5.45","5.34","6.61","6.87","6.86","7.73","3.48","3.41","4.24","3.61","3.45","5.87","5.7","5.66","5.47","4.76","4.65","5.55","5.85","5.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
