"","1 Y 2018-02-13 to 2021-02-14","1 Y 2018-03-13 to 2021-03-14","1 Y 2018-04-13 to 2021-04-14","1 Y 2018-05-14 to 2021-05-14","1 Y 2018-06-13 to 2021-06-14","1 Y 2018-07-13 to 2021-07-14","1 Y 2018-08-13 to 2021-08-14","1 Y 2018-09-13 to 2021-09-14","1 Y 2018-10-15 to 2021-10-14","2 Y 2018-02-13 to 2021-02-14","2 Y 2018-03-13 to 2021-03-14","2 Y 2018-04-13 to 2021-04-14","2 Y 2018-05-14 to 2021-05-14","2 Y 2018-06-13 to 2021-06-14","2 Y 2018-07-13 to 2021-07-14","2 Y 2018-08-13 to 2021-08-14","2 Y 2018-09-13 to 2021-09-14","2 Y 2018-10-15 to 2021-10-14","3 Y 2018-02-13 to 2021-02-14","3 Y 2018-03-13 to 2021-03-14","3 Y 2018-04-13 to 2021-04-14","3 Y 2018-05-14 to 2021-05-14","3 Y 2018-06-13 to 2021-06-14","3 Y 2018-07-13 to 2021-07-14","3 Y 2018-08-13 to 2021-08-14","3 Y 2018-09-13 to 2021-09-14","3 Y 2018-10-15 to 2021-10-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","19.134","65.109","49.817","56.572","47.831","41.363","37.439","38.655","38.178","19.46","18.04","17.823","22.321","21.821","17.765","23.935","18.54","18.673","14.458","12.575","14.79","16.86","15.303","14.581","15.879","13.554","17.08"
"B Annualized Returns","14.201","55.326","44.925","46.323","38.883","36.803","32.447","32.074","32.074","18.304","17.079","19.146","20.997","21.373","20.465","25.416","23.186","23.186","13.105","11.692","15.503","15.464","15.25","16.071","16.306","16.005","18.732"
"AR DIFF(P-B)","4.933","9.78299999999999","4.892","10.249","8.948","4.56","4.992","6.581","6.104","1.156","0.960999999999999","-1.323","1.324","0.448","-2.7","-1.481","-4.646","-4.513","1.353","0.882999999999999","-0.713000000000001","1.396","0.0530000000000008","-1.49","-0.427000000000001","-2.451","-1.652"
"P Volatility","26.76","17.3","13.55","13.61","14.47","13.12","13.53","12.31","12.45","21.44","21.91","20.96","20.36","21.05","20.03","19.66","19.78","19.92","20","20.32","19.54","19.86","20.5","19.52","19.42","19.46","19.08"
"B Volatility","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.73","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7","18.7","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","2.23","-0.48","-1.02","-1.08","-0.399999999999999","-1.45","-0.130000000000001","0.58","0.719999999999999","1.43","1.86","0.960000000000001","1.15","2.18","1.16","0.98","1.08","1.22","1.34","1.79","0.98","1.17","1.81","0.870000000000001","0.790000000000003","0.810000000000002","0.849999999999998"
"P Tracking Error","6.86","8.19","8.45","8.27","7.5","8.85","7.19","7.95","7.5","4.72","6.42","6.28","6.1","6.17","6.68","5.85","6.97","6.69","4.23","5.41","5.31","5.18","5.27","5.6","4.92","5.9","5.71"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.72","1.19","0.58","1.24","1.19","0.52","0.69","0.83","0.81","0.24","0.15","-0.21","0.22","0.07","-0.4","-0.25","-0.67","-0.67","0.32","0.16","-0.13","0.27","0.01","-0.27","-0.09","-0.42","-0.29"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.3","0.95","1.07","1.07","1.21","0.95","0.84","0.83","0.68","-0.25","-0.13","-0.01","0.06","0.01","-0.15","-0.1","-0.34","-0.34","-0.11","-0.11","-0.03","0.07","-0.01","-0.08","-0.02","-0.16","-0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","0.87","0.76","0.77","0.85","0.72","0.85","0.82","0.86","1.05","1.05","1","1.01","1.07","1","1","0.99","1","1.05","1.06","1.01","1.03","1.06","1","1.01","0.99","1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.99","77.18","63.95","65.78","72.91","60.08","71.11","56.86","61.68","95.12","91.19","90.58","90.61","91.38","88.36","90.72","87","88.18","95.6","93","92.42","93.05","93.51","91.52","93.4","90.54","90.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-37.1586","-19.7699","-8.9155","-8.8624","-7.4019","-7.2518","-7.3933","-6.4106","-6.547","-37.1586","-38.0657","-37.4741","-37.1563","-38.332","-37.56","-36.8865","-37.6319","-37.4079","-37.1586","-38.0657","-37.4741","-37.1563","-38.332","-37.56","-36.8865","-37.6319","-37.4079"
"B Max Drawdown","-33.925","-17.4702","-9.6045","-9.6044","-9.6045","-9.6045","-9.6045","-7.4772","-7.4772","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.2336","-2.2997","0.689","0.742000000000001","2.2026","2.3527","2.2112","1.0666","0.9302","-3.2336","-4.1407","-3.5491","-3.2313","-4.407","-3.63500000000001","-2.9615","-3.7069","-3.4829","-3.2336","-4.1407","-3.5491","-3.2313","-4.407","-3.63500000000001","-2.9615","-3.7069","-3.4829"
