"","2016-09-27_to_2019-09-28_CorePortfolio_5QRank","2016-10-27_to_2019-10-28_CorePortfolio_5QRank","2016-11-28_to_2019-11-28_CorePortfolio_5QRank","2016-12-27_to_2019-12-28_CorePortfolio_5QRank","2017-01-27_to_2020-01-28_CorePortfolio_5QRank","2017-02-27_to_2020-02-28_CorePortfolio_5QRank","2017-03-27_to_2020-03-28_CorePortfolio_5QRank","2017-04-27_to_2020-04-28_CorePortfolio_5QRank","2017-05-30_to_2020-05-28_CorePortfolio_5QRank","2017-06-27_to_2020-06-28_CorePortfolio_5QRank","2017-07-27_to_2020-07-28_CorePortfolio_5QRank","2017-08-28_to_2020-08-28_CorePortfolio_5QRank","2017-09-27_to_2020-09-28_CorePortfolio_5QRank","2017-10-27_to_2020-10-28_CorePortfolio_5QRank","2017-11-27_to_2020-11-28_CorePortfolio_5QRank","2017-12-27_to_2020-12-28_CorePortfolio_5QRank","2018-01-29_to_2021-01-28_CorePortfolio_5QRank","2018-02-27_to_2021-02-28_CorePortfolio_5QRank","2018-03-27_to_2021-03-28_CorePortfolio_5QRank","2018-04-27_to_2021-04-28_CorePortfolio_5QRank","2018-05-29_to_2021-05-28_CorePortfolio_5QRank","2018-06-27_to_2021-06-28_CorePortfolio_5QRank","2018-07-27_to_2021-07-28_CorePortfolio_5QRank","2018-08-27_to_2021-08-28_CorePortfolio_5QRank","2018-09-27_to_2021-09-28_CorePortfolio_5QRank","2018-10-29_to_2021-10-28_CorePortfolio_5QRank","2018-11-27_to_2021-11-28_CorePortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.291","13.741","13.678","13.531","14.154","10.466","2.101","6.289","6.985","6.269","8.387","10.737","8.935","7.118","11.955","11.786","9.46","10.555","14.48","16.326","16.762","17.102","14.477","15.071","13.567","20.188","18.885"
"B Annualized Returns","11.098","12.517","12.736","12.61","12.591","7.618","2.765","6.215","7.891","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","2.193","1.224","0.942","0.921000000000001","1.563","2.848","-0.664","0.0739999999999998","-0.906","-1.272","-0.738999999999999","-2.05","-1.207","-1.083","0.135","0.141999999999999","-0.436999999999999","-1.014","-0.529999999999999","0.212","0.711000000000002","0.434999999999999","-1.498","-0.809000000000001","-0.715999999999999","-0.0950000000000024","-0.766999999999999"
"P Volatility","13.08","12.77","11.98","11.74","11.9","11.8","13.19","16.55","17.57","17.89","17.47","17.95","18.2","18.11","18.08","19.19","19.49","18.94","19.35","19.59","19.99","19.75","19.41","20.28","20.22","19.91","20.05"
"B Volatility","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.74","0.539999999999999","-0.18","-0.49","-0.369999999999999","-0.389999999999999","-0.17","1.11","0.52","0.690000000000001","0.279999999999998","0.539999999999999","0.439999999999998","0.120000000000001","0.00999999999999801","0.190000000000001","0.619999999999997","0.25","0.780000000000001","0.940000000000001","1.21","0.969999999999999","0.670000000000002","1.56","1.48","1.47","1.34"
"P Tracking Error","2.66","2.57","2.17","2.24","2.59","3.2","2.61","3.37","3.29","3.14","3.39","3.35","3.57","3.82","3.85","3.98","3.9","4.15","3.75","3.73","3.79","3.76","4.32","4.21","4.76","4.21","4.28"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.82","0.48","0.43","0.41","0.6","0.89","-0.25","0.02","-0.28","-0.41","-0.22","-0.61","-0.34","-0.28","0.04","0.04","-0.11","-0.24","-0.14","0.06","0.19","0.12","-0.35","-0.19","-0.15","-0.02","-0.18"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.13","0.07","0.11","0.15","0.13","0.22","0.04","-0.02","-0.13","-0.06","-0.1","-0.09","-0.17","-0.1","0","0.03","-0.02","-0.1","-0.09","0.01","0","0.06","-0.1","-0.11","-0.11","-0.06","-0.08"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.04","1.02","0.97","0.94","0.95","0.93","0.97","1.05","1.01","1.02","1","1.01","1","0.98","0.98","0.99","1.01","0.99","1.02","1.03","1.05","1.03","1.01","1.06","1.05","1.06","1.05"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.89","95.89","96.73","96.61","95.43","92.88","96.07","95.96","96.4","96.88","96.13","96.42","96.03","95.45","95.38","95.57","95.89","95.08","96.18","96.36","96.5","96.36","94.92","95.9","94.51","95.69","95.52"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.2421","-19.6288","-19.2231","-18.8504","-18.7316","-18.3722","-37.5206","-37.8081","-37.7363","-37.5535","-37.3772","-37.4997","-37.533","-37.39","-36.9991","-36.1184","-36.5957","-37.2951","-37.8044","-37.4653","-38.0048","-37.5674","-37.3034","-38.3487","-38.2188","-38.2472","-38.7009"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.536099999999998","0.1494","0.555099999999999","0.927799999999998","1.0466","1.406","-3.5956","-3.88310000000001","-3.8113","-3.6285","-3.4522","-3.5747","-3.608","-3.465","-3.0741","-2.1934","-2.6707","-3.3701","-3.8794","-3.5403","-4.07980000000001","-3.6424","-3.37840000000001","-4.4237","-4.2938","-4.3222","-4.7759"
