"","2016-12-28_to_2019-12-29_CorePortfolio_6QRank","2017-01-30_to_2020-01-29_CorePortfolio_6QRank","2017-02-28_to_2020-02-29_CorePortfolio_6QRank","2017-03-28_to_2020-03-29_CorePortfolio_6QRank","2017-04-28_to_2020-04-29_CorePortfolio_6QRank","2017-05-30_to_2020-05-29_CorePortfolio_6QRank","2017-06-28_to_2020-06-29_CorePortfolio_6QRank","2017-07-28_to_2020-07-29_CorePortfolio_6QRank","2017-08-28_to_2020-08-29_CorePortfolio_6QRank","2017-09-28_to_2020-09-29_CorePortfolio_6QRank","2017-10-30_to_2020-10-29_CorePortfolio_6QRank","2017-11-28_to_2020-11-29_CorePortfolio_6QRank","2017-12-28_to_2020-12-29_CorePortfolio_6QRank","2018-01-29_to_2021-01-29_CorePortfolio_6QRank","2018-02-28_to_2021-03-01_CorePortfolio_6QRank","2018-03-28_to_2021-03-29_CorePortfolio_6QRank","2018-04-30_to_2021-04-29_CorePortfolio_6QRank","2018-05-29_to_2021-05-29_CorePortfolio_6QRank","2018-06-28_to_2021-06-29_CorePortfolio_6QRank","2018-07-30_to_2021-07-29_CorePortfolio_6QRank","2018-08-28_to_2021-08-29_CorePortfolio_6QRank","2018-09-28_to_2021-09-29_CorePortfolio_6QRank","2018-10-29_to_2021-10-29_CorePortfolio_6QRank","2018-11-28_to_2021-11-29_CorePortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.266","13.555","7.594","1.981","6.04","6.816","5.958","8.719","10.623","8.991","7.836","14.362","17.003","16.888","13.412","15.754","17.278","15.256","15.538","15.978","15.715","13.621","19.394","18.335"
"B Annualized Returns","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","0.327999999999999","0.746","-0.124","-0.54","-1.175","-1.24","-1.777","-0.906000000000001","-2.164","-0.93","-0.926","2.895","5.509","7.712","0.571000000000002","0.693999999999999","0.552","-0.794999999999998","-0.901","-0.415000000000001","-0.170999999999999","-0.722","-0.947000000000003","-0.896999999999998"
"P Volatility","12.29","12.04","11.77","13.01","16.38","17.86","18.01","18.18","18.4","18.23","17.84","18.54","20.39","21.22","18.74","19.44","20.21","19.73","19.78","19.68","19.94","19.73","19.66","20.42"
"B Volatility","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.0599999999999987","-0.23","-0.42","-0.35","0.94","0.809999999999999","0.810000000000002","0.989999999999998","0.989999999999998","0.469999999999999","-0.149999999999999","0.469999999999999","1.39","2.35","0.299999999999997","0.870000000000001","1.56","0.949999999999999","1","0.940000000000001","1.22","0.990000000000002","1.22","1.71"
"P Tracking Error","2.43","2.45","2.47","2.49","3.19","3.36","3.46","3.45","3.44","3.47","3.75","4.86","5.26","6.23","3.58","3.28","3.79","4.46","4.48","4.01","4.28","4.76","4.21","4.5"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
