"","1 Y 2016-12-13 to 2017-12-14","1 Y 2017-01-13 to 2018-01-14","1 Y 2017-02-13 to 2018-02-14","1 Y 2017-03-13 to 2018-03-14","1 Y 2017-04-13 to 2018-04-14","1 Y 2017-05-15 to 2018-05-14","1 Y 2017-06-13 to 2018-06-14","1 Y 2017-07-13 to 2018-07-14","1 Y 2017-08-14 to 2018-08-14","1 Y 2017-09-13 to 2018-09-14","1 Y 2017-10-13 to 2018-10-14","1 Y 2017-11-13 to 2018-11-14","1 Y 2017-12-13 to 2018-12-14","1 Y 2018-01-15 to 2019-01-14","1 Y 2018-02-13 to 2019-02-14","1 Y 2018-03-13 to 2019-03-14","1 Y 2018-04-13 to 2019-04-14","1 Y 2018-05-14 to 2019-05-14","1 Y 2018-06-13 to 2019-06-14","1 Y 2018-07-13 to 2019-07-14","1 Y 2018-08-13 to 2019-08-14","1 Y 2018-09-13 to 2019-09-14","1 Y 2018-10-15 to 2019-10-14","1 Y 2018-11-13 to 2019-11-14","1 Y 2018-12-13 to 2019-12-14","1 Y 2019-01-14 to 2020-01-14","1 Y 2019-02-13 to 2020-02-14","1 Y 2019-03-13 to 2020-03-14","1 Y 2019-04-15 to 2020-04-14","1 Y 2019-05-13 to 2020-05-14","1 Y 2019-06-13 to 2020-06-14","1 Y 2019-07-15 to 2020-07-14","1 Y 2019-08-13 to 2020-08-14","1 Y 2019-09-13 to 2020-09-14","1 Y 2019-10-14 to 2020-10-14","1 Y 2019-11-13 to 2020-11-14","1 Y 2019-12-13 to 2020-12-14","1 Y 2020-01-13 to 2021-01-14","1 Y 2020-02-13 to 2021-02-14","1 Y 2020-03-13 to 2021-03-14","1 Y 2020-04-13 to 2021-04-14","1 Y 2020-05-13 to 2021-05-14","1 Y 2020-06-15 to 2021-06-14","1 Y 2020-07-13 to 2021-07-14","1 Y 2020-08-13 to 2021-08-14","1 Y 2020-09-14 to 2021-09-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","27.754","33.073","26.401","30.191","27.158","25.109","26.664","27.585","24.839","30.061","11.375","5.468","2.295","-4.029","7.612","3.64","14.072","6.337","4.991","12.462","3.616","4.683","13.94","23.205","28.318","40.302","31.018","1.397","3.733","14.469","17.749","20.283","31.051","28.687","40.398","42.08","41.166","51.058","47.609","62.809","59.119","42.338","45.587","42.629","37.739","45.295"
"B Annualized Returns","17.696","22.56","15.446","16.235","14.056","13.686","14.134","14.441","15.172","16.403","8.404","4.758","-1.963","-7.328","1.745","2.146","9.481","3.82","3.755","7.606","0.023","3.554","7.851","14.623","19.553","27.125","23.106","-3.47","-2.048","0.054","5.176","6.078","18.445","12.899","16.457","15.776","14.331","15.391","14.201","42.264","44.925","46.323","38.883","36.803","32.447","34.539"
"AR DIFF(P-B)","10.058","10.513","10.955","13.956","13.102","11.423","12.53","13.144","9.667","13.658","2.971","0.71","4.258","3.299","5.867","1.494","4.591","2.517","1.236","4.856","3.593","1.129","6.089","8.582","8.765","13.177","7.912","4.867","5.781","14.415","12.573","14.205","12.606","15.788","23.941","26.304","26.835","35.667","33.408","20.545","14.194","-3.985","6.704","5.826","5.29199999999999","10.756"
"P Volatility","5.76","6.33","8.09","9.55","9.76","9.75","9.9","9.87","9.8","11.1","10.9","17.45","18.38","19.46","23.1","23.44","23.36","23.07","24.13","25.57","25.06","25.03","21.09","20.77","15.62","14.64","14.64","15.67","21.7","26.03","25.3","26","26.6","26.38","26.42","27.27","28.78","30.58","28.37","19","15.88","15","16.09","14.84","14.3","12.96"
"B Volatility","4.03","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","1.73","2.27","2.55","1.65","0.82","0.789999999999999","0.860000000000001","0.869999999999999","0.450000000000001","1.58","1.4","4.98","5.83","4.99","6.42","6.83","6.71","6.14","5.48","5.92","5.59","5.42","3.25","2.92","2.05","2.69","2.65","-0.0700000000000003","1.55","2.49","2.38","3.05","3.29","2.3","1.64","2.32","1.7","3.45","3.84","1.22","1.31","0.31","1.22","0.27","0.640000000000001","1.23"
"P Tracking Error","4.33","4.89","4.81","5.57","5.51","5.04","5.08","4.83","5.67","6.62","6.38","7.93","8.3","8.35","8.58","8.64","8.79","8.05","8.26","7.94","7.25","7.05","5.22","6.59","6.69","6.41","5.31","5.71","5.79","6.41","6.89","7.31","7.2","6.01","6.26","6.69","6.33","5.85","8.3","7.53","8.45","6.6","7.57","8.37","8.21","7.76"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","2.32","2.15","2.28","2.51","2.38","2.27","2.47","2.72","1.7","2.06","0.47","0.09","0.51","0.4","0.68","0.17","0.52","0.31","0.15","0.61","0.5","0.16","1.17","1.3","1.31","2.06","1.49","0.85","1","2.25","1.82","1.94","1.75","2.63","3.82","3.93","4.24","6.1","4.03","2.73","1.68","-0.6","0.89","0.7","0.64","1.39"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1","0.63","0.42","0.82","0.99","0.63","0.79","0.99","0.67","1.02","0.6","0.18","0.38","0.38","0.34","0.12","0.08","-0.03","0.31","0.5","0.31","0.27","0.44","0.53","0.63","0.49","0.15","0.78","0.51","0.9","1.16","1.15","0.87","1.18","1.59","1.75","1.84","2.08","1.22","1.3","0.95","0.29","0.32","0.6","0.76","0.68"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.94","0.99","1.19","0.98","0.91","0.93","0.94","0.96","0.87","0.94","0.93","1.28","1.35","1.24","1.33","1.36","1.34","1.32","1.24","1.27","1.26","1.25","1.16","1.11","1.04","1.11","1.15","0.93","1.04","1.07","1.06","1.09","1.1","1.07","1.04","1.06","1.04","1.11","1.11","0.98","0.93","0.92","0.96","0.85","0.87","0.89"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","37.19","33.68","62.45","62.22","65.39","70.68","71.1","73.54","64.64","60.78","62.29","81.39","83.79","83.07","90.84","92.2","90.97","92.42","90.77","93.91","95.19","95.46","95.12","89.77","79.76","79.53","87.01","85.79","92.22","93.76","92.14","91.94","92.78","94.66","93.89","93.67","94.76","97.03","91.51","82.6","69.03","79.18","75.57","66.98","65.19","61.27"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-2.8403","-3.0295","-9.7051","-9.6792","-9.3189","-9.7398","-9.4285","-9.5714","-9.2109","-9.3753","-11.0801","-15.8591","-16.4857","-25.5333","-24.8311","-24.3996","-24.8585","-24.5815","-24.2909","-24.3364","-24.4975","-23.8204","-18.4106","-17.0864","-11.9428","-7.8993","-8.2074","-29.1112","-35.597","-35.3055","-34.6787","-35.2967","-36.3224","-35.5504","-35.0979","-35.6365","-35.3016","-36.1417","-36.0357","-17.4625","-11.8255","-10.6594","-10.3135","-10.1502","-10.1678","-9.5035"
"B Max Drawdown","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.2973","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-17.4702","-9.6044","-9.6044","-9.6044","-9.6044","-9.6044","-7.4772"
"MD DIFF(P-B)","-0.0434999999999999","-0.2327","0.4544","0.4803","0.8406","0.419699999999999","0.731","0.588099999999999","0.948599999999999","0.7842","-0.920500000000001","-5.6996","-5.1985","-5.7551","-5.0529","-4.6214","-5.0803","-4.8033","-4.5127","-4.5582","-4.7193","-4.0422","-1.964","-1.344","-0.6455","-1.0631","-1.3713","-2.3696","-1.672","-1.3805","-0.753700000000002","-1.3717","-2.3974","-1.62540000000001","-1.17290000000001","-1.7115","-1.3766","-2.2167","-2.1107","0.00769999999999982","-2.2211","-1.055","-0.709099999999999","-0.5458","-0.5634","-2.0263"
