"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.051","25.827","33.666","28.375","25.487","35.53","37.66","27.863","37.228","55.673","50.036","38.05","46.584","39.126","38.495","33.496","44.175","35.332","15.023","19.689","17.992","14.984","23.74","29.607","37.789","29.799","27.883","27.734","30.837","31.199","30.393","31.385","36.512","32.325","36.007","34.074"
"B Annualized Returns","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709"
"AR DIFF(P-B)","14.043","17.687","13.717","16.324","16.844","20.205","21.96","14.75","10.884","4.317","6.765","-0.712000000000003","6.01900000000001","3.504","9.085","2.796","5.044","6.703","9.051","11.863","8.273","8.181","12.659","14.454","15.824","12.097","9.94","9.396","11.27","8.291","10.037","10.281","11.554","11.308","13.061","12.365"
"P Volatility","27.22","25.29","25.99","25.86","25.5","26.11","27.2","27.84","20.16","19.77","16.82","15.4","15.42","14.7","15.31","13.69","15.46","14.05","24.46","24.22","24.27","22.53","21.64","21.95","20.44","20.71","19.68","19.26","19.96","19.35","19.25","19.14","19.14","18.61","19.54","19.65"
"B Volatility","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","3.08","2.34","2.68","1.78","0.719999999999999","1.16","0.120000000000001","0.710000000000001","2.06","1.67","1.86","0.33","0.17","-0.25","1.24","1.48","2.05","3.06","3.98","3.84","3.65","1.81","1.04","1.17","-0.0499999999999972","0.68","-0.43","-0.849999999999998","-0.169999999999998","0","-0.210000000000001","0.129999999999999","0.32","-0.219999999999999","0.0899999999999999","-0.130000000000003"
"P Tracking Error","6.51","6.25","6.57","5.97","5.88","5.02","5.03","5.62","6.46","7.43","7.72","5.8","6.28","6.29","7.25","6.03","6.14","5.56","7.03","6.71","6.36","5.29","5.33","4.96","4.99","5.09","5.85","6.54","6.58","6.49","6.76","6.55","7.66","6.33","6.09","6.09"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
