"","1 Y 2018-02-13 to 2020-02-14","1 Y 2018-03-13 to 2020-03-14","1 Y 2018-04-13 to 2020-04-14","1 Y 2018-05-14 to 2020-05-14","1 Y 2018-06-13 to 2020-06-14","1 Y 2018-07-13 to 2020-07-14","1 Y 2018-08-13 to 2020-08-14","1 Y 2018-09-13 to 2020-09-14","1 Y 2018-10-15 to 2020-10-14","1 Y 2018-11-13 to 2020-11-14","1 Y 2018-12-13 to 2020-12-14","1 Y 2019-01-14 to 2021-01-14","1 Y 2019-02-13 to 2021-02-14","1 Y 2019-03-13 to 2021-03-14","1 Y 2019-04-15 to 2021-04-14","1 Y 2019-05-13 to 2021-05-14","1 Y 2019-06-13 to 2021-06-14","1 Y 2019-07-15 to 2021-07-14","1 Y 2019-08-13 to 2021-08-14","1 Y 2019-09-13 to 2021-09-14","2 Y 2018-02-13 to 2020-02-14","2 Y 2018-03-13 to 2020-03-14","2 Y 2018-04-13 to 2020-04-14","2 Y 2018-05-14 to 2020-05-14","2 Y 2018-06-13 to 2020-06-14","2 Y 2018-07-13 to 2020-07-14","2 Y 2018-08-13 to 2020-08-14","2 Y 2018-09-13 to 2020-09-14","2 Y 2018-10-15 to 2020-10-14","2 Y 2018-11-13 to 2020-11-14","2 Y 2018-12-13 to 2020-12-14","2 Y 2019-01-14 to 2021-01-14","2 Y 2019-02-13 to 2021-02-14","2 Y 2019-03-13 to 2021-03-14","2 Y 2019-04-15 to 2021-04-14","2 Y 2019-05-13 to 2021-05-14","2 Y 2019-06-13 to 2021-06-14","2 Y 2019-07-15 to 2021-07-14","2 Y 2019-08-13 to 2021-08-14","2 Y 2019-09-13 to 2021-09-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","36.454","-0.957","0.482","6.712","15.568","16.428","30.898","33.691","43.324","35.198","33.527","47.496","38.62","58.286","61.309","45.979","40.005","46.655","38.314","48.843","20.122","1.214","6.043","4.849","10.588","12.575","16.971","18.131","27.51","24.023","27.586","37.23","31.698","22.781","26.792","21.285","22.322","28.58","30.612","33.119"
"B Annualized Returns","23.106","-3.47","-2.048","0.054","5.176","6.078","18.445","12.899","16.457","15.776","14.331","15.391","14.201","55.326","44.925","46.323","38.883","36.803","32.447","32.074","11.917","-0.702","3.097","2.568","4.677","6.903","9.396","7.912","12.616","15.198","18.417","20.585","18.304","17.079","19.146","20.997","21.373","20.465","25.416","22.839"
"AR DIFF(P-B)","13.348","2.513","2.53","6.658","10.392","10.35","12.453","20.792","26.867","19.422","19.196","32.105","24.419","2.96","16.384","-0.344000000000001","1.122","9.852","5.867","16.769","8.205","1.916","2.946","2.281","5.911","5.672","7.575","10.219","14.894","8.825","9.169","16.645","13.394","5.702","7.646","0.288","0.948999999999998","8.115","5.196","10.28"
"P Volatility","12.74","15.73","25","31.98","30.55","30.11","30.72","30.76","27.38","27.66","27.64","30.45","28.29","17.41","16.34","14.74","14.07","14.95","13.71","13.03","17.18","18.57","23.06","27.05","26.95","26.2","26.18","26.58","22.16","21.99","19.99","21.94","20.98","18.46","21.41","19.75","19.11","20.74","20.11","21.4"
"B Volatility","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","0.75","-0.00999999999999979","4.85","8.44","7.63","7.16","7.41","6.68","2.6","2.71","0.560000000000002","3.32","3.76","-0.370000000000001","1.77","0.0500000000000007","-0.799999999999999","0.379999999999999","0.0500000000000007","1.3","3.05","3.12","4.94","6.78","6.47","5.82","5.56","5.47","1.56","1.21","-0.5","1.91","0.969999999999999","-1.59","1.41","0.539999999999999","0.239999999999998","1.87","1.43","2.7"
"P Tracking Error","6.26","6.18","9.24","11.33","10.8","11.01","11.44","11.3","8.01","8.82","7.8","8.41","8.84","8.64","9.34","9.29","9.48","9.36","7.98","7.57","6.86","7.34","8.62","9.44","9.42","8.91","8.71","9.53","7.18","7.8","8.01","7.99","8.01","8.81","8.14","7.96","8.4","8.48","7.77","7.55"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","2.13","0.41","0.27","0.59","0.96","0.94","1.09","1.84","3.35","2.2","2.46","3.82","2.76","0.34","1.75","-0.04","0.12","1.05","0.74","2.22","1.2","0.26","0.34","0.24","0.63","0.64","0.87","1.07","2.07","1.13","1.14","2.08","1.67","0.65","0.94","0.04","0.11","0.96","0.67","1.36"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.67","0.91","0.34","0.26","1.11","0.83","0.56","1.52","1.65","1.23","1.36","1.81","0.62","0.84","1.4","0.65","0.83","0.95","1.06","0.96","0.43","0.41","0.23","-0.03","0.58","0.54","0.41","0.77","0.93","0.65","0.84","1.01","0.66","0.57","0.7","0.17","0.28","0.61","0.45","0.55"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
