"","1 Y 2018-08-14 to 2020-08-15","1 Y 2018-09-14 to 2020-09-15","1 Y 2018-10-15 to 2020-10-15","1 Y 2018-11-14 to 2020-11-15","1 Y 2018-12-14 to 2020-12-15","1 Y 2019-01-14 to 2021-01-15","1 Y 2019-02-14 to 2021-02-15","1 Y 2019-03-14 to 2021-03-15","1 Y 2019-04-15 to 2021-04-15","1 Y 2019-05-14 to 2021-05-15","1 Y 2019-06-14 to 2021-06-15","1 Y 2019-07-15 to 2021-07-15","1 Y 2019-08-14 to 2021-08-15","1 Y 2019-09-16 to 2021-09-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","36.434","35.411","44.665","41.841","44.698","44.611","45.1","97.03","63.438","46","44.671","47.317","36.158","42.726","21.24","20.072","24.472","29.459","37.45","37.329","34.125","29.092","30.112","25.316","26.141","27.684","29.432","29.899"
"B Annualized Returns","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.323","38.479","35.129","32.447","32.074","9.396","8.519","11.34","15.198","20.496","20.017","17.795","16.814","19.774","20.997","21.258","20.474","25.416","23.14"
"AR DIFF(P-B)","17.989","21.961","28.153","26.065","28.932","31","31.068","35.339","13.604","-0.323","6.192","12.188","3.711","10.652","11.844","11.553","13.132","14.261","16.954","17.312","16.33","12.278","10.338","4.319","4.883","7.21","4.016","6.759"
"P Volatility","29.46","30.46","31.26","29.28","30.67","30.56","30.76","21.95","17.22","14.52","14.21","15.07","13.63","12.74","25.62","26.74","25.16","23.73","22.79","22.33","23.12","23.21","20.95","20.15","19.55","20.66","19","18.49"
"B Volatility","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","6.15","6.38","6.48","4.33","3.59","3.43","6.23","4.17","2.65","-0.17","-0.659999999999998","0.5","-0.0299999999999994","1.01","5","5.63","4.56","2.95","2.3","2.3","3.11","3.16","0.949999999999999","0.939999999999998","0.68","1.79","0.32","-0.210000000000001"
"P Tracking Error","11.08","10.93","10.29","8.63","7.91","7.75","10.36","9.41","10","8.19","8.43","9.34","8.45","7.83","8.73","9.63","8.65","7.66","7.28","7.59","8.59","8.6","8.74","7.91","8.24","8.54","8.32","7.43"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.62","2.01","2.74","3.02","3.66","4","3","3.76","1.36","-0.04","0.73","1.3","0.44","1.36","1.36","1.2","1.52","1.86","2.33","2.28","1.9","1.43","1.18","0.55","0.59","0.84","0.48","0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.98","1.53","1.59","1.66","1.73","1.99","0.84","1.17","0.93","0.64","0.89","0.96","0.9","0.68","0.71","0.78","0.78","0.98","0.94","1.11","0.71","0.67","0.86","0.41","0.44","0.56","0.46","0.54"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.19","1.2","1.21","1.13","1.1","1.09","1.2","1.12","0.96","0.83","0.8","0.83","0.81","0.87","1.18","1.2","1.16","1.08","1.06","1.05","1.07","1.08","0.95","0.97","0.94","1","0.92","0.91"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","86.68","88.39","91.02","91.69","93.46","93.63","90.16","80.67","62.63","67.85","65.94","60.37","61.44","59.7","90.09","88.95","89.36","89.65","89.56","88.1","85.98","86.09","81.98","83.99","81.72","82.1","80.59","83.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-37.5328","-37.7323","-38.1322","-36.0664","-35.3542","-34.9315","-35.8509","-10.1342","-10.4679","-9.0553","-8.6992","-7.9554","-7.9986","-8.4739","-37.5328","-37.7323","-38.1322","-36.0664","-35.3542","-34.9315","-35.8509","-36.3601","-35.1318","-35.3036","-36.2064","-35.836","-34.3232","-35.0895"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6044","-9.6044","-9.6044","-9.6045","-9.6044","-7.4772","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
