"","2015-09-25_to_2018-09-26_GrowthPortfolio_1QRank","2015-10-26_to_2018-10-26_GrowthPortfolio_1QRank","2015-11-25_to_2018-11-26_GrowthPortfolio_1QRank","2015-12-28_to_2018-12-26_GrowthPortfolio_1QRank","2016-01-25_to_2019-01-26_GrowthPortfolio_1QRank","2016-02-25_to_2019-02-26_GrowthPortfolio_1QRank","2016-03-28_to_2019-03-26_GrowthPortfolio_1QRank","2016-04-25_to_2019-04-26_GrowthPortfolio_1QRank","2016-05-25_to_2019-05-26_GrowthPortfolio_1QRank","2016-06-27_to_2019-06-26_GrowthPortfolio_1QRank","2016-07-25_to_2019-07-26_GrowthPortfolio_1QRank","2016-08-25_to_2019-08-26_GrowthPortfolio_1QRank","2016-09-26_to_2019-09-26_GrowthPortfolio_1QRank","2016-10-25_to_2019-10-26_GrowthPortfolio_1QRank","2016-11-25_to_2019-11-26_GrowthPortfolio_1QRank","2016-12-27_to_2019-12-26_GrowthPortfolio_1QRank","2017-01-25_to_2020-01-26_GrowthPortfolio_1QRank","2017-02-27_to_2020-02-26_GrowthPortfolio_1QRank","2017-03-27_to_2020-03-26_GrowthPortfolio_1QRank","2017-04-25_to_2020-04-26_GrowthPortfolio_1QRank","2017-05-25_to_2020-05-26_GrowthPortfolio_1QRank","2017-06-26_to_2020-06-26_GrowthPortfolio_1QRank","2017-07-25_to_2020-07-26_GrowthPortfolio_1QRank","2017-08-25_to_2020-08-26_GrowthPortfolio_1QRank","2017-09-25_to_2020-09-26_GrowthPortfolio_1QRank","2017-10-25_to_2020-10-26_GrowthPortfolio_1QRank","2017-11-27_to_2020-11-26_GrowthPortfolio_1QRank","2017-12-26_to_2020-12-26_GrowthPortfolio_1QRank","2018-01-25_to_2021-01-26_GrowthPortfolio_1QRank","2018-02-26_to_2021-02-26_GrowthPortfolio_1QRank","2018-03-26_to_2021-03-26_GrowthPortfolio_1QRank","2018-04-25_to_2021-04-26_GrowthPortfolio_1QRank","2018-05-25_to_2021-05-26_GrowthPortfolio_1QRank","2018-06-25_to_2021-06-26_GrowthPortfolio_1QRank","2018-07-25_to_2021-07-26_GrowthPortfolio_1QRank","2018-08-27_to_2021-08-26_GrowthPortfolio_1QRank","2018-09-25_to_2021-09-26_GrowthPortfolio_1QRank","2018-10-25_to_2021-10-26_GrowthPortfolio_1QRank","2018-11-26_to_2021-11-26_GrowthPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.057","14.008","14.449","13.068","16.355","11.958","9.678","16.924","15.043","15.86","16.371","14.718","17.714","16.868","13.109","9.666","14.61","20.316","19.071","12.669","14.951","13.044","15.785","33.721","22.309","31.413","25.159","30.723","33.293","13.387","27.519","27.275","24.368","23.564","27.491","22.333","20.072","17.598","27.069"
"B Annualized Returns","14.561","8.672","8.556","6.27","12.377","12.678","11.452","12.073","10.581","13.367","11.734","9.823","11.534","12.143","12.358","12.621","12.775","9.569","3.949","5.899","7.385","7.244","9.087","12.478","9.719","9.953","11.754","11.384","10.66","11.083","14.33","16.6","15.497","16.344","15.794","15.558","15.184","19.096","19.763"
"AR DIFF(P-B)","3.496","5.336","5.893","6.798","3.978","-0.720000000000001","-1.774","4.851","4.462","2.493","4.637","4.895","6.18","4.725","0.750999999999999","-2.955","1.835","10.747","15.122","6.77","7.566","5.8","6.698","21.243","12.59","21.46","13.405","19.339","22.633","2.304","13.189","10.675","8.871","7.22","11.697","6.775","4.888","-1.498","7.306"
"P Volatility","8.53","9.4","14.27","14.26","11.67","10.45","10.73","15.9","17.43","14.31","14.52","15.82","17.23","18.41","17.73","18.54","17.86","15.23","15.44","18.53","20.58","21.35","22.05","26.49","26.54","25.72","23.71","26.87","28.91","23.76","22.41","22.71","24.62","24.17","23.71","20.49","20.89","16.63","20.42"
"B Volatility","9.3","8.27","9.47","9.36","10.52","11.28","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","-0.770000000000001","1.13","4.8","4.9","1.15","-0.83","-0.109999999999999","5.05","6.45","2.47","2.25","3.57","4.89","6.18","5.57","6.31","5.59","3.04","2.08","3.09","3.53","4.15","4.86","9.08","8.78","7.73","5.64","7.87","10.04","5.07","3.84","4.06","5.84","5.39","4.97","1.77","2.15","-1.81","1.71"
"P Tracking Error","4.88","3.71","6.21","6.5","4.79","6.64","4.73","6.96","8.39","5.75","5.05","5.88","6.69","7.83","6.99","8.19","7.97","5.68","9.14","5.43","6.34","6.69","7.34","15.57","13.61","13.64","9.76","12.19","14.75","7.46","8.33","9.11","9.83","9.31","9.38","5.04","4.63","5.26","9.56"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
