"","2016-09-27_to_2019-09-28_GrowthPortfolio_5QRank","2016-10-27_to_2019-10-28_GrowthPortfolio_5QRank","2016-11-28_to_2019-11-28_GrowthPortfolio_5QRank","2016-12-27_to_2019-12-28_GrowthPortfolio_5QRank","2017-01-27_to_2020-01-28_GrowthPortfolio_5QRank","2017-02-27_to_2020-02-28_GrowthPortfolio_5QRank","2017-03-27_to_2020-03-28_GrowthPortfolio_5QRank","2017-04-27_to_2020-04-28_GrowthPortfolio_5QRank","2017-05-30_to_2020-05-28_GrowthPortfolio_5QRank","2017-06-27_to_2020-06-28_GrowthPortfolio_5QRank","2017-07-27_to_2020-07-28_GrowthPortfolio_5QRank","2017-08-28_to_2020-08-28_GrowthPortfolio_5QRank","2017-09-27_to_2020-09-28_GrowthPortfolio_5QRank","2017-10-27_to_2020-10-28_GrowthPortfolio_5QRank","2017-11-27_to_2020-11-28_GrowthPortfolio_5QRank","2017-12-27_to_2020-12-28_GrowthPortfolio_5QRank","2018-01-29_to_2021-01-28_GrowthPortfolio_5QRank","2018-02-27_to_2021-02-28_GrowthPortfolio_5QRank","2018-03-27_to_2021-03-28_GrowthPortfolio_5QRank","2018-04-27_to_2021-04-28_GrowthPortfolio_5QRank","2018-05-29_to_2021-05-28_GrowthPortfolio_5QRank","2018-06-27_to_2021-06-28_GrowthPortfolio_5QRank","2018-07-27_to_2021-07-28_GrowthPortfolio_5QRank","2018-08-27_to_2021-08-28_GrowthPortfolio_5QRank","2018-09-27_to_2021-09-28_GrowthPortfolio_5QRank","2018-10-29_to_2021-10-28_GrowthPortfolio_5QRank","2018-11-27_to_2021-11-28_GrowthPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.913","20.558","18.887","16.99","17.568","13.691","7.407","8.939","13.787","14.053","16.378","21.524","17.175","15.82","28.578","34.512","38.824","37.024","29.736","31.023","26.634","27.832","30.613","30.599","26.899","37.942","35.93"
"B Annualized Returns","11.098","12.517","12.736","12.61","12.591","7.618","2.765","6.215","7.891","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","5.815","8.041","6.151","4.38","4.977","6.073","4.642","2.724","5.896","6.512","7.252","8.737","7.033","7.619","16.758","22.868","28.927","25.455","14.726","14.909","10.583","11.165","14.638","14.719","12.616","17.659","16.278"
"P Volatility","13.76","14.25","15.24","16.71","17.16","16.13","17","21.5","23.65","23.55","23.67","23.17","25.24","24.26","24.68","28.59","28.48","25.79","23.26","24.08","22.84","23.64","24.04","23.89","24.33","22.07","22.32"
"B Volatility","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","1.42","2.02","3.08","4.48","4.89","3.94","3.64","6.06","6.6","6.35","6.48","5.76","7.48","6.27","6.61","9.59","9.61","7.1","4.69","5.43","4.06","4.86","5.3","5.17","5.59","3.63","3.61"
"P Tracking Error","5.24","5.22","5","5.93","6.3","5.79","5.71","7.66","8.41","8.17","8.27","7.97","9.36","8.35","10.07","12.83","13.82","11.18","8.46","9.94","8.96","9.19","10.05","10.5","10.72","9.92","9.42"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
