"","2017-04-18_to_2018-04-19_VGPortfolio_12QRank","2017-05-18_to_2018-05-19_VGPortfolio_12QRank","2017-06-19_to_2018-06-19_VGPortfolio_12QRank","2017-07-18_to_2018-07-19_VGPortfolio_12QRank","2017-08-18_to_2018-08-19_VGPortfolio_12QRank","2017-09-18_to_2018-09-19_VGPortfolio_12QRank","2017-10-18_to_2018-10-19_VGPortfolio_12QRank","2017-11-20_to_2018-11-19_VGPortfolio_12QRank","2017-12-18_to_2018-12-19_VGPortfolio_12QRank","2018-01-18_to_2019-01-19_VGPortfolio_12QRank","2018-02-20_to_2019-02-19_VGPortfolio_12QRank","2018-03-19_to_2019-03-19_VGPortfolio_12QRank","2018-04-18_to_2019-04-19_VGPortfolio_12QRank","2018-05-18_to_2019-05-19_VGPortfolio_12QRank","2018-06-18_to_2019-06-19_VGPortfolio_12QRank","2018-07-18_to_2019-07-19_VGPortfolio_12QRank","2018-08-20_to_2019-08-19_VGPortfolio_12QRank","2018-09-18_to_2019-09-19_VGPortfolio_12QRank","2018-10-18_to_2019-10-19_VGPortfolio_12QRank","2018-11-19_to_2019-11-19_VGPortfolio_12QRank","2018-12-18_to_2019-12-19_VGPortfolio_12QRank","2019-01-18_to_2020-01-19_VGPortfolio_12QRank","2019-02-19_to_2020-02-19_VGPortfolio_12QRank","2019-03-18_to_2020-03-19_VGPortfolio_12QRank","2019-04-18_to_2020-04-19_VGPortfolio_12QRank","2019-05-20_to_2020-05-19_VGPortfolio_12QRank","2019-06-18_to_2020-06-19_VGPortfolio_12QRank","2019-07-18_to_2020-07-19_VGPortfolio_12QRank","2019-08-19_to_2020-08-19_VGPortfolio_12QRank","2019-09-18_to_2020-09-19_VGPortfolio_12QRank","2019-10-18_to_2020-10-19_VGPortfolio_12QRank","2019-11-18_to_2020-11-19_VGPortfolio_12QRank","2019-12-18_to_2020-12-19_VGPortfolio_12QRank","2020-01-21_to_2021-01-19_VGPortfolio_12QRank","2020-02-18_to_2021-02-19_VGPortfolio_12QRank","2020-03-18_to_2021-03-19_VGPortfolio_12QRank","2020-04-20_to_2021-04-19_VGPortfolio_12QRank","2020-05-18_to_2021-05-19_VGPortfolio_12QRank","2020-06-18_to_2021-06-19_VGPortfolio_12QRank","2020-07-20_to_2021-07-19_VGPortfolio_12QRank","2020-08-18_to_2021-08-19_VGPortfolio_12QRank","2020-09-18_to_2021-09-19_VGPortfolio_12QRank","2020-10-19_to_2021-10-19_VGPortfolio_12QRank","2020-11-18_to_2021-11-19_VGPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.928","24.866","26.215","25.624","28.967","23.629","10.886","5.352","-6.424","-1.479","5.224","4.598","5.813","1.776","1.565","1.824","-1.799","2.773","7.467","14.896","27.963","22.815","17.541","-22.714","-9.024","0.526","0.711","3.739","12.216","6.469","13.659","21.056","22.854","24.943","27.388","138.246","89.797","74.995","55.763","52.632","46.357","52.718","61.1","42.709"
"B Annualized Returns","15.181","14.678","12.6","13.366","17.557","16.009","8.028","4.217","-6.508","-4.55","2.344","4.41","7.251","5.417","5.932","6.137","2.338","3.399","7.853","15.96","27.859","24.747","21.814","-14.689","-1.049","2.912","4.86","7.666","16.354","10.399","14.016","15.23","15.725","14.44","15.815","62.41","47.626","40.806","33.74","31.053","30.548","33.651","31.886","31.159"
"AR DIFF(P-B)","5.747","10.188","13.615","12.258","11.41","7.62","2.858","1.135","0.0839999999999996","3.071","2.88","0.188","-1.438","-3.641","-4.367","-4.313","-4.137","-0.626","-0.386","-1.064","0.103999999999999","-1.932","-4.273","-8.025","-7.975","-2.386","-4.149","-3.927","-4.138","-3.93","-0.356999999999999","5.826","7.129","10.503","11.573","75.836","42.171","34.189","22.023","21.579","15.809","19.067","29.214","11.55"
"P Volatility","8.7","8.55","9.35","9.73","9.42","8.81","8.99","14.74","14.93","17.17","20.9","20.77","20.78","20.84","22","23.5","23.65","23.92","21.07","21.07","16.67","13.37","13.59","16.6","24.16","29.29","28.75","29.57","30.94","30.33","31.53","33.52","36.55","36.26","34.55","26.41","19.43","18.86","18.62","19.71","20.63","19.09","21.15","10.98"
"B Volatility","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","-0.24","-0.41","0.31","0.73","0.0700000000000003","-0.709999999999999","-0.51","2.27","2.38","2.7","4.22","4.16","4.13","3.91","3.35","3.85","4.18","4.31","3.23","3.22","3.1","1.42","1.6","0.860000000000001","4.01","5.75","5.83","6.62","7.63","6.25","6.75","8.57","9.47","9.13","9.71","8.31","4.47","3.79","3.37","4.76","6.56","6.88","7.74","-0.00999999999999979"
"P Tracking Error","3.01","3.51","4.49","4.77","5.99","4.83","4.94","5.62","5.82","5.89","6.54","5.54","5.66","5.36","5.07","4.89","5.31","5.32","4.56","4.84","4.56","2.95","2.55","3.36","5.82","7.33","7.28","8.09","8.96","7.82","8.62","10.58","11.38","11.06","11.68","11.89","10.12","9.54","9.05","9.76","11.24","11.37","13.56","8.69"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.91","2.9","3.03","2.57","1.9","1.58","0.58","0.2","0.01","0.52","0.44","0.03","-0.25","-0.68","-0.86","-0.88","-0.78","-0.12","-0.08","-0.22","0.02","-0.65","-1.68","-2.39","-1.37","-0.33","-0.57","-0.49","-0.46","-0.5","-0.04","0.55","0.63","0.95","0.99","6.38","4.17","3.58","2.43","2.21","1.41","1.68","2.15","1.33"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.46","0.66","0.92","1","1.12","0.82","0.76","0.22","0.06","0.25","0.27","0","-0.24","-0.51","-0.38","-0.25","-0.31","-0.02","-0.1","-0.23","-0.34","-0.38","-0.61","-0.35","-0.44","-0.34","-0.43","-0.43","-0.55","-0.71","-0.41","0.1","0.13","0.24","0.11","2.21","1.76","1.55","1.5","1.55","0.94","0.68","1.21","1.52"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.88","0.91","0.94","0.8","0.8","0.81","1.1","1.1","1.12","1.21","1.23","1.22","1.21","1.16","1.18","1.2","1.21","1.17","1.16","1.2","1.1","1.12","1.03","1.18","1.23","1.24","1.27","1.31","1.24","1.25","1.31","1.32","1.31","1.36","1.35","1.11","1.08","1.07","1.16","1.26","1.29","1.23","0.69"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
