"","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","5.479","0.997","3.54","0.393","1.214","6.347","10.791","15.492","23.505","17.29","-7.758","-11.274","-3.155","-2.906","-3.052","13.834","7.143","14.401","12.841","15.879","20.159","24.525","71.641","81.927","77.604","69.283","67.343","53.989","62.561"
"B Annualized Returns","5.814","3.728","8.143","3.022","3.914","8.866","13.273","19.146","25.753","23.911","-1.796","-3.41","4.22","4.245","6.171","15.629","11.012","18.345","15.551","15.619","15.601","14.015","40.552","48.155","41.701","41.482","37.309","33.417","35.898"
"AR DIFF(P-B)","-0.335","-2.731","-4.603","-2.629","-2.7","-2.519","-2.482","-3.654","-2.248","-6.621","-5.962","-7.864","-7.375","-7.151","-9.223","-1.795","-3.869","-3.944","-2.71","0.26","4.558","10.51","31.089","33.772","35.903","27.801","30.034","20.572","26.663"
"P Volatility","19.95","21.16","23.06","23.89","24.03","21.7","22.13","17.72","14.06","14.5","17.37","24.12","29.4","29.02","28.91","30.58","30.4","30.77","30","33.16","33.4","32.43","23.2","19.51","19.59","18.31","19.49","21","19.92"
"B Volatility","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","3.02","2.51","3.41","4.42","4.42","3.86","4.28","4.15","2.11","2.51","1.63","3.97","5.86","6.1","5.96","7.27","6.32","5.99","5.05","6.08","6.27","7.9","5.42","4.94","4.9","3.44","4.92","7.34","8.19"
"P Tracking Error","4.82","4.33","4.34","5.17","5.42","5.02","5.34","5.06","2.93","3.21","3.16","5.01","6.59","7.01","7.1","8.15","7.17","8.04","7.3","8.48","8.73","9.4","10.54","11.3","11.62","9.98","11.17","12.93","13.83"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.07","-0.63","-1.06","-0.51","-0.5","-0.5","-0.46","-0.72","-0.77","-2.06","-1.89","-1.57","-1.12","-1.02","-1.3","-0.22","-0.54","-0.49","-0.37","0.03","0.52","1.12","2.95","2.99","3.09","2.79","2.69","1.59","1.93"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.3","-0.31","-0.26","-0.22","-0.2","-0.23","-0.37","-0.66","-0.48","-0.72","-0.36","-0.47","-0.65","-0.76","-0.67","-0.31","-0.48","-0.63","-0.2","-0.2","0.04","-0.43","1.31","1.65","1.69","1.56","1.69","1.17","1.09"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.15","1.12","1.16","1.22","1.21","1.2","1.22","1.28","1.16","1.2","1.09","1.19","1.24","1.26","1.25","1.3","1.25","1.22","1.18","1.2","1.21","1.3","1.18","1.1","1.08","1.03","1.1","1.23","1.25"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.41","96.53","98.24","98.27","97.7","97.08","97.14","96.16","97.28","97.46","97.05","97.87","98.53","98.02","97.54","97.9","98.25","95.83","95.91","95.72","95.53","96.41","79.06","63.27","61.31","67.06","64.1","60.49","48.74"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.1549","-22.2188","-22.6079","-23.3252","-23.0394","-19.461","-17.7779","-12.7076","-7.8622","-8.0947","-21.6257","-37.7028","-38.5889","-38.8424","-38.4736","-39.5777","-39.067","-39.2592","-38.3159","-38.9565","-38.9375","-39.0154","-22.2444","-14.4572","-14.8453","-8.7334","-8.9447","-8.7384","-7.7459"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.3151","-6.8361","-6.8361","-19.0414","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-18.3842","-9.6045","-9.6044","-9.6045","-9.6045","-9.6044","-7.4772"
"MD DIFF(P-B)","-2.3767","-2.4406","-2.8297","-3.547","-3.2612","-3.0144","-2.0355","-1.3925","-1.0261","-1.2586","-2.5843","-3.77780000000001","-4.66390000000001","-4.9174","-4.5486","-5.6527","-5.142","-5.3342","-4.3909","-5.0315","-5.0125","-5.0904","-3.8602","-4.8527","-5.2409","0.8711","0.659800000000001","0.866","-0.2687"
