"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.597","0.652","-3.323","7.398","6.506","11.557","5.857","4.554","6.018","-0.897","-1.707","7.966","12.343","17.16","20.694","17.569","-12.455","-11.884","-4.504","2.154","4.509","16.827","9.56","10.093","15.566","25.303","26.205","31.004","112.764","85.078","88.035","60.478","54.195","48.951","48.89"
"B Annualized Returns","6.456","-1.963","-6.315","1.626","2.735","8.529","5.145","3.755","7.736","1.037","3.535","8.903","14.294","21.946","26.012","23.106","-3.47","-4.255","-0.439","6.14","7.407","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.322","38.479","35.129","32.572","34.539"
"AR DIFF(P-B)","5.141","2.615","2.992","5.772","3.771","3.028","0.712000000000001","0.799","-1.718","-1.934","-5.242","-0.937","-1.951","-4.786","-5.318","-5.537","-8.985","-7.629","-4.065","-3.986","-2.898","-1.618","-3.89","-6.419","-0.209999999999999","9.537","12.594","16.972","51.073","35.244","41.713","21.999","19.066","16.379","14.351"
"P Volatility","13.14","13.47","16.07","17.8","19.51","19.88","19.09","20.54","24","23.96","24.18","22.17","21.19","17.13","14.92","14.55","16.59","25.02","29.34","29.71","29.79","31.49","31.6","32.8","33.86","35.3","35.53","33.56","23.6","19.53","19.43","19.1","20.68","20.19","16.75"
"B Volatility","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","0.67","0.92","1.6","1.12","2.9","3.23","2.16","1.89","4.35","4.49","4.57","4.33","3.34","3.56","2.97","2.56","0.85","4.87","5.8","6.79","6.84","8.18","7.52","8.02","8.91","8.22","8.4","9.03","5.82","4.96","4.74","4.23","6.11","6.53","5.02"
"P Tracking Error","4.38","4.78","5.08","4.4","4.26","4.72","4.36","3.45","5.09","5.3","5.19","5.04","4.34","4.45","3.7","3.37","2.61","6.27","7.13","7.91","7.9","9.38","8.79","10.19","10.84","10.09","10.21","10.71","11.6","11.76","11.98","11.36","12.59","13.29","10.49"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.17","0.55","0.59","1.31","0.89","0.64","0.16","0.23","-0.34","-0.36","-1.01","-0.19","-0.45","-1.08","-1.44","-1.64","-3.44","-1.22","-0.57","-0.5","-0.37","-0.17","-0.44","-0.63","-0.02","0.95","1.23","1.58","4.4","3","3.48","1.94","1.51","1.23","1.37"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
