"","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.21","2.54","7.293","14.434","21.579","23.115","18.374","-11.802","-12.563","-5.937","2.799","1.737","16.331","10.125","17.849","12.224","21.801","22.845","26.958","122.79","92.025","91.044","61.868","60.115","52.744","57.693"
"B Annualized Returns","1.037","3.535","8.903","14.294","21.946","26.012","23.106","-3.47","-4.255","-0.439","6.14","7.407","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.322","38.479","35.129","32.572","34.539"
"AR DIFF(P-B)","1.173","-0.995","-1.61","0.139999999999999","-0.367000000000001","-2.897","-4.732","-8.332","-8.308","-5.498","-3.341","-5.67","-2.114","-3.325","1.337","-3.552","6.035","9.234","12.926","61.099","42.191","44.722","23.389","24.986","20.172","23.154"
"P Volatility","22.34","21.99","21.49","21.71","18.47","14.57","14.14","17.53","25.15","29.75","29.85","31.55","32.24","31.06","31.94","32.83","36.18","36.59","34.7","24.77","19.61","19.7","18.63","19.41","20.56","19.18"
"B Volatility","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","2.87","2.38","3.65","3.86","4.9","2.62","2.15","1.79","5","6.21","6.93","8.6","8.93","6.98","7.16","7.88","9.1","9.46","10.17","6.99","5.04","5.01","3.76","4.84","6.9","7.45"
"P Tracking Error","4.21","4.02","4.84","5.43","5.84","3.72","2.92","3.65","6.95","7.46","8.11","9.67","9.96","8.22","9.02","10.89","11.27","11.39","11.61","11.63","11.67","11.84","10.01","10.98","12.52","12.92"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.28","-0.25","-0.33","0.03","-0.06","-0.78","-1.62","-2.28","-1.2","-0.74","-0.41","-0.59","-0.21","-0.4","0.15","-0.33","0.54","0.81","1.11","5.25","3.62","3.78","2.34","2.28","1.61","1.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.1","0.11","-0.2","-0.15","-0.6","-0.57","-0.58","-0.24","-0.41","-0.47","-0.43","-0.6","-0.62","-0.64","-0.3","-0.37","0.07","0.18","-0.47","1.75","1.89","1.85","1.51","1.82","1.2","1.01"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.13","1.11","1.19","1.19","1.33","1.2","1.17","1.09","1.22","1.25","1.29","1.36","1.37","1.27","1.26","1.27","1.31","1.32","1.39","1.26","1.08","1.08","1.06","1.1","1.21","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","97.6","97.31","97.11","95.87","95.54","95.59","97.47","95.97","94.93","97.32","97.12","97.02","97.16","97.21","95.8","92.47","95.06","95.57","95.97","79.25","61.06","60.23","68.15","65.17","61.01","51.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.3353","-20.895","-18.2162","-17.168","-10.2178","-8.049","-8.0737","-31.2397","-40.1529","-39.3706","-40.3866","-40.9204","-41.2877","-40.1866","-39.9905","-40.8898","-40.6705","-41.0736","-41.1189","-14.1001","-15.2578","-15.1461","-8.6692","-8.5581","-8.7929","-7.4996"
"B Max Drawdown","-19.7782","-19.7782","-16.4466","-15.7424","-9.5713","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4772"
"MD DIFF(P-B)","-1.5571","-1.1168","-1.7696","-1.4256","-0.6465","-1.2128","-1.2376","-4.4981","-6.22790000000001","-5.44560000000001","-6.4616","-6.9954","-7.3627","-6.2616","-6.0655","-6.9648","-6.7455","-7.1486","-7.1939","-2.5632","-5.6533","-5.5416","0.9352","1.0463","0.8116","-0.0224000000000002"
