"","1 Y 2016-12-28 to 2017-12-29","1 Y 2017-01-30 to 2018-01-29","1 Y 2017-02-28 to 2018-03-01","1 Y 2017-03-28 to 2018-03-29","1 Y 2017-04-28 to 2018-04-29","1 Y 2017-05-30 to 2018-05-29","1 Y 2017-06-28 to 2018-06-29","1 Y 2017-07-28 to 2018-07-29","1 Y 2017-08-28 to 2018-08-29","1 Y 2017-09-28 to 2018-09-29","1 Y 2017-10-30 to 2018-10-29","1 Y 2017-11-28 to 2018-11-29","1 Y 2017-12-28 to 2018-12-29","1 Y 2018-01-29 to 2019-01-29","1 Y 2018-02-28 to 2019-03-01","1 Y 2018-03-28 to 2019-03-29","1 Y 2018-04-30 to 2019-04-29","1 Y 2018-05-29 to 2019-05-29","1 Y 2018-06-28 to 2019-06-29","1 Y 2018-07-30 to 2019-07-29","1 Y 2018-08-28 to 2019-08-29","1 Y 2018-09-28 to 2019-09-29","1 Y 2018-10-29 to 2019-10-29","1 Y 2018-11-28 to 2019-11-29","1 Y 2018-12-28 to 2019-12-29","1 Y 2019-01-28 to 2020-01-29","1 Y 2019-02-28 to 2020-02-29","1 Y 2019-03-28 to 2020-03-29","1 Y 2019-04-29 to 2020-04-29","1 Y 2019-05-28 to 2020-05-29","1 Y 2019-06-28 to 2020-06-29","1 Y 2019-07-29 to 2020-07-29","1 Y 2019-08-28 to 2020-08-29","1 Y 2019-09-30 to 2020-09-29","1 Y 2019-10-28 to 2020-10-29","1 Y 2019-11-29 to 2020-11-29","1 Y 2019-12-30 to 2020-12-29","1 Y 2020-01-28 to 2021-01-29","1 Y 2020-02-28 to 2021-03-01","1 Y 2020-03-30 to 2021-03-29","1 Y 2020-04-28 to 2021-04-29","1 Y 2020-05-28 to 2021-05-29","1 Y 2020-06-29 to 2021-06-29","1 Y 2020-07-28 to 2021-07-29","1 Y 2020-08-28 to 2021-08-29","1 Y 2020-09-28 to 2021-09-29","1 Y 2020-10-28 to 2021-10-29","1 Y 2020-11-30 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","25.116","29.316","16.839","17.567","17.146","21.92","25.433","22.75","29.106","21.758","6.486","7.406","-7.962","-3.818","8.063","7.212","11.167","3.239","6.894","7.219","-0.106","1.177","18.056","12.99","29.717","21.25","0.799","-18.755","-3.395","7.158","0.143","5.009","15.559","7.043","3.92","17.619","17.652","20.232","37.604","101.178","75.195","71.864","71.289","60.734","55.942","62.348","68.09","39.031"
"B Annualized Returns","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","6.25","4.134","5.081","5.719","5.128","10.409","13.09","8.684","9.986","5.666","3.819","3.151","-0.452999999999999","3.665","3.357","-0.116000000000001","-0.00500000000000078","-0.224","-1.406","-0.595","-0.468","-0.468","3.077","-1.736","-0.722000000000001","-2.742","-5.297","-9.024","-3.18","-2.002","-2.865","-3.131","-4.39","-5.008","-4.723","1.737","1.952","7.119","11.26","49.822","31.924","33.102","30.724","25.112","27.308","31.648","28.959","10.402"
"P Volatility","4.05","4.37","8.12","7.97","8.57","8.43","9.58","9.11","8.5","8.37","8.56","14.55","13.52","16.46","20.78","19.96","19.17","19.52","21.06","22.91","22.35","22.44","21.19","20.86","16.8","14.25","14.55","17.76","24.59","31.14","32.38","30.89","31.33","31.52","32.56","32.69","35.77","37.12","20.69","25.11","20.02","19.28","19.57","20.49","20.88","19.51","21.08","10.92"
"B Volatility","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","0.0199999999999996","0.31","0.219999999999999","0.0699999999999994","-0.369999999999999","-0.530000000000001","0.540000000000001","0.109999999999999","-0.85","-1.15","-0.94","2.08","0.969999999999999","1.99","4.17","3.35","2.52","2.59","2.41","3.26","2.88","2.83","3.35","3.01","3.23","2.3","2.56","2.02","4.44","7.6","8.24","7.94","8.02","7.44","7.78","7.74","8.69","9.99","2.59","7.01","5.06","4.21","4.32","5.54","6.81","7.3","7.67","-0.0700000000000003"
"P Tracking Error","2.03","2.09","2.08","2.75","3.19","3.63","4.49","3.91","4.8","3.99","4.03","4.86","4.32","4.3","5.54","4.63","4.56","4.49","4.18","4.56","4.22","4.2","4.52","4.59","4.52","3.63","3.34","4.01","6.32","8.81","9.72","9.29","9.34","9.1","9.93","10.81","11.53","12.14","6.41","11.11","10.61","9.84","10.23","10.54","11.18","11.83","12.89","7.85"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
