"","1 Y 2017-01-03 to 2018-01-04","1 Y 2017-02-03 to 2018-02-04","1 Y 2017-03-03 to 2018-03-04","1 Y 2017-04-03 to 2018-04-04","1 Y 2017-05-03 to 2018-05-04","1 Y 2017-06-05 to 2018-06-04","1 Y 2017-07-03 to 2018-07-04","1 Y 2017-08-03 to 2018-08-04","1 Y 2017-09-04 to 2018-09-04","1 Y 2017-10-03 to 2018-10-04","1 Y 2017-11-03 to 2018-11-04","1 Y 2017-12-04 to 2018-12-04","1 Y 2018-01-03 to 2019-01-04","1 Y 2018-02-05 to 2019-02-04","1 Y 2018-03-05 to 2019-03-04","1 Y 2018-04-03 to 2019-04-04","1 Y 2018-05-03 to 2019-05-04","1 Y 2018-06-04 to 2019-06-04","1 Y 2018-07-03 to 2019-07-04","1 Y 2018-08-03 to 2019-08-04","1 Y 2018-09-03 to 2019-09-04","1 Y 2018-10-03 to 2019-10-04","1 Y 2018-11-05 to 2019-11-04","1 Y 2018-12-03 to 2019-12-04","1 Y 2019-01-03 to 2020-01-04","1 Y 2019-02-04 to 2020-02-04","1 Y 2019-03-04 to 2020-03-04","1 Y 2019-04-03 to 2020-04-04","1 Y 2019-05-03 to 2020-05-04","1 Y 2019-06-03 to 2020-06-04","1 Y 2019-07-03 to 2020-07-04","1 Y 2019-08-05 to 2020-08-04","1 Y 2019-09-03 to 2020-09-04","1 Y 2019-10-03 to 2020-10-04","1 Y 2019-11-04 to 2020-11-04","1 Y 2019-12-03 to 2020-12-04","1 Y 2020-01-03 to 2021-01-04","1 Y 2020-02-03 to 2021-02-04","1 Y 2020-03-03 to 2021-03-04","1 Y 2020-04-03 to 2021-04-04","1 Y 2020-05-04 to 2021-05-04","1 Y 2020-06-03 to 2021-06-04","1 Y 2020-07-03 to 2021-07-04","1 Y 2020-08-03 to 2021-08-04","1 Y 2020-09-03 to 2021-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.766","24.09","17.607","15.607","18.615","21.836","23.005","26.237","28.392","21.435","11.472","5.524","-5.315","7.33","5.04","8.383","11.824","1.373","7.374","1.938","-1.592","-0.62","9.639","14.114","31.304","17.801","9.009","-22.637","-8.518","7.134","0.647","13.764","13.679","17.52","10.763","21.701","16.886","23.137","30.415","123.233","84.768","61.851","70.9","56.531","54.816"
"B Annualized Returns","19.96","20.288","12.967","12.056","11.463","12.794","11.701","14.893","16.966","14.338","5.24","2.297","-7.05","2.874","2.649","8.874","12.013","2.053","10.416","3.237","1.417","1.737","12.451","15.285","32.148","21.018","12.205","-13.57","-3.068","10.127","4.479","16.232","15.153","15.041","11.996","18.659","14.038","15.545","23.097","61.741","46.449","35.907","39.178","33.152","30.9"
"AR DIFF(P-B)","3.806","3.802","4.64","3.551","7.152","9.042","11.304","11.344","11.426","7.097","6.232","3.227","1.735","4.456","2.391","-0.491000000000001","-0.189","-0.68","-3.042","-1.299","-3.009","-2.357","-2.812","-1.171","-0.844000000000005","-3.217","-3.196","-9.067","-5.45","-2.993","-3.832","-2.468","-1.474","2.479","-1.233","3.042","2.848","7.592","7.318","61.492","38.319","25.944","31.722","23.379","23.916"
"P Volatility","5.24","6.09","8.15","8.3","8.79","8.81","9.33","8.53","8.96","9.08","13.83","14.26","17.09","20.14","20.22","20.51","20.02","20.94","22.41","22.98","23.06","20.87","21.45","17.14","13.6","14.18","17.42","24.61","29.61","29.32","29.95","30.85","33.07","32.37","31.8","36.26","34.75","33.01","20.57","19.47","18.92","18.02","18.92","21.14","18.54"
"B Volatility","4.06","5.54","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","1.18","0.55","0.25","-0.639999999999999","-0.170000000000002","-0.229999999999999","0.33","-0.82","-0.559999999999999","-0.42","1.36","1.71","2.62","3.46","3.61","3.86","3.09","2.29","2.76","3.51","3.45","3.03","3.6","3.57","1.65","2.19","1.68","4.46","6.07","6.4","7","7.54","8.99","7.59","6.85","9.18","7.62","8.48","2.79","4.9","4.23","3.15","4.35","7.48","6.81"
"P Tracking Error","2.34","2.1","2.11","2.9","3.55","4.89","4.76","4.99","5.07","4.11","5.13","4.86","5.08","5.56","4.87","5.45","4.94","4.38","4.19","4.85","4.82","4.59","4.94","4.76","3.23","3.56","3.84","5.8","7.13","7.55","8.12","8.34","9.97","8.98","9.44","11.42","10.21","10.73","8.58","11.84","11.38","10.35","11.2","13.47","12.74"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
