"","1 Y 2018-02-13 to 2020-02-14","1 Y 2018-03-13 to 2020-03-14","1 Y 2018-04-13 to 2020-04-14","1 Y 2018-05-14 to 2020-05-14","1 Y 2018-06-13 to 2020-06-14","1 Y 2018-07-13 to 2020-07-14","1 Y 2018-08-13 to 2020-08-14","1 Y 2018-09-13 to 2020-09-14","1 Y 2018-10-15 to 2020-10-14","1 Y 2018-11-13 to 2020-11-14","1 Y 2018-12-13 to 2020-12-14","1 Y 2019-01-14 to 2021-01-14","1 Y 2019-02-13 to 2021-02-14","1 Y 2019-03-13 to 2021-03-14","1 Y 2019-04-15 to 2021-04-14","1 Y 2019-05-13 to 2021-05-14","1 Y 2019-06-13 to 2021-06-14","1 Y 2019-07-15 to 2021-07-14","1 Y 2019-08-13 to 2021-08-14","1 Y 2019-09-13 to 2021-09-14","2 Y 2018-02-13 to 2020-02-14","2 Y 2018-03-13 to 2020-03-14","2 Y 2018-04-13 to 2020-04-14","2 Y 2018-05-14 to 2020-05-14","2 Y 2018-06-13 to 2020-06-14","2 Y 2018-07-13 to 2020-07-14","2 Y 2018-08-13 to 2020-08-14","2 Y 2018-09-13 to 2020-09-14","2 Y 2018-10-15 to 2020-10-14","2 Y 2018-11-13 to 2020-11-14","2 Y 2018-12-13 to 2020-12-14","2 Y 2019-01-14 to 2021-01-14","2 Y 2019-02-13 to 2021-02-14","2 Y 2019-03-13 to 2021-03-14","2 Y 2019-04-15 to 2021-04-14","2 Y 2019-05-13 to 2021-05-14","2 Y 2019-06-13 to 2021-06-14","2 Y 2019-07-15 to 2021-07-14","2 Y 2019-08-13 to 2021-08-14","2 Y 2019-09-13 to 2021-09-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","24.167","-5.518","-5.091","-4.998","2.303","4.518","18.512","20.406","29.912","22.11","20.866","33.356","33.102","87.11","74.054","69.673","57.73","52.973","50.406","51.579","14.63","-0.662","1.789","-0.501","4.194","5.407","9.113","11.23","18.861","18.116","22.113","28.254","23.987","23.511","24.035","24.093","26.645","23.499","30.855","29.381"
"B Annualized Returns","23.106","-3.47","-2.048","0.054","5.176","6.078","18.445","12.899","16.457","15.776","14.331","15.391","14.201","55.326","44.925","46.323","38.883","36.803","32.447","32.074","11.917","-0.702","3.097","2.568","4.677","6.903","9.396","7.912","12.616","15.198","18.417","20.585","18.304","17.079","19.146","20.997","21.373","20.465","25.416","22.839"
"AR DIFF(P-B)","1.061","-2.048","-3.043","-5.052","-2.873","-1.56","0.0670000000000002","7.507","13.455","6.334","6.535","17.965","18.901","31.784","29.129","23.35","18.847","16.17","17.959","19.505","2.713","0.0399999999999999","-1.308","-3.069","-0.483","-1.496","-0.283000000000001","3.318","6.245","2.918","3.696","7.669","5.683","6.432","4.889","3.096","5.272","3.034","5.439","6.542"
"P Volatility","10.38","13.48","23.81","28.67","26.87","29.04","30.62","31.59","31.63","30.99","33.44","34.17","32.6","18.88","17.23","17.01","16.7","16.14","17.13","14.79","14.93","15.65","21.36","23.67","23.25","25.02","26.01","26.78","26.12","25.38","25.49","25.36","25.6","24.47","25.47","24.09","24.01","23.92","25.01","24.26"
"B Volatility","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","-1.61","-2.26","3.66","5.13","3.95","6.09","7.31","7.51","6.85","6.04","6.36","7.04","8.07","1.1","2.66","2.32","1.83","1.57","3.47","3.06","0.799999999999999","0.200000000000001","3.24","3.4","2.77","4.64","5.39","5.67","5.52","4.6","5","5.33","5.59","4.42","5.47","4.88","5.14","5.05","6.33","5.56"
"P Tracking Error","4.09","3.99","6.79","7.57","6.51","8.12","9.24","9.51","8.95","9.55","10.23","10.06","10.83","6.04","7.08","7.31","7.13","8.32","7.71","6.87","4.65","3.98","5.67","5.96","5.2","6.26","6.99","7.22","7.14","7.14","7.71","7.66","8.1","7.36","8.05","7.54","7.68","8.36","8.68","7.76"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
