"","1 Y 2018-08-14 to 2020-08-15","1 Y 2018-09-14 to 2020-09-15","1 Y 2018-10-15 to 2020-10-15","1 Y 2018-11-14 to 2020-11-15","1 Y 2018-12-14 to 2020-12-15","1 Y 2019-01-14 to 2021-01-15","1 Y 2019-02-14 to 2021-02-15","1 Y 2019-03-14 to 2021-03-15","1 Y 2019-04-15 to 2021-04-15","1 Y 2019-05-14 to 2021-05-15","1 Y 2019-06-14 to 2021-06-15","1 Y 2019-07-15 to 2021-07-15","1 Y 2019-08-14 to 2021-08-15","1 Y 2019-09-16 to 2021-09-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.506","18.25","25.316","22.993","26.457","29.935","32.5","108.101","81.376","69.641","61.243","55.091","50.3","51.913","9.591","10.543","14.495","18.62","25.924","27.17","24.539","26.427","25.932","26.326","28.786","25.612","31.828","28.944"
"B Annualized Returns","18.445","13.45","16.512","15.776","15.766","13.611","14.032","61.691","49.834","46.323","38.479","35.129","32.447","32.074","9.396","8.519","11.34","15.198","20.496","20.017","17.795","16.814","19.774","20.997","21.258","20.474","25.416","23.14"
"AR DIFF(P-B)","-0.939","4.8","8.804","7.217","10.691","16.324","18.468","46.41","31.542","23.318","22.764","19.962","17.853","19.839","0.194999999999999","2.024","3.155","3.422","5.428","7.153","6.744","9.613","6.158","5.329","7.528","5.138","6.412","5.804"
"P Volatility","28.7","29.87","32.78","30.99","34.75","33.65","32.21","21.62","17.73","16.37","17.04","17.65","17.44","15.22","24.68","25.22","26.46","25.61","26.54","24.92","25.07","26.48","25.41","24.03","24.28","25.53","25.37","23.95"
"B Volatility","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","5.39","5.79","8","6.04","7.67","6.52","7.68","3.84","3.16","1.68","2.17","3.08","3.78","3.49","4.06","4.11","5.86","4.83","6.05","4.89","5.06","6.43","5.41","4.82","5.41","6.66","6.69","5.25"
"P Tracking Error","7.66","8.31","10.14","9.12","10.51","8.82","10.2","7.24","7.33","6.45","7.44","7.97","8.72","7.93","5.94","6.31","7.69","7.22","8.19","6.95","7.44","8.61","8.05","7.26","8.07","9.08","9.28","8.06"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.12","0.58","0.87","0.79","1.02","1.85","1.81","6.41","4.3","3.62","3.06","2.5","2.05","2.5","0.03","0.32","0.41","0.47","0.66","1.03","0.91","1.12","0.76","0.73","0.93","0.57","0.69","0.72"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
