"","2016-12-28_to_2018-12-29_VGPortfolio_6QRank","2017-01-30_to_2019-01-29_VGPortfolio_6QRank","2017-02-28_to_2019-03-01_VGPortfolio_6QRank","2017-03-28_to_2019-03-29_VGPortfolio_6QRank","2017-04-28_to_2019-04-29_VGPortfolio_6QRank","2017-05-30_to_2019-05-29_VGPortfolio_6QRank","2017-06-28_to_2019-06-29_VGPortfolio_6QRank","2017-07-28_to_2019-07-29_VGPortfolio_6QRank","2017-08-28_to_2019-08-29_VGPortfolio_6QRank","2017-09-28_to_2019-09-29_VGPortfolio_6QRank","2017-10-30_to_2019-10-29_VGPortfolio_6QRank","2017-11-28_to_2019-11-29_VGPortfolio_6QRank","2017-12-28_to_2019-12-29_VGPortfolio_6QRank","2018-01-29_to_2020-01-29_VGPortfolio_6QRank","2018-02-28_to_2020-02-29_VGPortfolio_6QRank","2018-03-28_to_2020-03-29_VGPortfolio_6QRank","2018-04-30_to_2020-04-29_VGPortfolio_6QRank","2018-05-29_to_2020-05-29_VGPortfolio_6QRank","2018-06-28_to_2020-06-29_VGPortfolio_6QRank","2018-07-30_to_2020-07-29_VGPortfolio_6QRank","2018-08-28_to_2020-08-29_VGPortfolio_6QRank","2018-09-28_to_2020-09-29_VGPortfolio_6QRank","2018-10-29_to_2020-10-29_VGPortfolio_6QRank","2018-11-28_to_2020-11-29_VGPortfolio_6QRank","2018-12-28_to_2020-12-29_VGPortfolio_6QRank","2019-01-28_to_2021-01-29_VGPortfolio_6QRank","2019-02-28_to_2021-03-01_VGPortfolio_6QRank","2019-03-28_to_2021-03-29_VGPortfolio_6QRank","2019-04-29_to_2021-04-29_VGPortfolio_6QRank","2019-05-28_to_2021-05-29_VGPortfolio_6QRank","2019-06-28_to_2021-06-29_VGPortfolio_6QRank","2019-07-29_to_2021-07-29_VGPortfolio_6QRank","2019-08-28_to_2021-08-29_VGPortfolio_6QRank","2019-09-30_to_2021-09-29_VGPortfolio_6QRank","2019-10-28_to_2021-10-29_VGPortfolio_6QRank","2019-11-29_to_2021-11-29_VGPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","8.81","11.755","14.086","13.68","14.619","12.752","15.466","16.076","16.863","11.41","12.473","8.825","9.156","7.305","6.908","-4.381","6.092","7.398","5.089","7.989","9.217","9.623","17.428","18.972","28.055","23.755","21.473","23.535","26.093","30.692","28.618","26.441","33","25.92","27.327","26.889"
"B Annualized Returns","5.11","7.595","8.899","9.61","11.087","7.406","9.786","10.53","9.372","8.639","8.657","9.332","9.813","7.105","4.335","-1.227","5.36","6.376","6.004","7.826","10.017","6.968","11.931","15.153","22.381","18.472","18.321","18.707","19.595","22.448","20.724","20.916","24.958","21.017","23.024","21.709"
"AR DIFF(P-B)","3.7","4.16","5.187","4.07","3.532","5.346","5.68","5.546","7.491","2.771","3.816","-0.507000000000001","-0.657","0.199999999999999","2.573","-3.154","0.731999999999999","1.022","-0.914999999999999","0.163","-0.799999999999999","2.655","5.497","3.819","5.674","5.283","3.152","4.828","6.498","8.244","7.894","5.525","8.042","4.903","4.303","5.18"
"P Volatility","10.24","13.44","15.21","15.85","15.77","15.92","16.57","16.9","17.23","17.66","17.95","17.65","16.95","16.2","16.13","16.47","20.3","23.31","24.26","24.67","25.01","25.9","25.44","24.32","25.32","23.99","24.21","26.55","25.26","25.4","24.66","24.77","24.53","23.71","25.04","25.45"
"B Volatility","9.12","11.66","12.46","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","19.67","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","1.12","1.78","2.75","3.12","3.02","2.97","2.53","2.17","2.51","2.83","3.14","2.89","2.06","1.67","2","1.02","2.18","3.04","3.78","4.29","4.39","4.79","4.84","3.54","4.83","3.96","4.54","6.44","5.13","6.05","5.65","5.76","5.71","4.88","5.59","5.67"
"P Tracking Error","3.86","3.93","4.2","4.88","5.03","5.63","5.29","4.95","5.51","5.17","5.69","4.94","4.17","3.97","4.6","4.03","5.41","5.13","5.74","5.99","6.26","6.67","7.04","6.12","7.25","6.46","6.77","8.34","7.16","8.08","7.69","7.8","8.19","8.1","8.69","8.81"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
