"","1 Y 2017-01-03 to 2019-01-04","1 Y 2017-02-03 to 2019-02-04","1 Y 2017-03-03 to 2019-03-04","1 Y 2017-04-03 to 2019-04-04","1 Y 2017-05-03 to 2019-05-04","1 Y 2017-06-05 to 2019-06-04","1 Y 2017-07-03 to 2019-07-04","1 Y 2017-08-03 to 2019-08-04","1 Y 2017-09-04 to 2019-09-04","1 Y 2017-10-03 to 2019-10-04","1 Y 2017-11-03 to 2019-11-04","1 Y 2017-12-04 to 2019-12-04","1 Y 2018-01-03 to 2020-01-04","1 Y 2018-02-05 to 2020-02-04","1 Y 2018-03-05 to 2020-03-04","1 Y 2018-04-03 to 2020-04-04","1 Y 2018-05-03 to 2020-05-04","1 Y 2018-06-04 to 2020-06-04","1 Y 2018-07-03 to 2020-07-04","1 Y 2018-08-03 to 2020-08-04","1 Y 2018-09-03 to 2020-09-04","1 Y 2018-10-03 to 2020-10-04","1 Y 2018-11-05 to 2020-11-04","1 Y 2018-12-03 to 2020-12-04","1 Y 2019-01-03 to 2021-01-04","1 Y 2019-02-04 to 2021-02-04","1 Y 2019-03-04 to 2021-03-04","1 Y 2019-04-03 to 2021-04-04","1 Y 2019-05-03 to 2021-05-04","1 Y 2019-06-03 to 2021-06-04","1 Y 2019-07-03 to 2021-07-04","1 Y 2019-08-05 to 2021-08-04","1 Y 2019-09-03 to 2021-09-04","1 Y 2019-10-03 to 2021-10-04","2 Y 2017-01-03 to 2019-01-04","2 Y 2017-02-03 to 2019-02-04","2 Y 2017-03-03 to 2019-03-04","2 Y 2017-04-03 to 2019-04-04","2 Y 2017-05-03 to 2019-05-04","2 Y 2017-06-05 to 2019-06-04","2 Y 2017-07-03 to 2019-07-04","2 Y 2017-08-03 to 2019-08-04","2 Y 2017-09-04 to 2019-09-04","2 Y 2017-10-03 to 2019-10-04","2 Y 2017-11-03 to 2019-11-04","2 Y 2017-12-04 to 2019-12-04","2 Y 2018-01-03 to 2020-01-04","2 Y 2018-02-05 to 2020-02-04","2 Y 2018-03-05 to 2020-03-04","2 Y 2018-04-03 to 2020-04-04","2 Y 2018-05-03 to 2020-05-04","2 Y 2018-06-04 to 2020-06-04","2 Y 2018-07-03 to 2020-07-04","2 Y 2018-08-03 to 2020-08-04","2 Y 2018-09-03 to 2020-09-04","2 Y 2018-10-03 to 2020-10-04","2 Y 2018-11-05 to 2020-11-04","2 Y 2018-12-03 to 2020-12-04","2 Y 2019-01-03 to 2021-01-04","2 Y 2019-02-04 to 2021-02-04","2 Y 2019-03-04 to 2021-03-04","2 Y 2019-04-03 to 2021-04-04","2 Y 2019-05-03 to 2021-05-04","2 Y 2019-06-03 to 2021-06-04","2 Y 2019-07-03 to 2021-07-04","2 Y 2019-08-05 to 2021-08-04","2 Y 2019-09-03 to 2021-09-04","2 Y 2019-10-03 to 2021-10-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-6.391","3.964","3.9","8.79","14.554","5.018","11.383","11.368","6.735","2.855","11.719","10.476","34.683","23.062","7.563","-19.964","-4.181","9.91","2.483","15.239","12.369","16.948","21.245","33.445","31.098","28.026","32.316","81.875","67.391","54.175","59.282","46.57","48.311","51.153","7.637","11.496","11.239","12.147","15.75","13.104","17.05","18.539","17.064","11.759","11.842","7.972","11.403","14.938","6.175","-6.863","2.533","5.815","4.9","6.254","5.912","6.563","15.213","23.404","29.301","23.078","20.099","19.532","23.798","28.52","26.615","29.129","31.876","34.497"
"B Annualized Returns","-7.05","2.874","2.649","8.874","12.013","2.053","10.416","3.708","1.417","1.737","12.451","15.285","32.148","21.018","12.205","-13.57","-3.068","10.127","4.479","16.232","15.153","15.041","11.996","18.659","14.038","15.545","23.097","59.083","46.449","35.907","39.052","33.152","30.9","32.074","5.595","8.894","8.243","10.454","11.061","7.282","11.056","8.918","8.915","7.854","9.052","8.597","9.194","11.591","7.256","-2.995","3.307","6.408","7.406","7.715","8.921","6.984","12.139","17.048","20.865","18.634","17.525","18.279","19.179","22.34","20.532","24.405","24.076","25.672"
"AR DIFF(P-B)","0.659","1.09","1.251","-0.0840000000000014","2.541","2.965","0.966999999999999","7.66","5.318","1.118","-0.732000000000001","-4.809","2.535","2.044","-4.642","-6.394","-1.113","-0.217000000000001","-1.996","-0.992999999999999","-2.784","1.907","9.249","14.786","17.06","12.481","9.219","22.792","20.942","18.268","20.23","13.418","17.411","19.079","2.042","2.602","2.996","1.693","4.689","5.822","5.994","9.621","8.149","3.905","2.79","-0.624999999999999","2.209","3.347","-1.081","-3.868","-0.774","-0.593","-2.506","-1.461","-3.009","-0.421","3.074","6.356","8.436","4.444","2.574","1.253","4.619","6.18","6.083","4.724","7.8","8.825"
"P Volatility","16.82","21.66","21.84","21.51","22.03","22.07","23.43","24.15","24.09","21.6","21.81","16.49","12.19","11.62","15.51","23.65","27.77","27.26","27.36","29.17","29.38","30.33","30.75","33.85","34.34","32.12","19.5","15.68","16.66","17.58","17.23","16.25","14.97","14.54","13.25","15.81","15.81","15.57","16.2","16.23","17.07","17.46","17.48","17.8","17.46","17.26","16.6","15.9","17.21","21.55","23.59","23.66","23.86","25.27","25.34","24.84","25.39","25.59","25.11","25.03","24.72","23.85","23.92","24.01","24.3","24.03","25.04","24.85"
"B Volatility","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.73","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7","19.14"
"V DIFF(P-B)","2.35","4.98","5.23","4.86","5.1","3.42","3.78","4.68","4.48","3.76","3.96","2.92","0.24","-0.370000000000001","-0.23","3.5","4.23","4.34","4.41","5.86","5.3","5.55","5.8","6.77","7.21","7.59","1.72","1.11","1.97","2.71","2.66","2.59","3.24","2.81","1.59","3.18","3.08","2.82","3.25","2.19","2.34","2.74","2.65","2.99","2.7","2.37","2.07","1.77","1.76","3.43","3.32","3.18","3.48","4.65","4.23","4.24","4.61","5.1","5.08","5.02","4.67","3.85","4.71","5.14","5.43","5.35","6.34","5.71"
"P Tracking Error","5.56","7.41","6.71","6.44","6.82","6.44","5.49","7.03","6.81","6.23","6.6","4.39","3.83","3.97","1.9","6.67","6.51","6.54","6.31","7.78","7.48","8.05","8.02","8.62","9.44","10.31","7.15","7.13","6.43","6.93","6.8","7.3","7.75","7.33","4.08","5.21","5.03","4.78","5.48","5.67","5.33","5.83","5.75","5.6","5.64","4.61","4.85","4.73","3.68","5.87","5.54","5.33","5.12","6.28","6","6.31","6.57","6.88","7.32","7.55","7.6","6.91","6.94","7.39","7.58","7.63","8.66","8.11"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
