"","2017-04-18_to_2020-04-19_VGPortfolio_12QRank","2017-05-18_to_2020-05-19_VGPortfolio_12QRank","2017-06-19_to_2020-06-19_VGPortfolio_12QRank","2017-07-18_to_2020-07-19_VGPortfolio_12QRank","2017-08-18_to_2020-08-19_VGPortfolio_12QRank","2017-09-18_to_2020-09-19_VGPortfolio_12QRank","2017-10-18_to_2020-10-19_VGPortfolio_12QRank","2017-11-20_to_2020-11-19_VGPortfolio_12QRank","2017-12-18_to_2020-12-19_VGPortfolio_12QRank","2018-01-18_to_2021-01-19_VGPortfolio_12QRank","2018-02-20_to_2021-02-19_VGPortfolio_12QRank","2018-03-19_to_2021-03-19_VGPortfolio_12QRank","2018-04-18_to_2021-04-19_VGPortfolio_12QRank","2018-05-18_to_2021-05-19_VGPortfolio_12QRank","2018-06-18_to_2021-06-19_VGPortfolio_12QRank","2018-07-18_to_2021-07-19_VGPortfolio_12QRank","2018-08-20_to_2021-08-19_VGPortfolio_12QRank","2018-09-18_to_2021-09-19_VGPortfolio_12QRank","2018-10-18_to_2021-10-19_VGPortfolio_12QRank","2018-11-19_to_2021-11-19_VGPortfolio_12QRank","2018-12-18_to_2021-12-19_VGPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.602","20.687","16.241","19.776","22.986","15.456","21.229","18.23","20.331","24.635","24.494","18.157","19.311","16.992","17.258","13.885","16.462","21.02","24.206","28.003","27.268"
"B Annualized Returns","7.066","7.291","8.075","9.433","11.616","9.845","10.173","11.526","11.293","10.71","12.879","12.974","15.376","14.874","14.511","14.758","15.532","15.138","17.709","20.394","22.161"
"AR DIFF(P-B)","4.536","13.396","8.166","10.343","11.37","5.611","11.056","6.704","9.038","13.925","11.615","5.183","3.935","2.118","2.747","-0.872999999999999","0.93","5.882","6.497","7.609","5.107"
"P Volatility","18.29","22.86","23.54","23.63","24.12","22.95","23.64","22.31","23.68","24","23.39","22.64","22.7","22.11","22.19","21.77","21.97","22.7","22.2","22.81","21.24"
"B Volatility","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71","17.62"
"V DIFF(P-B)","2.85","5.81","6.34","6.44","6.71","5.19","5.65","4.24","4.68","5.13","4.7","4.07","4.05","3.33","3.41","3.03","3.25","3.96","3.76","4.1","3.62"
"P Tracking Error","6.76","10.76","11.05","11.4","11.24","8.56","9.7","7.48","7.75","9","8.01","6.43","6.75","6.17","6.18","4.68","5.09","7.31","6.9","7.13","6.5"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.67","1.24","0.74","0.91","1.01","0.66","1.14","0.9","1.17","1.55","1.45","0.81","0.58","0.34","0.44","-0.19","0.18","0.8","0.94","1.07","0.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.3","0.67","0.69","0.59","0.57","0.25","0.49","0.34","0.43","0.82","0.68","0.31","0.19","0.02","0.03","-0.11","-0.05","0.3","0.28","0.26","0.26"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.11","1.2","1.23","1.22","1.25","1.22","1.22","1.18","1.19","1.2","1.19","1.18","1.18","1.14","1.14","1.14","1.15","1.16","1.16","1.17","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","86.73","79.5","80.21","78.78","81.04","88.61","85.51","90.52","91.44","87.94","90.34","94.02","93.02","93.42","93.54","96.83","96.17","91.07","91.76","91.94","92.16"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.9198","-40.6296","-40.9924","-40.8128","-40.89","-39.5632","-40.1936","-38.8496","-38.4542","-38.9837","-38.4356","-37.4988","-37.4301","-36.9976","-37.1818","-36.8388","-37.111","-37.7374","-38.1885","-38.6957","-38.0841"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.99480000000001","-6.70460000000001","-7.06740000000001","-6.88780000000001","-6.965","-5.6382","-6.26860000000001","-4.92460000000001","-4.5292","-5.0587","-4.5106","-3.57380000000001","-3.50510000000001","-3.0726","-3.25680000000001","-2.9138","-3.186","-3.8124","-4.2635","-4.77070000000001","-4.1591"
