"","2016-03-28_to_2019-03-29_VGPortfolio_3QRank","2016-04-28_to_2019-04-29_VGPortfolio_3QRank","2016-05-31_to_2019-05-29_VGPortfolio_3QRank","2016-06-28_to_2019-06-29_VGPortfolio_3QRank","2016-07-28_to_2019-07-29_VGPortfolio_3QRank","2016-08-29_to_2019-08-29_VGPortfolio_3QRank","2016-09-28_to_2019-09-29_VGPortfolio_3QRank","2016-10-28_to_2019-10-29_VGPortfolio_3QRank","2016-11-28_to_2019-11-29_VGPortfolio_3QRank","2016-12-28_to_2019-12-29_VGPortfolio_3QRank","2017-01-30_to_2020-01-29_VGPortfolio_3QRank","2017-02-28_to_2020-02-29_VGPortfolio_3QRank","2017-03-28_to_2020-03-29_VGPortfolio_3QRank","2017-04-28_to_2020-04-29_VGPortfolio_3QRank","2017-05-30_to_2020-05-29_VGPortfolio_3QRank","2017-06-28_to_2020-06-29_VGPortfolio_3QRank","2017-07-28_to_2020-07-29_VGPortfolio_3QRank","2017-08-28_to_2020-08-29_VGPortfolio_3QRank","2017-09-28_to_2020-09-29_VGPortfolio_3QRank","2017-10-30_to_2020-10-29_VGPortfolio_3QRank","2017-11-28_to_2020-11-29_VGPortfolio_3QRank","2017-12-28_to_2020-12-29_VGPortfolio_3QRank","2018-01-29_to_2021-01-29_VGPortfolio_3QRank","2018-02-28_to_2021-03-01_VGPortfolio_3QRank","2018-03-28_to_2021-03-29_VGPortfolio_3QRank","2018-04-30_to_2021-04-29_VGPortfolio_3QRank","2018-05-29_to_2021-05-29_VGPortfolio_3QRank","2018-06-28_to_2021-06-29_VGPortfolio_3QRank","2018-07-30_to_2021-07-29_VGPortfolio_3QRank","2018-08-28_to_2021-08-29_VGPortfolio_3QRank","2018-09-28_to_2021-09-29_VGPortfolio_3QRank","2018-10-29_to_2021-10-29_VGPortfolio_3QRank","2018-11-28_to_2021-11-29_VGPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.171","17.878","14.108","17.07","15.265","11.589","13.992","17.622","14.971","16.178","14.653","10.334","3.963","9.91","16.15","12.306","16.948","23.747","17.841","11.568","18.882","22.133","22.752","20.581","21.239","20.961","18.418","19.086","21.588","20.292","20.456","27.741","25.112"
"B Annualized Returns","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","4.542","5.55","4.194","4.02","3.618","1.306","3.079","5.02","2.41","3.24","1.844","2.616","1.442","2.695","8.094","4.571","7.323","10.96","7.92","2.806","7.415","10.639","13.576","7.74","6.179","4.235","2.367","2.647","5.195","4.406","6.113","7.4","5.88"
"P Volatility","13.06","13.71","13.23","14.88","15.2","14.48","15.72","14.67","14.4","14.39","14.21","14.94","13.95","19","23.27","23.83","23.36","23.55","23.43","20.88","21.99","23.17","23.32","21.2","22.47","22.66","21.87","22.7","23.42","22.31","23.3","22.5","22.98"
"B Volatility","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","2.22","2.86","2.25","3.04","2.93","2.23","3.38","2.44","2.24","2.16","1.94","2.75","0.59","3.56","6.22","6.63","6.17","6.14","5.67","2.89","3.92","4.17","4.45","2.76","3.9","4.01","3.09","3.92","4.68","3.59","4.56","4.06","4.27"
"P Tracking Error","4.11","4.68","4.06","4.62","4.64","3.92","5.33","4.85","4.92","4.84","4.21","4.25","5.3","7.24","10.79","10.79","10.43","10.48","8.78","5.27","6.91","7.52","8.69","6.47","6.3","6.84","6.46","6.55","7.15","6.38","7.17","7.08","7.1"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.11","1.19","1.03","0.87","0.78","0.33","0.58","1.04","0.49","0.67","0.44","0.62","0.27","0.37","0.75","0.42","0.7","1.05","0.9","0.53","1.07","1.41","1.56","1.2","0.98","0.62","0.37","0.4","0.73","0.69","0.85","1.05","0.83"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.25","0.25","0.2","0.1","0.15","0.03","0.15","0.21","0.05","0.11","0.01","-0.09","0.34","0.05","0.41","0.38","0.36","0.6","0.35","0.12","0.35","0.58","0.89","0.48","0.43","0.22","0.06","-0.02","0.19","0.23","0.27","0.2","0.19"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.15","1.21","1.16","1.21","1.2","1.15","1.22","1.14","1.12","1.11","1.11","1.19","0.97","1.15","1.23","1.26","1.24","1.23","1.25","1.13","1.17","1.17","1.16","1.1","1.17","1.17","1.12","1.17","1.21","1.15","1.2","1.17","1.18"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.46","90.72","92.08","93.06","92.98","94.03","91.17","90.18","88.98","89.33","91.9","94.17","85.25","86.51","80.79","82.59","82.65","82.68","89.19","94.75","91.76","91.04","87.37","91.18","94.04","92.65","92.07","93.46","93.27","93.25","92.91","91.82","92.44"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.0703","-24.2677","-23.4439","-24.6198","-23.8195","-23.5626","-24.2765","-22.5177","-22.6938","-22.8604","-22.5028","-23.5997","-39.7731","-40.7444","-41.9343","-42.1324","-41.1106","-40.6286","-40.1571","-37.2429","-38.6537","-38.7452","-39.5235","-38.5297","-38.2803","-38.3011","-38.3996","-39.1649","-40.1744","-39.3465","-38.763","-40.1711","-39.2275"
