"","2016-06-27_to_2019-06-28_VGPortfolio_4QRank","2016-07-27_to_2019-07-28_VGPortfolio_4QRank","2016-08-29_to_2019-08-28_VGPortfolio_4QRank","2016-09-27_to_2019-09-28_VGPortfolio_4QRank","2016-10-27_to_2019-10-28_VGPortfolio_4QRank","2016-11-28_to_2019-11-28_VGPortfolio_4QRank","2016-12-27_to_2019-12-28_VGPortfolio_4QRank","2017-01-27_to_2020-01-28_VGPortfolio_4QRank","2017-02-27_to_2020-02-28_VGPortfolio_4QRank","2017-03-27_to_2020-03-28_VGPortfolio_4QRank","2017-04-27_to_2020-04-28_VGPortfolio_4QRank","2017-05-30_to_2020-05-28_VGPortfolio_4QRank","2017-06-27_to_2020-06-28_VGPortfolio_4QRank","2017-07-27_to_2020-07-28_VGPortfolio_4QRank","2017-08-28_to_2020-08-28_VGPortfolio_4QRank","2017-09-27_to_2020-09-28_VGPortfolio_4QRank","2017-10-27_to_2020-10-28_VGPortfolio_4QRank","2017-11-27_to_2020-11-28_VGPortfolio_4QRank","2017-12-27_to_2020-12-28_VGPortfolio_4QRank","2018-01-29_to_2021-01-28_VGPortfolio_4QRank","2018-02-27_to_2021-02-28_VGPortfolio_4QRank","2018-03-27_to_2021-03-28_VGPortfolio_4QRank","2018-04-27_to_2021-04-28_VGPortfolio_4QRank","2018-05-29_to_2021-05-28_VGPortfolio_4QRank","2018-06-27_to_2021-06-28_VGPortfolio_4QRank","2018-07-27_to_2021-07-28_VGPortfolio_4QRank","2018-08-27_to_2021-08-28_VGPortfolio_4QRank","2018-09-27_to_2021-09-28_VGPortfolio_4QRank","2018-10-29_to_2021-10-28_VGPortfolio_4QRank","2018-11-27_to_2021-11-28_VGPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.822","16.914","14.065","14.685","18.021","16.629","16.427","14.054","10.931","5.563","9.631","17.056","13.288","17.356","21.384","8.713","8.298","18.696","23.474","11.589","22.365","20.196","20.373","19.684","18.507","20.115","22.192","20.575","28.542","26.901"
"B Annualized Returns","13.702","11.79","9.83","11.098","12.517","12.736","12.61","12.591","7.618","2.765","6.215","7.891","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","4.12","5.124","4.235","3.587","5.504","3.893","3.817","1.463","3.313","2.798","3.416","9.165","5.747","8.23","8.597","-1.429","0.0969999999999995","6.876","11.83","1.692","10.796","5.186","4.259","3.633","1.84","4.14","6.312","6.292","8.259","7.249"
"P Volatility","14.43","15.04","14.79","15.21","15.04","14.41","14.75","13.73","14.12","14.6","19.1","22.99","22.95","23.53","24.74","22.07","22.09","22.22","24.07","21.3","23.78","22.41","22.6","21.71","22.03","22.93","22.45","23.03","22.67","23.46"
"B Volatility","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","2.59","2.77","2.54","2.87","2.81","2.25","2.52","1.46","1.93","1.24","3.66","5.94","5.75","6.34","7.33","4.31","4.1","4.15","5.07","2.43","5.09","3.84","3.95","2.93","3.25","4.19","3.73","4.29","4.23","4.75"
"P Tracking Error","4.4","4.63","4.05","4.57","5.06","4.99","4.95","3.91","3.95","5.7","7.05","10.54","10.28","10.42","11.43","5.56","5.56","6.91","8.07","5.14","8.23","6.33","6.87","6.24","6.24","7.14","6.78","7.14","7.13","7.47"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
