"","2016-09-27_to_2019-09-28_VGPortfolio_5QRank","2016-10-27_to_2019-10-28_VGPortfolio_5QRank","2016-11-28_to_2019-11-28_VGPortfolio_5QRank","2016-12-27_to_2019-12-28_VGPortfolio_5QRank","2017-01-27_to_2020-01-28_VGPortfolio_5QRank","2017-02-27_to_2020-02-28_VGPortfolio_5QRank","2017-03-27_to_2020-03-28_VGPortfolio_5QRank","2017-04-27_to_2020-04-28_VGPortfolio_5QRank","2017-05-30_to_2020-05-28_VGPortfolio_5QRank","2017-06-27_to_2020-06-28_VGPortfolio_5QRank","2017-07-27_to_2020-07-28_VGPortfolio_5QRank","2017-08-28_to_2020-08-28_VGPortfolio_5QRank","2017-09-27_to_2020-09-28_VGPortfolio_5QRank","2017-10-27_to_2020-10-28_VGPortfolio_5QRank","2017-11-27_to_2020-11-28_VGPortfolio_5QRank","2017-12-27_to_2020-12-28_VGPortfolio_5QRank","2018-01-29_to_2021-01-28_VGPortfolio_5QRank","2018-02-27_to_2021-02-28_VGPortfolio_5QRank","2018-03-27_to_2021-03-28_VGPortfolio_5QRank","2018-04-27_to_2021-04-28_VGPortfolio_5QRank","2018-05-29_to_2021-05-28_VGPortfolio_5QRank","2018-06-27_to_2021-06-28_VGPortfolio_5QRank","2018-07-27_to_2021-07-28_VGPortfolio_5QRank","2018-08-27_to_2021-08-28_VGPortfolio_5QRank","2018-09-27_to_2021-09-28_VGPortfolio_5QRank","2018-10-29_to_2021-10-28_VGPortfolio_5QRank","2018-11-27_to_2021-11-28_VGPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.927","18.23","16.861","17.381","15.388","8.599","6.487","9.791","17.965","14.642","17.279","22.81","17.139","19.133","17.656","21.008","23.552","23.046","20.417","20.998","18.586","18.54","21.075","20.997","19.658","27.975","25.207"
"B Annualized Returns","11.098","12.517","12.736","12.61","12.591","7.618","2.765","6.215","7.891","7.541","9.126","12.787","10.142","8.201","11.82","11.644","9.897","11.569","15.01","16.114","16.051","16.667","15.975","15.88","14.283","20.283","19.652"
"AR DIFF(P-B)","2.829","5.713","4.125","4.771","2.797","0.981","3.722","3.576","10.074","7.101","8.153","10.023","6.997","10.932","5.836","9.364","13.655","11.477","5.407","4.884","2.535","1.873","5.1","5.117","5.375","7.692","5.555"
"P Volatility","14.63","14.34","14.44","14.89","14.67","14.71","14.46","18.47","23.16","23.31","23.65","24.17","22.98","23.35","22.37","24.21","24.13","23.86","22.64","22.6","21.67","22.14","23.02","21.83","21.98","22.45","23.12"
"B Volatility","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","2.29","2.11","2.28","2.66","2.4","2.52","1.1","3.03","6.11","6.11","6.46","6.76","5.22","5.36","4.3","5.21","5.26","5.17","4.07","3.95","2.89","3.36","4.28","3.11","3.24","4.01","4.41"
"P Tracking Error","4.48","4.68","4.85","5.23","4.27","4.06","5.5","7.03","10.78","10.34","10.49","10.86","8.59","9","6.94","8.28","8.89","8.31","6.45","7.02","6.01","6.23","7.09","6.66","6.55","7.04","7.1"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.63","1.22","0.85","0.91","0.66","0.24","0.68","0.51","0.93","0.69","0.78","0.92","0.81","1.21","0.84","1.13","1.54","1.38","0.84","0.7","0.42","0.3","0.72","0.77","0.82","1.09","0.78"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.18","0.29","0.15","0.2","0.05","-0.09","0.5","0.16","0.59","0.59","0.46","0.52","0.34","0.54","0.18","0.43","0.82","0.68","0.33","0.25","0.07","-0.05","0.23","0.3","0.28","0.23","0.17"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.11","1.13","1.15","1.15","1.17","1","1.11","1.22","1.24","1.26","1.27","1.22","1.22","1.19","1.22","1.21","1.22","1.18","1.16","1.11","1.14","1.18","1.12","1.13","1.17","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.7","89.99","89.53","88.82","92.97","94.29","85.1","86","80.45","82.9","83.4","83.07","88.58","87.58","92.58","90.94","88.69","90.45","93.95","91.93","93.09","93.28","92.52","91.45","92.04","91.83","92.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.8475","-22.6653","-22.6255","-22.702","-22.9424","-23.5258","-39.4506","-39.2802","-40.8473","-40.6135","-40.4609","-40.6111","-39.432","-39.7694","-39.3319","-40.4223","-40.2866","-39.2965","-38.1862","-38.6056","-37.7264","-38.6293","-39.2559","-38.1656","-38.4983","-39.0454","-38.402"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.0693","-2.8871","-2.8473","-2.9238","-3.1642","-3.7476","-5.5256","-5.3552","-6.9223","-6.6885","-6.53590000000001","-6.6861","-5.50700000000001","-5.8444","-5.4069","-6.4973","-6.3616","-5.3715","-4.2612","-4.68060000000001","-3.8014","-4.7043","-5.3309","-4.2406","-4.5733","-5.1204","-4.477"
