"","1 Y 2016-12-13 to 2017-12-14","1 Y 2017-01-13 to 2018-01-14","1 Y 2017-02-13 to 2018-02-14","1 Y 2017-03-13 to 2018-03-14","1 Y 2017-04-13 to 2018-04-14","1 Y 2017-05-15 to 2018-05-14","1 Y 2017-06-13 to 2018-06-14","1 Y 2017-07-13 to 2018-07-14","1 Y 2017-08-14 to 2018-08-14","1 Y 2017-09-13 to 2018-09-14","1 Y 2017-10-13 to 2018-10-14","1 Y 2017-11-13 to 2018-11-14","1 Y 2017-12-13 to 2018-12-14","1 Y 2018-01-15 to 2019-01-14","1 Y 2018-02-13 to 2019-02-14","1 Y 2018-03-13 to 2019-03-14","1 Y 2018-04-13 to 2019-04-14","1 Y 2018-05-14 to 2019-05-14","1 Y 2018-06-13 to 2019-06-14","1 Y 2018-07-13 to 2019-07-14","1 Y 2018-08-13 to 2019-08-14","1 Y 2018-09-13 to 2019-09-14","1 Y 2018-10-15 to 2019-10-14","1 Y 2018-11-13 to 2019-11-14","1 Y 2018-12-13 to 2019-12-14","1 Y 2019-01-14 to 2020-01-14","1 Y 2019-02-13 to 2020-02-14","1 Y 2019-03-13 to 2020-03-14","1 Y 2019-04-15 to 2020-04-14","1 Y 2019-05-13 to 2020-05-14","1 Y 2019-06-13 to 2020-06-14","1 Y 2019-07-15 to 2020-07-14","1 Y 2019-08-13 to 2020-08-14","1 Y 2019-09-13 to 2020-09-14","1 Y 2019-10-14 to 2020-10-14","1 Y 2019-11-13 to 2020-11-14","1 Y 2019-12-13 to 2020-12-14","1 Y 2020-01-13 to 2021-01-14","1 Y 2020-02-13 to 2021-02-14","1 Y 2020-03-13 to 2021-03-14","1 Y 2020-04-13 to 2021-04-14","1 Y 2020-05-13 to 2021-05-14","1 Y 2020-06-15 to 2021-06-14","1 Y 2020-07-13 to 2021-07-14","1 Y 2020-08-13 to 2021-08-14","1 Y 2020-09-14 to 2021-09-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","10.926","19.082","9.422","12.276","10.983","20.455","27.157","26.331","27.016","20.576","10.365","11.693","-3.902","-4.142","2.703","2.275","2.257","-2.906","-6.737","-5.018","-6.775","-1.103","0.983","-0.099","9.572","9.399","3.84","-23.887","-22.875","-24.835","-13.494","-17.949","-1.644","-16.438","-11.193","-10.209","-4.188","4.04","11.918","134.11","106.407","131.9","78.443","85.297","61.705","69.204"
"B Annualized Returns","17.217","22.002","14.375","16.509","14.428","13.549","13.739","14.359","14.483","16.243","6.771","5.313","-0.462","-6.896","3.383","1.649","7.973","3.002","4.18","7.303","3.699","3.639","6.908","13.66","19.603","27.403","22.554","-11.75","-4.968","-0.508","3.831","4.688","18.758","11.549","18.4","14.317","15.158","16.042","14.243","62.556","49.969","45.833","38.861","38.476","32.336","34.992"
"AR DIFF(P-B)","-6.291","-2.92","-4.953","-4.233","-3.445","6.906","13.418","11.972","12.533","4.333","3.594","6.38","-3.44","2.754","-0.68","0.626","-5.716","-5.908","-10.917","-12.321","-10.474","-4.742","-5.925","-13.759","-10.031","-18.004","-18.714","-12.137","-17.907","-24.327","-17.325","-22.637","-20.402","-27.987","-29.593","-24.526","-19.346","-12.002","-2.325","71.554","56.438","86.067","39.582","46.821","29.369","34.212"
"P Volatility","7.37","7.54","7.48","10.82","11.32","10.79","12.42","13.1","12.23","10.93","11.02","12.49","11.86","15.78","19.94","18.92","19.45","19.96","20.53","21.83","22.58","22.87","21.95","23.83","19.49","12.03","12.76","17.85","31.63","36.27","39.8","39.07","41.32","40.12","42.07","43.53","50.66","50.45","48.17","33.76","29.39","29.52","27.42","30","33.92","32.38"
"B Volatility","3.88","3.87","4.91","7.52","8.59","8.62","8.72","8.73","9.12","9.31","9.24","12.27","12.22","13.83","16.14","16.06","16.07","16.54","17.78","18.09","17.94","18.09","16.17","16.21","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.3","13.65","14.06","13.91","12.6","10.47"
"V DIFF(P-B)","3.49","3.67","2.57","3.3","2.73","2.17","3.7","4.37","3.11","1.62","1.78","0.220000000000001","-0.360000000000001","1.95","3.8","2.86","3.38","3.42","2.75","3.74","4.64","4.78","5.78","7.62","7.33","1.75","2.59","2.61","11.44","12.28","15.98","15.21","17.29","15.09","16.37","17.87","23.45","23.13","23.83","17","16.09","15.87","13.36","16.09","21.32","21.91"
"P Tracking Error","5.32","5.5","5.43","6.27","8.12","8.58","9.7","10.2","11.2","9.52","8.8","8.1","8.08","8.41","9.01","7.62","8.23","8.78","7.39","7.43","8.34","8.15","7.62","9.98","10.18","6.08","7.73","8.22","14.48","15.64","19.26","18.49","20.53","18.64","19.93","21.71","26.99","26.26","25.77","22.59","22.53","23.81","21.85","24.1","28.63","28.95"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
