"","1 Y 2017-06-30 to 2018-07-01","1 Y 2017-07-31 to 2018-07-31","1 Y 2017-08-30 to 2018-08-31","1 Y 2017-10-02 to 2018-10-01","1 Y 2017-10-30 to 2018-10-31","1 Y 2017-11-30 to 2018-12-01","1 Y 2018-01-01 to 2018-12-31","1 Y 2018-01-30 to 2019-01-31","1 Y 2018-03-02 to 2019-03-03","1 Y 2018-03-30 to 2019-03-31","1 Y 2018-04-30 to 2019-05-01","1 Y 2018-05-30 to 2019-05-31","1 Y 2018-07-02 to 2019-07-01","1 Y 2018-07-30 to 2019-07-31","1 Y 2018-08-30 to 2019-08-31","1 Y 2018-10-01 to 2019-10-01","1 Y 2018-10-30 to 2019-10-31","1 Y 2018-11-30 to 2019-12-01","1 Y 2018-12-31 to 2019-12-31","1 Y 2019-01-30 to 2020-01-31","1 Y 2019-03-04 to 2020-03-03","1 Y 2019-04-01 to 2020-03-31","1 Y 2019-04-30 to 2020-05-01","1 Y 2019-05-30 to 2020-05-31","1 Y 2019-07-01 to 2020-07-01","1 Y 2019-07-30 to 2020-07-31","1 Y 2019-08-30 to 2020-08-31","1 Y 2019-09-30 to 2020-10-01","1 Y 2019-10-30 to 2020-10-31","1 Y 2019-12-02 to 2020-12-01","1 Y 2019-12-30 to 2020-12-31","1 Y 2020-01-30 to 2021-01-31","1 Y 2020-03-02 to 2021-03-02","1 Y 2020-03-30 to 2021-03-31","1 Y 2020-04-30 to 2021-05-01","1 Y 2020-06-01 to 2021-05-31","1 Y 2020-06-30 to 2021-07-01","1 Y 2020-07-30 to 2021-07-31","1 Y 2020-08-31 to 2021-08-31"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.609","21.019","25.188","15.741","8.753","2.577","-12.404","-2.801","2.314","5.231","4.738","-5.721","-2.838","-4.133","-7.685","-5.977","1.482","1.576","22.368","2.748","-12.294","-37.03","-31.19","-14.957","-20.85","-20.703","1.149","-5.882","-18.517","-1.629","-6.856","5.966","35.62","128.322","101.769","87.965","91.542","74.345","64.186"
"B Annualized Returns","12.002","13.491","18.048","15.445","4.268","3.416","-7.004","-5.009","2.368","9.177","11.245","2.381","7.374","7.514","0.811","1.788","13.574","13.211","28.588","22.477","10.68","-8.411","-0.386","8.662","4.587","8.92","19.359","14.378","8.643","16.355","15.515","17.392","24.761","50.707","44.75","38.085","38.616","36.248","29.474"
"AR DIFF(P-B)","8.607","7.528","7.14","0.295999999999999","4.485","-0.839","-5.4","2.208","-0.0539999999999998","-3.946","-6.507","-8.102","-10.212","-11.647","-8.496","-7.765","-12.092","-11.635","-6.22","-19.729","-22.974","-28.619","-30.804","-23.619","-25.437","-29.623","-18.21","-20.26","-27.16","-17.984","-22.371","-11.426","10.859","77.615","57.019","49.88","52.926","38.097","34.712"
"P Volatility","11.42","11.2","10.96","9.96","10.02","10.93","11.21","15.21","19.68","19.25","18.1","17.83","20.75","21.38","22.73","23.75","24.85","21.67","21.69","16.5","21.42","22.83","39.17","42.84","44.77","42.79","48.7","47.85","44.36","45.95","48.36","49.26","29.07","37.56","29.41","30.99","28.75","31.89","34.52"
"B Volatility","9.18","8.73","9.12","9.7","9.24","12.27","11.46","13.83","16.68","16.93","16.07","16.54","18.31","18.09","17.94","17.02","16.17","12.66","12.16","10.28","15.24","15.31","20.64","23.99","25.06","23.86","25.32","26.38","25.7","26.96","27.21","27.32","16.76","16.76","13.29","14.35","14.06","13.91","12.6"
"V DIFF(P-B)","2.24","2.47","1.84","0.260000000000002","0.779999999999999","-1.34","-0.25","1.38","3","2.32","2.03","1.29","2.44","3.29","4.79","6.73","8.68","9.01","9.53","6.22","6.18","7.52","18.53","18.85","19.71","18.93","23.38","21.47","18.66","18.99","21.15","21.94","12.31","20.8","16.12","16.64","14.69","17.98","21.92"
"P Tracking Error","10.5","10.05","10.76","9.6","9.33","8.55","8","8.21","7.59","7.13","6.73","7.69","7.19","7.78","8.17","8.66","10.07","10.32","11.1","8.56","12.03","12.77","21.88","21.94","22.88","22.2","26.41","24.49","22.26","23.12","25.08","25.14","18.42","26.44","22.73","24.51","23.37","25.85","28.75"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
