"","2016-03-28_to_2017-03-29_ValuePortfolio_3QRank","2016-04-28_to_2017-04-29_ValuePortfolio_3QRank","2016-05-31_to_2017-05-29_ValuePortfolio_3QRank","2016-06-28_to_2017-06-29_ValuePortfolio_3QRank","2016-07-28_to_2017-07-29_ValuePortfolio_3QRank","2016-08-29_to_2017-08-29_ValuePortfolio_3QRank","2016-09-28_to_2017-09-29_ValuePortfolio_3QRank","2016-10-28_to_2017-10-29_ValuePortfolio_3QRank","2016-11-28_to_2017-11-29_ValuePortfolio_3QRank","2016-12-28_to_2017-12-29_ValuePortfolio_3QRank","2017-01-30_to_2018-01-29_ValuePortfolio_3QRank","2017-02-28_to_2018-03-01_ValuePortfolio_3QRank","2017-03-28_to_2018-03-29_ValuePortfolio_3QRank","2017-04-28_to_2018-04-29_ValuePortfolio_3QRank","2017-05-30_to_2018-05-29_ValuePortfolio_3QRank","2017-06-28_to_2018-06-29_ValuePortfolio_3QRank","2017-07-28_to_2018-07-29_ValuePortfolio_3QRank","2017-08-28_to_2018-08-29_ValuePortfolio_3QRank","2017-09-28_to_2018-09-29_ValuePortfolio_3QRank","2017-10-30_to_2018-10-29_ValuePortfolio_3QRank","2017-11-28_to_2018-11-29_ValuePortfolio_3QRank","2017-12-28_to_2018-12-29_ValuePortfolio_3QRank","2018-01-29_to_2019-01-29_ValuePortfolio_3QRank","2018-02-28_to_2019-03-01_ValuePortfolio_3QRank","2018-03-28_to_2019-03-29_ValuePortfolio_3QRank","2018-04-30_to_2019-04-29_ValuePortfolio_3QRank","2018-05-29_to_2019-05-29_ValuePortfolio_3QRank","2018-06-28_to_2019-06-29_ValuePortfolio_3QRank","2018-07-30_to_2019-07-29_ValuePortfolio_3QRank","2018-08-28_to_2019-08-29_ValuePortfolio_3QRank","2018-09-28_to_2019-09-29_ValuePortfolio_3QRank","2018-10-29_to_2019-10-29_ValuePortfolio_3QRank","2018-11-28_to_2019-11-29_ValuePortfolio_3QRank","2018-12-28_to_2019-12-29_ValuePortfolio_3QRank","2019-01-28_to_2020-01-29_ValuePortfolio_3QRank","2019-02-28_to_2020-02-29_ValuePortfolio_3QRank","2019-03-28_to_2020-03-29_ValuePortfolio_3QRank","2019-04-29_to_2020-04-29_ValuePortfolio_3QRank","2019-05-28_to_2020-05-29_ValuePortfolio_3QRank","2019-06-28_to_2020-06-29_ValuePortfolio_3QRank","2019-07-29_to_2020-07-29_ValuePortfolio_3QRank","2019-08-28_to_2020-08-29_ValuePortfolio_3QRank","2019-09-30_to_2020-09-29_ValuePortfolio_3QRank","2019-10-28_to_2020-10-29_ValuePortfolio_3QRank","2019-11-29_to_2020-11-29_ValuePortfolio_3QRank","2019-12-30_to_2020-12-29_ValuePortfolio_3QRank","2020-01-28_to_2021-01-29_ValuePortfolio_3QRank","2020-02-28_to_2021-03-01_ValuePortfolio_3QRank","2020-03-30_to_2021-03-29_ValuePortfolio_3QRank","2020-04-28_to_2021-04-29_ValuePortfolio_3QRank","2020-05-28_to_2021-05-29_ValuePortfolio_3QRank","2020-06-29_to_2021-06-29_ValuePortfolio_3QRank","2020-07-28_to_2021-07-29_ValuePortfolio_3QRank","2020-08-28_to_2021-08-29_ValuePortfolio_3QRank","2020-09-28_to_2021-09-29_ValuePortfolio_3QRank","2020-10-28_to_2021-10-29_ValuePortfolio_3QRank","2020-11-30_to_2021-11-29_ValuePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","32.454","22.417","21.458","32.127","21.827","17.358","25.363","16.532","14.44","18.908","16.284","5.369","2.933","3.273","14.086","19.796","19.31","29.927","16.228","9.556","8.22","-7.711","-0.985","8.871","7.704","6.315","5.368","4.547","4.766","-2.414","1.168","18.502","11.836","29.423","10.335","-9.144","-30.887","-18.511","-1.218","-10.223","-5.877","11.157","3.164","-11.221","13.747","10.058","21.825","33.407","150.37","95.934","86.766","83.409","74.804","64.76","85.228","89.586","34.293"
"B Annualized Returns","14.896","14.856","15.433","16.85","13.919","12.196","17.118","21.446","19.115","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","17.558","7.561","6.025","15.277","7.908","5.162","8.245","-4.914","-4.675","0.0420000000000016","-8.898","-6.389","-8.915","-8.745","2.575","7.453","5.244","10.807","0.136000000000003","6.889","3.965","-0.202","6.498","4.165","0.375999999999999","-4.857","1.905","-3.753","-3.048","-2.776","-0.477","3.523","-2.89","-1.016","-13.657","-15.24","-21.156","-18.296","-10.378","-13.231","-14.017","-8.792","-8.887","-19.864","-2.135","-5.642","8.712","7.063","99.014","52.663","48.004","42.844","39.182","36.126","54.528","50.455","5.664"
"P Volatility","15.5","12.27","11.48","12.82","11.81","10.31","10.02","6.69","4.37","6.55","6.27","9.16","8.68","9.84","11.71","12.18","12.77","11.76","11.01","10.65","13.66","11.89","14.91","16.82","18.1","17.65","17.1","21.6","22.13","22.11","24.89","27.53","28.13","26.58","22.7","23.13","25.26","33.4","37.42","39.71","37.19","39.82","37.37","39.62","42.01","45.25","48.95","27.48","38.42","31.35","29.89","31.37","32.77","33.34","32.28","33.31","14.06"
"B Volatility","6.3","6.37","6.37","6.24","5.7","5.62","5.57","4.25","3.79","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","9.2","5.9","5.11","6.58","6.11","4.69","4.45","2.44","0.58","2.52","2.21","1.26","0.779999999999999","0.9","2.75","3.14","3.77","2.41","1.49","1.15","1.19","-0.66","0.44","0.210000000000001","1.49","1","0.170000000000002","2.95","2.48","2.64","5.28","9.69","10.28","13.01","10.75","11.14","9.52","13.25","13.88","15.57","14.24","16.51","13.29","14.84","17.06","18.17","21.82","9.38","20.32","16.39","14.82","16.12","17.82","19.27","20.07","19.9","3.07"
"P Tracking Error","12.1","8.42","7.67","9.65","9.52","7.44","7.15","3.83","2.83","4.8","4.21","4.69","5.98","8.45","10.01","10.06","10.53","10.42","8.8","7.51","6.37","5.95","6.88","6.29","5.81","5.55","6.71","6.48","6.37","4.88","6.51","11.33","11.71","13.84","11.84","12.03","12.03","15.27","16.38","17.96","17.05","18.85","15.16","17.75","20.61","21.74","24.95","15.43","25.8","23.6","22.05","24.08","23.53","24.53","25.3","26.7","14.88"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
