"","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-3.255","0.117","2.173","10.777","20.193","17.158","10.269","-20.902","-28.514","-19.301","-7.624","-7.184","10.932","2.608","9.08","-2.259","8.374","8.004","15.936","168.497","131.463","141.329","77.295","81.076","74.696","70.769"
"B Annualized Returns","0.023","4.24","7.851","14.623","24.835","27.125","22.949","-11.703","-2.048","0.054","3.946","6.078","18.758","12.899","16.457","14.263","14.331","15.391","14.198","62.556","44.925","44.317","38.883","36.803","32.408","34.992"
"AR DIFF(P-B)","-3.278","-4.123","-5.678","-3.846","-4.642","-9.967","-12.68","-9.199","-26.466","-19.355","-11.57","-13.262","-7.826","-10.291","-7.377","-16.522","-5.957","-7.387","1.738","105.941","86.538","97.012","38.412","44.273","42.288","35.777"
"P Volatility","21.01","20.01","23.39","25.5","24.14","18.45","17.44","22.79","37.36","41.33","42.62","45.19","48.16","46.81","46.9","47.44","51.71","51.46","47.36","37.43","31.34","30.83","30.11","31.9","35.24","33.29"
"B Volatility","17.94","18.09","16.17","16.21","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.29","13.65","14.06","13.91","12.6","10.47"
"V DIFF(P-B)","3.07","1.92","7.22","9.29","11.98","8.17","7.27","7.55","17.17","17.34","18.8","21.33","24.13","21.78","21.2","21.78","24.5","24.14","23.02","20.67","18.05","17.18","16.05","17.99","22.64","22.82"
"P Tracking Error","7.7","8.13","9.13","11.23","14.1","10.45","9.92","11.34","20.22","20.62","22.29","24.27","27.1","24.69","24.32","25.2","27.48","26.74","24.91","25.72","24.35","25.05","24.58","25.94","29.54","29.28"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.43","-0.51","-0.62","-0.34","-0.33","-0.95","-1.28","-0.81","-1.31","-0.94","-0.52","-0.55","-0.29","-0.42","-0.3","-0.66","-0.22","-0.28","0.07","4.12","3.55","3.87","1.56","1.71","1.43","1.22"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.32","-0.2","-0.93","-0.62","-1.85","-1.6","-1.71","-1.03","-1.62","-1.36","-1.31","-1.23","-1.41","-1.26","-1.41","-1.49","-1.18","-1","-1.94","2.29","2.71","2.52","2.97","3.05","1.52","1.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.09","1.01","1.39","1.5","1.8","1.59","1.49","1.34","1.71","1.62","1.66","1.78","1.87","1.76","1.72","1.73","1.8","1.79","1.87","1.82","1.6","1.37","1.27","1.39","1.66","1.65"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.77","81.66","91.03","89.57","80.04","76.5","73.3","78.27","83.79","86.53","84.84","86.62","85.88","87.55","87.29","85.86","88.1","89.8","91.43","62.37","40.17","29.62","27.68","29.74","28.17","18.64"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.8062","-18.4224","-17.0927","-16.5796","-13.5046","-12.7936","-12.3122","-35.4672","-44.2236","-42.2126","-43.7062","-45.3092","-47.4353","-44.803","-45.0933","-46.4074","-45.7922","-46.7226","-42.2712","-19.2958","-21.3242","-21.0957","-13.4606","-10.2878","-10.5909","-11.8949"
"B Max Drawdown","-19.7782","-19.7782","-16.4466","-15.7424","-7.6609","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4469"
"MD DIFF(P-B)","-0.0280000000000022","1.3558","-0.646100000000001","-0.837199999999999","-5.8437","-5.9574","-5.4761","-8.7256","-10.2986","-8.2876","-9.78120000000001","-11.3842","-13.5103","-10.878","-11.1683","-12.4824","-11.8672","-12.7976","-8.3462","-7.7589","-11.7197","-11.4912","-3.8562","-0.683400000000001","-0.9864","-4.448"
