"","1 Y 2016-12-28 to 2017-12-29","1 Y 2017-01-30 to 2018-01-29","1 Y 2017-02-28 to 2018-03-01","1 Y 2017-03-28 to 2018-03-29","1 Y 2017-04-28 to 2018-04-29","1 Y 2017-05-30 to 2018-05-29","1 Y 2017-06-28 to 2018-06-29","1 Y 2017-07-28 to 2018-07-29","1 Y 2017-08-28 to 2018-08-29","1 Y 2017-09-28 to 2018-09-29","1 Y 2017-10-30 to 2018-10-29","1 Y 2017-11-28 to 2018-11-29","1 Y 2017-12-28 to 2018-12-29","1 Y 2018-01-29 to 2019-01-29","1 Y 2018-02-28 to 2019-03-01","1 Y 2018-03-28 to 2019-03-29","1 Y 2018-04-30 to 2019-04-29","1 Y 2018-05-29 to 2019-05-29","1 Y 2018-06-28 to 2019-06-29","1 Y 2018-07-30 to 2019-07-29","1 Y 2018-08-28 to 2019-08-29","1 Y 2018-09-28 to 2019-09-29","1 Y 2018-10-29 to 2019-10-29","1 Y 2018-11-28 to 2019-11-29","1 Y 2018-12-28 to 2019-12-29","1 Y 2019-01-28 to 2020-01-29","1 Y 2019-02-28 to 2020-02-29","1 Y 2019-03-28 to 2020-03-29","1 Y 2019-04-29 to 2020-04-29","1 Y 2019-05-28 to 2020-05-29","1 Y 2019-06-28 to 2020-06-29","1 Y 2019-07-29 to 2020-07-29","1 Y 2019-08-28 to 2020-08-29","1 Y 2019-09-30 to 2020-09-29","1 Y 2019-10-28 to 2020-10-29","1 Y 2019-11-29 to 2020-11-29","1 Y 2019-12-30 to 2020-12-29","1 Y 2020-01-28 to 2021-01-29","1 Y 2020-02-28 to 2021-03-01","1 Y 2020-03-30 to 2021-03-29","1 Y 2020-04-28 to 2021-04-29","1 Y 2020-05-28 to 2021-05-29","1 Y 2020-06-29 to 2021-06-29","1 Y 2020-07-28 to 2021-07-29","1 Y 2020-08-28 to 2021-08-29","1 Y 2020-09-28 to 2021-09-29","1 Y 2020-10-28 to 2021-10-29","1 Y 2020-11-30 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.391","24.993","9.75","9.208","10.778","19.391","23.156","17.753","25.91","15.406","10.963","5.986","-7.686","-1.526","7.959","6.749","5.637","-1.704","0.402","-0.584","-6.245","-0.249","11.092","6.112","22.771","12.567","-7.607","-30.67","-13.851","-3.221","-10.531","-5.839","13.559","-7.178","-14.92","5.589","2.207","12.888","39.779","151.407","98.78","99.305","88.762","80.504","72.016","88.524","92.228","40.132"
"B Annualized Returns","18.866","25.182","11.758","11.848","12.018","11.511","12.343","14.066","19.12","16.092","2.667","4.255","-7.509","-7.483","4.706","7.328","11.172","3.463","8.3","7.814","0.362","1.645","14.979","14.726","30.439","23.992","6.096","-9.731","-0.215","9.16","3.008","8.14","19.949","12.051","8.643","15.882","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","28.634","30.7","39.131","28.629"
"AR DIFF(P-B)","2.525","-0.189","-2.008","-2.64","-1.24","7.88","10.813","3.687","6.79","-0.685999999999998","8.296","1.731","-0.177","5.957","3.253","-0.579000000000001","-5.535","-5.167","-7.898","-8.398","-6.607","-1.894","-3.887","-8.614","-7.668","-11.425","-13.703","-20.939","-13.636","-12.381","-13.539","-13.979","-6.39","-19.229","-23.563","-10.293","-13.493","-0.225","13.435","100.051","55.509","60.543","48.197","44.882","43.382","57.824","53.097","11.503"
"P Volatility","6.81","7.25","10.08","10.2","11.05","11.57","12.42","12.24","11.02","10.01","9.5","12.14","10.73","14.74","17.97","17.45","16.41","18.57","20.43","21.77","21.87","21.62","25.72","24.51","22.36","17.44","17.66","24.25","30.97","38.39","40.28","40.7","40.99","40.25","43.16","43.96","47.84","48.56","28.68","37.05","30.46","28.86","28.7","30.5","32.47","30.49","33.27","15.51"
"B Volatility","4.03","4.06","7.9","7.9","8.94","8.96","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.61","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99"
"V DIFF(P-B)","2.78","3.19","2.18","2.3","2.11","2.61","3.38","3.24","1.67","0.49","0","-0.33","-1.82","0.27","1.36","0.84","-0.239999999999998","1.64","1.78","2.12","2.4","2.01","7.88","6.66","8.79","5.49","5.67","8.51","10.82","14.85","16.14","17.75","17.68","16.17","18.38","19.01","20.76","21.43","10.58","18.95","15.5","13.79","13.45","15.55","18.4","18.28","19.86","4.52"
"P Tracking Error","5.97","6.07","6.41","7.58","8.97","9.58","9.71","10.44","10.13","9.38","8.23","7.67","9.08","7.62","6.38","6.04","5.86","6.5","5.31","6.32","5.52","5.26","9.58","8.45","10.27","7.38","7.41","10.8","12.76","16.99","18.56","20.15","20.09","18.35","20.89","22.5","24","24.31","17.29","24.78","22.86","21.63","21.38","21.52","24.02","23.67","26.55","16.32"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
