"","2018-06-26_to_2020-06-27_ValuePortfolio_12QRank","2018-07-26_to_2020-07-27_ValuePortfolio_12QRank","2018-08-27_to_2020-08-27_ValuePortfolio_12QRank","2018-09-26_to_2020-09-27_ValuePortfolio_12QRank","2018-10-26_to_2020-10-27_ValuePortfolio_12QRank","2018-11-26_to_2020-11-27_ValuePortfolio_12QRank","2018-12-26_to_2020-12-27_ValuePortfolio_12QRank","2019-01-28_to_2021-01-27_ValuePortfolio_12QRank","2019-02-26_to_2021-02-27_ValuePortfolio_12QRank","2019-03-26_to_2021-03-27_ValuePortfolio_12QRank","2019-04-26_to_2021-04-27_ValuePortfolio_12QRank","2019-05-28_to_2021-05-27_ValuePortfolio_12QRank","2019-06-26_to_2021-06-27_ValuePortfolio_12QRank","2019-07-26_to_2021-07-27_ValuePortfolio_12QRank","2019-08-26_to_2021-08-27_ValuePortfolio_12QRank","2019-09-26_to_2021-09-27_ValuePortfolio_12QRank","2019-10-28_to_2021-10-27_ValuePortfolio_12QRank","2019-11-26_to_2021-11-27_ValuePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-9.757","-10.866","0.217","-8.279","-4.437","-1.25","5.505","2.531","2.254","7.183","14.324","23.584","13.793","12.903","21.591","16.066","15.16","16.016"
"B Annualized Returns","5.113","6.829","9.664","6.539","12.893","16.609","22.534","19.108","16.77","18.723","19.279","22.435","21.207","20.546","25.089","22.088","22.374","20.924"
"AR DIFF(P-B)","-14.87","-17.695","-9.447","-14.818","-17.33","-17.859","-17.029","-16.577","-14.516","-11.54","-4.955","1.149","-7.414","-7.643","-3.498","-6.022","-7.214","-4.908"
"P Volatility","27.23","26.5","27.3","25.29","27.34","28.49","28.93","25.02","25.3","26.95","28.9","30.15","28.34","27.97","30.98","29.65","31.61","33.84"
"B Volatility","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","6.75","6.12","6.68","4.18","6.74","7.71","8.44","4.99","5.21","6.84","8.77","10.8","9.33","8.96","12.16","10.82","12.16","14.06"
"P Tracking Error","9.17","8.46","9.86","7.62","9.2","10.5","11.24","8.48","9.53","11.21","11.79","14.07","13.62","13.54","16.83","15.32","17.16","19.33"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-1.62","-2.09","-0.96","-1.94","-1.88","-1.7","-1.52","-1.95","-1.52","-1.03","-0.42","0.08","-0.54","-0.56","-0.21","-0.39","-0.42","-0.25"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-1.23","-1.59","-0.81","-1.42","-1.68","-1.66","-1.7","-1.73","-1.38","-1.3","-0.64","-0.64","-0.94","-0.81","-0.87","-1.16","-0.9","-0.91"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.28","1.26","1.26","1.15","1.28","1.31","1.35","1.19","1.18","1.24","1.36","1.45","1.35","1.33","1.45","1.41","1.43","1.49"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.91","93.49","90.45","92.2","92.82","91.2","90.52","90.43","87.29","85.33","89.1","85.91","81.73","80.64","77.06","79.08","76.53","74.27"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-41.444","-44.8373","-41.7045","-40.5989","-42.5975","-43.6675","-43.7978","-41.2184","-41.2717","-42.2989","-41.3151","-43.4044","-44.6115","-43.8642","-46.9888","-46.0383","-47.5668","-49.252"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-7.51900000000001","-10.9123","-7.77950000000001","-6.6739","-8.6725","-9.7425","-9.87280000000001","-7.29340000000001","-7.34670000000001","-8.37390000000001","-7.3901","-9.47940000000001","-10.6865","-9.9392","-13.0638","-12.1133","-13.6418","-15.327"
