"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-12.186","-8.407","5.532","0.121","11.209","23.974","27.235","23.007","32.719","85.027","66.667","83.107","80.244","55.053","65.136","69.472","66.134","41.135","-7.15","-5.784","-1.739","-2.061","6.995","12.085","23.822","14.34","8.195","8.835","10.933","23.098","18.386","11.258","30.263","22.963","16.969","15.362"
"B Annualized Returns","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709"
"AR DIFF(P-B)","-15.194","-16.547","-14.417","-11.93","2.566","8.649","11.535","9.894","6.375","33.671","23.396","44.345","39.679","19.431","35.726","38.772","27.003","12.506","-13.122","-13.61","-11.458","-8.864","-4.086","-3.068","1.857","-3.362","-9.748","-9.503","-8.634","0.189999999999998","-1.97","-9.846","5.305","1.946","-5.977","-6.347"
"P Volatility","33.13","33.26","35.33","36.52","37.95","38.81","44.57","42.69","21.88","22.38","19.66","24.66","24.75","20.36","25.22","22.01","20.75","13.56","25.74","26.8","28.73","29.77","30.58","31.54","33.69","31.56","31.88","32.12","31.77","34.01","34.34","31.9","34.7","33.29","32.04","32.37"
"B Volatility","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","8.99","10.31","12.02","12.44","13.17","13.86","17.49","15.56","3.78","4.28","4.7","9.59","9.5","5.41","11.15","9.8","7.34","2.57","5.26","6.42","8.11","9.05","9.98","10.76","13.2","11.53","11.77","12.01","11.64","14.66","14.88","12.89","15.88","14.46","12.59","12.59"
"P Tracking Error","11.67","13.2","15.03","15.12","16.38","18.49","21.43","19.62","11.34","12.51","12.42","13.55","14.3","12.63","16.34","15.39","15.38","14.64","8.34","9.83","11","11.48","12.48","14.18","16.26","14.75","15.58","16.11","15.66","17.54","18.33","17.4","19.54","17.97","17.74","18.19"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
