"","1 Y 2016-06-27 to 2018-06-28","1 Y 2016-07-27 to 2018-07-28","1 Y 2016-08-29 to 2018-08-28","1 Y 2016-09-27 to 2018-09-28","1 Y 2016-10-27 to 2018-10-28","1 Y 2016-11-28 to 2018-11-28","1 Y 2016-12-27 to 2018-12-28","1 Y 2017-01-27 to 2019-01-28","1 Y 2017-02-27 to 2019-02-28","1 Y 2017-03-27 to 2019-03-28","1 Y 2017-04-27 to 2019-04-28","1 Y 2017-05-30 to 2019-05-28","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2016-06-27 to 2018-06-28","2 Y 2016-07-27 to 2018-07-28","2 Y 2016-08-29 to 2018-08-28","2 Y 2016-09-27 to 2018-09-28","2 Y 2016-10-27 to 2018-10-28","2 Y 2016-11-28 to 2018-11-28","2 Y 2016-12-27 to 2018-12-28","2 Y 2017-01-27 to 2019-01-28","2 Y 2017-02-27 to 2019-02-28","2 Y 2017-03-27 to 2019-03-28","2 Y 2017-04-27 to 2019-04-28","2 Y 2017-05-30 to 2019-05-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.981","24.245","25.931","19.306","4.111","7.395","-4.55","-2.447","8.697","11.394","9.029","8.401","9.739","12.308","13.545","-0.955","-0.179","1.385","20.835","8.799","-3.59","-22.633","-12.584","-2.925","-16.165","-9.397","5.838","0.67","-0.425","16.304","11.027","19.233","35.47","93.181","85.152","92.272","83.163","63.996","66.847","65.933","68.008","44.555","30.539","24.674","18.812","17.851","11.9","12.673","7.967","8.257","7.784","8.342","8.134","11.399","14.064","14.546","19.377","5.242","4.602","4.364","4.491","1.684","1.283","-8.151","-3.056","0.187","-5.473","-3.687","2.047","2.313","8.359","14.115","18.709","14.82","13.087","20.348","20.586","33.979","25.678","23.021","37.8","33.319","21.992","25.397"
"B Annualized Returns","11.293","13.872","18.545","16.092","3.839","4.444","-7.509","-7.368","2.604","8.078","10.234","4.195","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","15.502","14.063","15.301","15.845","11.661","11.633","5.11","7.328","8.538","9.257","10.953","7.791","9.786","10.576","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703"
"AR DIFF(P-B)","10.688","10.373","7.386","3.214","0.272","2.951","2.959","4.921","6.093","3.316","-1.205","4.206","1.439","5.668","13.876","-2.595","-15.298","-16.193","-9.347","-15.12","-9.686","-12.902","-9.878","-11.79","-19.041","-15.934","-14.111","-11.96","-8.135","0.978999999999999","-4.979","3.531","7.526","42.062","39.06","53.51","42.505","27.264","37.437","36.066","27.489","18.051","15.037","10.611","3.511","2.006","0.239000000000001","1.04","2.857","0.928999999999999","-0.754","-0.914999999999999","-2.819","3.608","4.278","3.97","10.679","-3.45","-3.902","-5.739","-5.408","-5.477","-3.052","-6.924","-7.048","-5.943","-11.048","-10.859","-7.672","-4.923","-2.926","-1.038","-3.842","-4.955","-3.739","1.32","1.364","11.071","4.94","2.327","12.842","12.365","-1.034","4.694"
"P Volatility","9.58","9.61","8.22","8.66","8.89","12.49","11.61","13.47","15.29","17.18","18.69","19.62","17.9","20.1","24.17","19.87","20.34","22.84","15.7","10","10.38","14","24.16","26.05","25.73","29.3","28.75","31.38","33.83","35.45","41.33","38.55","34.96","21.36","20.77","23.34","22.76","23.25","24.25","21.54","20.67","12.02","12.12","10.65","9","9.63","8.56","9.39","9.03","10.71","11.92","13.45","14.73","15.27","14.68","15.96","18.32","15.39","16.58","17.84","16.64","14.97","14.76","16.1","21.13","21.42","22.3","24.26","23.71","26.33","29.17","30.26","32.79","30.39","29.04","32.21","32.6","33.95","32.7","33.23","33.84","31.52","30.7","33.17"
"B Volatility","9.04","9","9.35","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","0.540000000000001","0.609999999999999","-1.13","-0.859999999999999","-0.609999999999999","0.0199999999999996","-0.940000000000001","-1","-1.39","0.57","2.04","2.69","-0.75","0.450000000000003","4.7","0.260000000000002","2.5","4.99","2.13","-1.95","-1.61","-1.74","4.01","2.51","2.81","6.35","5.44","7.3","9.05","10.5","14.25","11.42","10.12","3.26","5.81","8.27","7.51","8.3","10.18","9.33","7.26","1.03","4.68","3.43","1.6","2.18","1.48","0.26","-0.0899999999999999","-0.949999999999999","-0.710000000000001","0.719999999999999","1.98","2.32","0.640000000000001","1.23","3.6","0.56","1.77","3.08","1.75","0.440000000000001","0.629999999999999","0.650000000000002","3.01","1.15","1.82","3.88","3.09","5.22","8.57","9.48","12.3","10.36","8.95","12.1","12.47","14.6","13.69","14.22","15.02","12.69","11.25","13.39"
"P Tracking Error","4.52","4.64","3.96","4.84","5.21","5.63","5.08","4.82","5.63","5.89","5.49","7.26","8.96","7.28","11.35","4.99","5.05","7.36","5.36","4.93","4.5","4.69","7.27","6.11","6.56","8.9","7.48","9.12","12.06","13.8","17.06","14.5","13.89","10.49","9.97","13.16","12.71","12.76","15.71","14.23","14.45","11.37","8.47","7.53","5.66","6.51","5.74","4.59","4.71","5.22","5.73","6.89","7.14","7.96","9.47","9.13","11.18","6.92","6.69","7.24","6.2","6.53","5.74","5.52","6.83","6.54","6.57","7.33","6.25","7.72","11","11.84","14.38","12.88","11.91","15.53","15.05","17.55","16.87","17.45","18.48","15.82","15.97","17.26"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
