"","1 Y 2016-09-27 to 2018-09-28","1 Y 2016-10-27 to 2018-10-28","1 Y 2016-11-28 to 2018-11-28","1 Y 2016-12-27 to 2018-12-28","1 Y 2017-01-27 to 2019-01-28","1 Y 2017-02-27 to 2019-02-28","1 Y 2017-03-27 to 2019-03-28","1 Y 2017-04-27 to 2019-04-28","1 Y 2017-05-30 to 2019-05-28","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2016-09-27 to 2018-09-28","2 Y 2016-10-27 to 2018-10-28","2 Y 2016-11-28 to 2018-11-28","2 Y 2016-12-27 to 2018-12-28","2 Y 2017-01-27 to 2019-01-28","2 Y 2017-02-27 to 2019-02-28","2 Y 2017-03-27 to 2019-03-28","2 Y 2017-04-27 to 2019-04-28","2 Y 2017-05-30 to 2019-05-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.408","5.226","8.835","-3.577","-3.145","4.091","9.548","11.574","8.787","8.067","9.206","14.402","10.598","18.528","3.309","20.254","12.854","-7.722","-27.913","-18.486","-10.175","-16.685","-9.131","-0.29","-2.106","-6.278","4.084","6.838","16.393","35.857","94.114","86.141","89.771","83.232","69.129","67.164","65.193","72.56","39.441","16.471","12.894","12.733","7.806","6.543","5.96","10.397","8.358","13.455","14.702","14.882","18.986","10.917","13.85","5.803","5.104","4.674","-1.293","-11.769","-7.602","-5.427","-7.512","-4.843","-1.078","0.772","3.766","5.087","16.269","15.311","14.241","17.405","22.781","33.498","26.334","24.05","37.027","31.198","24.424","21.656"
"B Annualized Returns","16.092","3.839","4.444","-7.509","-7.368","2.604","8.078","10.234","4.195","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","15.845","11.661","11.633","5.11","7.328","8.538","9.257","10.953","7.791","9.786","10.576","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703"
"AR DIFF(P-B)","0.316000000000003","1.387","4.391","3.932","4.223","1.487","1.47","1.34","4.592","-0.233000000000001","2.566","14.733","8.958","3.409","-14.269","-9.928","-11.065","-13.818","-18.182","-15.78","-19.04","-19.561","-15.668","-20.239","-14.736","-13.988","-11.241","-9.168","0.691000000000001","7.913","42.995","40.049","51.009","42.574","32.397","37.754","35.326","32.041","12.937","0.625999999999999","1.233","1.1","2.696","-0.785","-2.578","1.14","-2.595","5.664","4.916","4.306","10.288","2.225","5.346","-4.3","-4.795","-2.487","-5.628","-10.542","-11.594","-11.557","-13.087","-12.015","-10.797","-6.464","-7.519","-10.066","-6.282","-4.464","-2.585","-1.623","3.559","10.59","5.596","3.356","12.069","10.244","1.398","0.952999999999999"
"P Volatility","8.86","8.82","13.01","12.2","14.6","18.51","18.79","16.59","18.66","18","21.37","23.74","19.6","20.95","20.1","12.59","8.71","12.13","16.1","25.86","27.63","28.54","30.56","28.04","28.61","33.48","34.66","39.29","36.11","35.49","21.16","20.52","22.42","22.47","23.52","24.57","21.46","20.83","13.61","11.16","9.09","10.04","9.64","11.79","14.36","14.18","12.92","14.86","14.95","16.87","17.91","15.02","16.29","16.01","13.87","13.33","15.39","17.29","22.24","23.35","23.97","25.12","23.63","23.54","28.19","29.46","31.18","27.72","28.97","32.68","31.07","31.61","32.89","34.27","34.99","32.41","31.73","34.1"
"B Volatility","9.52","9.5","12.47","12.55","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","-0.66","-0.68","0.539999999999999","-0.350000000000001","0.129999999999999","1.83","2.18","-0.0599999999999987","1.73","-0.649999999999999","1.72","4.27","-0.00999999999999801","3.11","2.25","-0.98","-3.24","0.140000000000001","0.360000000000001","5.71","4.09","5.62","7.61","4.73","4.53","8.7","9.71","12.21","8.98","10.65","3.06","5.56","7.35","7.22","8.57","10.5","9.25","7.42","2.62","3.71","2.01","0.909999999999998","0.520000000000001","0.129999999999999","1.73","1.45","0.17","1.91","0.91","2.14","3.19","0.19","1.48","1.25","-1.02","-1.2","1.26","1.84","4.12","3.08","3.49","4.74","3.01","2.43","7.59","8.68","10.69","7.69","8.88","12.57","10.94","12.26","13.88","15.26","16.17","13.58","12.28","14.32"
"P Tracking Error","4.77","4.45","5.73","6.05","4.19","4.62","4.87","5.48","6.96","7.18","7.16","10.12","8.71","10.45","6.01","6.36","5.94","5.71","5.32","8.77","7.41","8.32","10.03","6.89","6.12","11.48","13.2","15.14","11.86","13.9","10.08","8.73","11.98","11.79","13.26","16.76","14.97","14.63","14.09","8.06","6.25","5.48","5.86","5.44","5.52","5.53","6.85","8.14","8.69","8.9","10.18","9.44","8.94","6.63","6.96","6.71","6.56","5.97","7.75","7.24","7.16","8","5.96","5.82","9.97","11.26","12.94","10","11.38","16","13.6","15.42","16.76","18.43","19.71","16.97","16.98","19.08"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
