"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","4.858","7.831","9.395","3.715","14.5","1.321","26.522","23.092","-3.517","-25.114","-16.796","-7.339","-11.57","-11.33","-4.484","-13.017","-12.943","-1.362","-5.808","4.14","19.738","67.505","66.157","77.699","70.187","54.13","52.873","54.938","63.745","33.26","14.202","16.454","18.971","10.776","12.445","3.918","7.738","10.596","1.7","-10.781","-7.503","-4.104","-5.062","-6.246","-5.495","-7.147","-3.727","-0.482","5.682","5.421","4.704","10.292","16.435","28.148","21.501","17.826","30.554","24.069","18.457","16.151"
"B Annualized Returns","8.3","6.64","-0.331","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","9.786","10.576","8.698","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703"
"AR DIFF(P-B)","-3.442","1.191","9.726","2.075","-0.619","-16.257","-3.66","-0.827000000000002","-9.613","-15.383","-14.09","-16.204","-14.446","-17.867","-24.433","-25.647","-20.653","-16.687","-21.814","-11.562","-8.206","16.386","20.065","38.937","29.529","17.398","23.463","25.071","23.226","6.756","4.416","5.878","10.273","2.084","3.941","-6.185","-2.161","3.435","-2.635","-9.554","-11.495","-10.234","-10.637","-13.418","-15.214","-14.383","-15.012","-15.635","-16.869","-14.354","-12.122","-8.736","-2.787","5.24","0.763000000000002","-2.868","5.596","3.115","-4.569","-4.552"
"P Volatility","21.03","22.51","24.77","22.9","21.72","20.99","14.13","9.56","8.59","13.7","24.1","26.74","23.61","26.6","28.34","27.08","32.04","34.19","41.09","38.31","33.67","19.05","19.53","21.03","20.13","21.1","22.36","20.18","20","13.49","16.89","17.45","18.56","17.1","17.09","16.54","15.17","13.97","12.12","14.63","20.74","22.08","19.84","22.25","23.49","22.88","26.94","29.02","31.68","28.82","27.24","28.18","28.94","29.88","29.62","31.19","32.65","31.67","31.61","33.31"
"B Volatility","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","2.38","2.86","5.3","3.29","3.88","3.14","0.56","-2.39","-3.4","-2.04","3.95","3.2","0.689999999999998","3.65","5.03","3","7.26","9.24","14.01","11.18","8.83","0.949999999999999","4.57","5.96","4.88","6.15","8.29","7.97","6.59","2.5","2.85","2.72","3.84","2.27","2.28","1.78","0.279999999999999","-0.559999999999999","-2.01","-0.819999999999999","2.62","1.81","-0.640000000000001","1.87","2.87","1.77","6.34","8.24","11.19","8.79","7.15","8.07","8.81","10.53","10.61","12.18","13.83","12.84","12.16","13.53"
"P Tracking Error","6.53","6.37","10.82","8.52","9.79","5.77","8.7","9.94","6.63","6.15","7.46","6.6","5.34","6.84","7.48","6.22","9.73","13.3","17.58","14.5","13.89","9.68","8.93","9.52","9.44","10.35","14.15","13.78","14.4","14.09","7.98","8.17","9.9","8.58","8.67","6.79","8.06","8.55","6.9","6.48","7.2","7.25","6.47","6.58","6.65","7.06","8.6","11.18","13.86","11.45","10.89","12.12","11.47","13.2","13.5","15.23","17.03","15.92","16.8","18.44"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.53","0.19","0.9","0.24","-0.06","-2.82","-0.42","-0.08","-1.45","-2.5","-1.89","-2.46","-2.71","-2.61","-3.27","-4.12","-2.12","-1.25","-1.24","-0.8","-0.59","1.69","2.25","4.09","3.13","1.68","1.66","1.82","1.61","0.48","0.55","0.72","1.04","0.24","0.45","-0.91","-0.27","0.4","-0.38","-1.47","-1.6","-1.41","-1.64","-2.04","-2.29","-2.04","-1.75","-1.4","-1.22","-1.25","-1.11","-0.72","-0.24","0.4","0.06","-0.19","0.33","0.2","-0.27","-0.25"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.45","0.1","0.65","0.54","0","-1.34","0.12","0.67","-0.4","-1.08","-1.26","-1.49","-1.15","-1.66","-1.85","-2.5","-2.08","-1.74","-2.08","-1.54","-1.25","1.07","1.02","1.42","1.56","1.32","1.02","0.84","1.43","2.07","0.2","0.43","0.68","0.39","0.36","-0.59","-0.07","0.33","-0.06","-0.54","-1","-0.85","-0.75","-1.13","-1.16","-1.28","-1.48","-1.56","-1.85","-1.64","-1.35","-1.1","-0.51","-0.36","-0.4","-0.67","-0.51","-0.77","-0.71","-0.86"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.1","1.15","1.09","1.09","1.14","0.84","0.47","0.6","0.8","1.15","1.11","1","1.13","1.19","1.1","1.26","1.3","1.44","1.35","1.26","0.91","1.17","1.27","1.18","1.26","1.26","1.23","1.04","0.43","1.06","1.05","1.07","1","0.99","1.02","0.87","0.79","0.75","0.86","1.08","1.03","0.92","1.04","1.1","1.03","1.27","1.33","1.47","1.37","1.27","1.3","1.37","1.46","1.46","1.53","1.59","1.56","1.45","1.48"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.78","91.99","80.43","85.27","78.03","93.15","60.63","27.88","67.79","83.32","91.03","94.19","94.31","94.01","94.92","94.99","94.21","88.41","89.03","91.09","85.22","72.1","78.73","81.51","77.66","76.92","58.46","50.35","42.43","2.63","76.92","77.21","70.47","73.59","73.02","82.42","72.07","65.83","75.08","81.72","87.84","88.78","89.57","91","92.37","90.12","93.7","90.3","89.5","90.45","87.47","85.42","90.51","88.83","87.44","85.75","83.82","84.99","78.38","76.49"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.5609","-22.0446","-22.8732","-20.6567","-19.3389","-18.0991","-5.3673","-5.269","-11.4731","-37.2234","-37.9125","-37.2617","-35.3463","-37.9683","-39.13","-38.5994","-41.6918","-43.8288","-47.2801","-44.5171","-36.1884","-15.0441","-13.5596","-13.5573","-7.9107","-8.8067","-8.9111","-8.4858","-10.1994","-10.4044","-23.5609","-22.0446","-22.8732","-21.458","-21.3227","-22.624","-19.3278","-16.2452","-15.6888","-37.2234","-38.2948","-37.2617","-35.3463","-37.9683","-39.13","-38.5994","-41.6918","-43.8288","-47.2801","-45.2008","-43.6501","-43.7739","-41.6374","-43.1797","-44.163","-45.2258","-47.5708","-46.8797","-48.3813","-49.7323"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.7827","-2.2664","-3.095","-1.0222","-2.8923","-2.3567","1.4688","1.5671","1.2827","-3.2984","-3.9875","-3.3367","-1.4213","-4.0433","-5.20500000000001","-4.67440000000001","-7.7668","-9.9038","-13.3551","-10.5921","-7.6681","-5.4396","-3.9551","-3.9528","1.6937","0.797800000000001","0.6934","-1.0086","-4.9869","-5.1919","-3.7827","-2.2664","-3.095","-1.6798","-1.5445","-2.8458","0.450399999999998","3.533","4.0894","-3.2984","-4.36980000000001","-3.3367","-1.4213","-4.0433","-5.20500000000001","-4.67440000000001","-7.7668","-9.9038","-13.3551","-11.2758","-9.7251","-9.8489","-7.7124","-9.2547","-10.238","-11.3008","-13.6458","-12.9547","-14.4563","-15.8073"
