"","2018-06-26_to_2021-06-27_ValuePortfolio_12QRank","2018-07-26_to_2021-07-27_ValuePortfolio_12QRank","2018-08-27_to_2021-08-27_ValuePortfolio_12QRank","2018-09-26_to_2021-09-27_ValuePortfolio_12QRank","2018-10-26_to_2021-10-27_ValuePortfolio_12QRank","2018-11-26_to_2021-11-27_ValuePortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.303","4.437","15.358","5.611","8.858","7.596"
"B Annualized Returns","16.275","15.729","15.88","15.174","19.589","19.763"
"AR DIFF(P-B)","-3.972","-11.292","-0.522","-9.563","-10.731","-12.167"
"P Volatility","25.24","24.19","25.23","22.44","24.48","25.54"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","6.46","5.45","6.51","3.7","6.04","6.83"
"P Tracking Error","10.34","9.04","11.35","8.09","9.89","10.73"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.38","-1.25","-0.05","-1.18","-1.09","-1.13"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.57","-1.04","-0.1","-0.87","-0.97","-1.16"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.25","1.22","1.22","1.12","1.24","1.27"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","86.33","88.52","82","87.72","86.5","85.76"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-41.444","-44.8373","-41.7045","-40.5989","-42.5975","-43.6675"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-7.51900000000001","-10.9123","-7.77950000000001","-6.6739","-8.6725","-9.7425"
