"","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-1.208","22.119","21.549","41.87","27.549","-1.85","-4.225","15.843","41.223","16.614","24.735","35.893","30.31","41.083","1.096","0.868","0.408","18.273","62.901","52.787","45.853","42.033","45.296","34.831","36.228","45.538","26.159","7.469","13.283","14.342","17.227","11.168","1.077","2.43","13.723","23.673","11.97","17.591","23.943","19.967","29.307","1.567","9.903","6.16","4.996","10.033","11.599","14.461","9.539","14.904","16.087","15.507","16.791","14.595","10.777","16.062","14.761","17.77","13.123","3.29","5.291","10.792","21.867","15.225","18.21","24.145","17.19","22.489","3.704","3.609","3.124","4.866","9.375","9.279","9.266","7.484","9.589","9.62","11.414","16.153","12.244"
"B Annualized Returns","1.64","15.119","17.578","30.182","23.919","6.096","-9.731","-2.706","8.865","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","8.692","8.504","10.103","9.899","7.161","4.335","-1.227","3.992","6.13","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","11.098","12.646","12.736","12.61","12.591","7.718","2.521","6.289","7.891","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","-2.848","7","3.971","11.688","3.63","-7.946","5.506","18.549","32.358","13.738","18.198","15.944","17.68","33.373","-14.229","-15.138","-15.294","-9.671","11.782","6.695","7.091","1.375","8.564","5.421","6.361","5.019","-0.345000000000002","-1.223","4.779","4.239","7.328","4.007","-3.258","3.657","9.731","17.543","6.395","10.419","14.224","12.731","18.022","-13.586","-12.648","-13.615","-11.83","-8.995","-7.623","-8.447","-11.199","-5.79","-8.871","-5.447","-6.235","-6.108","-0.321000000000002","3.416","2.025","5.16","0.532","-4.428","2.77","4.503","13.976","7.684","9.026","11.378","7.208","14.149","-7.763","-8.183","-6.773","-6.703","-5.635","-7.202","-6.785","-8.947","-6.657","-6.266","-2.883","-4.13","-7.408"
"P Volatility","27.51","23.37","22.53","17.79","13.27","13.95","13.59","27","40.68","40.25","40.56","43.77","35.67","37.28","30.3","29.63","30.04","32.13","19.18","14.02","16.46","14.59","17.57","14.05","13.06","17.19","12.52","19.63","18.31","17.69","17.24","15.62","15.73","15.78","21.41","30.51","30.51","31.5","33.72","27.79","29.24","24.66","21.84","21.11","24.36","25.4","24.43","22.89","22.97","25.12","21.68","21.99","25.92","26.83","17.54","15.77","14.72","14.42","13.32","13.87","13.71","17.98","25.34","25.45","26.28","27.88","23.14","24.5","21.01","19.58","19.51","22.22","23.03","22.12","21.69","21.67","23.39","20.96","20.83","24.86","25.96"
"B Volatility","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","7.9","5.53","4.68","4.22","1.32","1.96","-2.15","6.85","17.14","17.33","17.61","20.46","11.59","12.5","5.35","2.55","2.91","7.29","1.08","-0.940000000000001","1.39","-0.66","2.62","-0.0199999999999996","0.85","3.78","1.53","4.8","3.5","2.93","2.35","1.09","1.6","0.33","3.29","10.24","10.03","11.12","13.1","6.68","8.64","3.88","1.35","1.08","4.27","5.29","4.3","3.54","3.96","6.11","2.86","3.16","6.47","7.05","5.2","3.54","2.56","2.19","1.05","1.68","0.350000000000001","2.54","8.29","8.25","9.09","10.47","5.38","6.51","2.94","0.579999999999998","0.640000000000001","3.53","4.46","3.47","2.91","2.89","4.65","2.24","2.09","6.42","7.25"
"P Tracking Error","10.75","10.06","10.98","11.96","9.18","3.71","15.17","19.91","28.53","26.81","27.41","29.56","19.97","20.65","8.19","6.11","6.82","10.95","5.32","6.15","5.99","6.09","6.51","7.59","7.4","9.68","9.48","8.02","7.55","8.43","9.1","6.94","4.35","11.1","14.22","20.48","19.24","19.88","21.08","15.12","16.43","6.89","6.04","6.26","8.37","8.67","8.23","7.19","7.87","9.08","8.04","7.13","10.75","11.33","8.77","7.5","7.48","8.08","6.78","4.99","9.7","12.43","17.36","16.52","17.09","18.03","13.58","13.98","7.09","6.65","6.83","7.96","7.85","7.57","6.94","7.04","8.03","6.99","6.37","9.9","10.66"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
