"","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",42.137,39.923,26.498,30.866,41.528,47.401,29.312,31.254,28.546,24.49,20.159,16.907,13.826,-1.133,3.588,0.262
"B Annualized Returns",30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",12.054,9.596,1.8,6.843,17.122,10.416,7.717,7.181,4.613,6.405,1.762,7.159,9.03,3.009,6.755,6.784
"P Volatility",15.96,15.65,16.4,14.52,15.8,10.63,12.03,11.22,10.84,8.76,8.96,10.37,10.79,10.3,16.46,16.89
"B Volatility",12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",3.87,3.56,4.83,3.9,5.18,3.41,3.66,2.85,2.16,0.0700000000000003,0.270000000000001,0.449999999999999,0.76,0.270000000000001,3.49,4.06
"P Tracking Error",6.28,6.43,7.17,7.46,8.84,8.98,8.51,7.38,7.37,5.84,5.39,5.18,5.87,5.36,7.24,7.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.92,1.49,0.25,0.92,1.94,1.16,0.91,0.97,0.63,1.1,0.33,1.38,1.54,0.56,0.93,0.93
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.43,0.52,-0.18,0.23,0.38,1.02,0.53,0.43,0.62,0.29,0.17,0.25,0.77,0.52,0.56,0.53
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.24,1.2,1.31,1.19,1.26,0.81,1.02,1.01,0.92,0.78,0.84,0.91,0.91,0.88,1.15,1.2
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",86.35,83.79,84.15,72.75,68.64,22.57,44.39,51.96,49.07,55.82,62.56,73.1,67.9,71.31,80.05,81.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.031,-8.1374,-9.3129,-7.6857,-7.2862,-7.0174,-6.7825,-6.0725,-6.5677,-6.4155,-6.7655,-6.4455,-9.9961,-13.1227,-16.651,-16.7918
"B Max Drawdown",-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-0.2632,-0.3697,-1.5451,-0.5741,-1.1951,-3.1936,-1.6043,-0.894299999999999,-1.3895,-1.2373,-1.5873,-0.1497,0.272,1.672,0.132899999999999,-0.00789999999999935
