"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.059,16.094,12.744,11.255,17.453,9.628,11.031,7.823,14.823,21.472,26.729,20.262,29.385,17.173,8.886,5.473,-6.779,6.107,12.313,15.479,18.049,10.96,14.134,17.285,26.786,19.516,19.744,22.123,28.046,17.256,9.909,-14.35,-0.748,0.443,-5.806,-1.855,6.786,4.321,7.184,16.003,13.7,12.72,21.73,73.852,44.778,43.704,39.219,27.209,32.33,36.277,42.42,27.309,29.317,25.665,28.86,20.157,14.172,6.222,2.282,-4.175,-5.765
"B Annualized Returns",4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",10.222,6.827,2.411,4.471,10.557,6.323,11.607,10.122,14.2,16.61,18.366,11.758,19.876,14.612,13.682,9.881,5.458,7.712,7.838,7.168,11.193,9.829,11.199,17.063,24.797,16.849,9.549,10.781,9.618,6.067,7.109,3.233,9.197,3.206,-0.607,-1.71,6.191,4.921,12.132,13.379,11.286,11.23,13.886,37.596,16.685,16.982,10.321,2.48,8.106,13.793,7.617,5.714,5.244,4.746,10.775,1.76,2.147,-0.169,7.217,-0.792,0.757000000000001
"P Volatility",7.93,7.35,6.45,5.33,7.75,7.73,7.77,8.22,8.3,8.66,9.32,10.81,9.94,10.97,12.31,10.74,11.21,10.81,14.97,15.34,15.65,15.32,15.27,14.94,12.58,12.93,13.52,12.29,7.93,6.57,9.09,21.66,30.74,31.87,32.21,35.06,36.9,31.7,36.11,33.27,32.42,33.91,21.49,25.2,15.61,15.5,15.71,16.98,15.24,14.4,10.06,12.06,12.05,11.97,8.93,10.14,10.84,11.32,15.23,17,16.87
"B Volatility",4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",3.76,2.36,1.14,0.39,2.81,2.31,1.28,1.47,0.990000000000001,1.35,1.68,3.05,2.18,3.91,2.03,0.17,-1.24,-1.64,-0.77,-0.24,0.0600000000000005,-0.65,-0.58,-0.890000000000001,-3.19,-0.48,0.109999999999999,1.59,1.01,-0.359999999999999,0.23,1.24,7.77,8.55,8.89,11.74,12.89,7.58,12.16,7.11,6.26,8.4,7.39,11.1,3.42,3.41,3.53,5.35,4.62,4.42,2.84,3.69,3.68,3.29,0.24,1.45,0.92,1.29,2.26,4,4.04
"P Tracking Error",7.92,7.39,5.88,6.03,6.95,6.71,6.21,6.81,7.21,7.62,7.16,10.34,8.92,10.63,9.62,8.54,7.77,7.59,7.14,6.64,6.86,6.96,3.48,4.17,7.63,10.7,8.33,9.17,5.69,6.1,5.18,4.79,11.9,11.82,11.22,14.17,17.64,11.61,16.44,13.84,12.48,13.7,11.78,13.63,5.76,6.26,5.86,8.14,8.02,7.78,7.52,8.05,8.42,8.95,5.75,7.26,5.05,4.39,6.24,6.97,7.21
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
