"","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"1",NA,NA,NA,NA
"P Annualized Returns",26.397,16.925,13.787,14.895
"B Annualized Returns",16.757,11.772,10.325,7.673
"AR DIFF(P-B)",9.64,5.153,3.462,7.222
"P Volatility",14.01,13.75,15.83,15.29
"B Volatility",11.12,11.12,12.42,12.26
"V DIFF(P-B)",2.89,2.63,3.41,3.03
"P Tracking Error",6.17,6.36,6.86,6.49
"B Tracking Error",NA,NA,NA,NA
"IR",NA,NA,NA,NA
"P Information Ratio",1.56,0.81,0.5,1.11
"B Information Ratio",NA,NA,NA,NA
"AS",NA,NA,NA,NA
"P Alpha Stat",0.46,0.54,0.26,0.5
"B Alpha Stat",NA,NA,NA,NA
"BS",NA,NA,NA,NA
"P Beta Stat",1.14,1.1,1.16,1.14
"B Beta Stat",NA,NA,NA,NA
"RS",NA,NA,NA,NA
"P R-Squared",81,78.3,81.93,82.39
"B R-Squared",NA,NA,NA,NA
"MD",NA,NA,NA,NA
"P Max Drawdown",-12.1855,-18.7828,-18.5983,-18.6873
"B Max Drawdown",-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-1.9174,-3.9881,-1.8144,-1.9034
