"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",30.52,28.245,28.777,32.618,33.465,21.404,28.51,26.698,17.924,11.422,8.794,15.945,15.106,17.416,17.452,17.192,19.858,16.024,17.314,13.541,11.89,12.309,9.272,14.983,10.331,0.165,9.783,12.458,11.31,18.983,22.978,23.065,20.343,17.465,19.595,15.267,12.543,14.222,15.782,19.573,17.322,19.101,19.953,18.255,20.105,14.66,14.231,13.24,16.634,44.487,29.722,24.682,19.075,16.888,18.934
"B Annualized Returns",9.399,7.945,7.269,6.934,7.909,7.801,5.631,5.861,2.82,1.582,-3.142,1.458,1.845,2.701,3.49,3.429,5.614,4.499,5.84,2.701,2.506,3.102,2.707,7.739,3.634,-5.519,-2.048,-0.813,-1.131,1.006,1.396,1.683,3.185,6.894,9.901,6.764,6.101,7.972,7.794,11.005,10.616,12.824,12.761,11.121,13.469,11.653,12.019,10.779,14.648,26.498,18.203,16.804,10.369,9.869,7.673
"AR DIFF(P-B)",21.121,20.3,21.508,25.684,25.556,13.603,22.879,20.837,15.104,9.84,11.936,14.487,13.261,14.715,13.962,13.763,14.244,11.525,11.474,10.84,9.384,9.207,6.565,7.244,6.697,5.684,11.831,13.271,12.441,17.977,21.582,21.382,17.158,10.571,9.694,8.503,6.442,6.25,7.988,8.568,6.706,6.277,7.192,7.134,6.636,3.007,2.212,2.461,1.986,17.989,11.519,7.878,8.706,7.019,11.261
"P Volatility",14.07,11.99,10.78,14.03,12.34,13.15,14.6,13.12,11.7,9.21,11.58,16.17,15.45,16.36,16.8,19.38,18.56,17.06,18.28,15.65,15.13,13.9,12.63,11.85,12.53,18.64,22.66,22.52,22,22.55,23.1,23.39,23.08,23.73,23.13,25.24,23.29,24.29,22.8,26.12,26.29,25.07,25.24,23.99,24.37,25.02,22.65,24.59,17.02,13.52,12.95,13.15,19.12,16.66,17.73
"B Volatility",5.82,5.88,6.09,6.31,5.89,6,6.06,6.16,8.04,8.02,9.4,11.52,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.76,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.42,19.41,18.73,18.88,19.24,18.28,18.22,18.35,18.34,18.19,18.25,18.28,18.26,18.25,18.34,18.58,18.67,18.72,18.31,11.45,10.33,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",8.25,6.11,4.69,7.72,6.45,7.15,8.54,6.96,3.66,1.19,2.18,4.65,3.81,4.71,5,7.39,6.58,5.08,6.46,3.93,3.37,1.87,0.67,0.0999999999999996,0.33,0.760000000000002,3.75,3.43,2.98,3.13,3.69,4.66,4.2,4.49,4.85,7.02,4.94,5.95,4.61,7.87,8.01,6.81,6.99,5.65,5.79,6.35,3.93,6.28,5.57,3.19,2.07,2.03,6.7,4.24,5.47
"P Tracking Error",12.6,11.47,10.68,12.78,11.8,12.55,14.84,13.48,10.41,7.08,8.38,9.54,8.63,9.96,10.17,11.82,10.81,9.77,10.79,9.76,9.5,8.12,6.91,7.18,7.35,6.35,9.99,11.06,8.22,9.94,12.93,13.34,11.1,10.61,9.01,10.17,7.93,8.23,9.53,12.87,12.76,11.52,11.79,9.12,10.6,11.13,9.89,11.18,9.51,7.31,6.69,6.74,10.18,8.03,9.24
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
