"","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.849,13.14,9.828,12.988,9.405,15.552,10.797,3.366,11.853,10.696,13.455,18.457,12.801,15.747,15.532,16.265,13.613,17.253,15.073,17.653,16.221,15.265,16.103,18.575,21.343,17.324,21.021,20.431,22.413,14.314,12.393,14.664,11.127,11.408,5.245,8.415,9.853
"B Annualized Returns",4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",14.26,8.606,5.491,8.632,5.492,11.082,8.586,7.824,12.447,9.512,11.587,15.299,9.056,14.19,15.46,13.279,11.036,11.878,9.584,10.138,8.797,7.324,8.147,10.804,12.287,9.157,8.835,9.355,7.831,3.083,1.975,3.686,2.186,1.583,0.0570000000000004,1.29,4.114
"P Volatility",21.82,21.41,15.85,12.73,13.75,14.54,13.64,18.34,23.71,24.72,23.38,23.57,22.24,22.88,21.98,21.23,21.5,21.21,19.77,20.48,20.52,19.21,19.04,18.43,19.49,20.17,20.26,21.12,21.34,20.65,19.61,19.35,20.72,21.37,22.39,24.1,24.44
"B Volatility",9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",11.92,11.48,5.92,2.68,3.68,4.39,3.1,3.39,7.87,8.77,7.44,7.63,6.09,6.73,5.7,4.05,4.1,4.19,2.72,3.22,3.47,2.12,1.71,1.34,2.44,3.67,3.52,4.94,5.62,5.09,4.03,3.6,5.08,5.65,5.93,7.63,7.97
"P Tracking Error",16.44,16.43,10.98,8.47,9.1,9.79,8.66,9.22,13.39,13.53,12.04,13.23,10.93,12.18,11.26,10.51,10.49,10.07,8.47,8.96,8.95,7.66,6.7,7.34,12.29,12.58,10.95,11.34,8.27,8.75,7.96,7.46,8.57,8.55,8.11,10.1,11.81
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.87,0.52,0.5,1.02,0.6,1.13,0.99,0.85,0.93,0.7,0.96,1.16,0.83,1.17,1.37,1.26,1.05,1.18,1.13,1.13,0.98,0.96,1.22,1.47,1,0.73,0.81,0.82,0.95,0.35,0.25,0.49,0.26,0.19,0.01,0.13,0.35
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.01,0.42,0.42,0.73,0.46,0.77,0.63,0.66,0.98,0.93,0.93,1.19,0.86,1.22,1.22,1.01,0.98,0.84,0.7,0.79,0.65,0.63,0.74,0.82,1.06,0.69,0.67,0.57,0.29,0.14,0.03,0.17,0.1,-0.04,-0.07,0.1,0.3
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.55,1.46,1.16,0.95,1.02,1.06,1,1.06,1.26,1.34,1.29,1.25,1.22,1.22,1.17,1.08,1.08,1.1,1.05,1.07,1.09,1.03,1.03,0.99,0.89,0.96,1.02,1.11,1.28,1.22,1.16,1.14,1.23,1.28,1.3,1.38,1.34
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",47.91,43.99,51.71,54.51,54.89,53.48,58.5,74.21,70.35,74.12,76.68,70.43,77.75,73.28,74.66,75.13,75.9,77.46,81.25,80.61,80.93,83.68,87.29,83.66,59.94,60.06,69.9,70.99,89.02,84.4,84.72,86.06,85.43,87.76,91.59,88.96,81.48
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.0516,-22.3109,-16.8492,-14.9152,-14.9712,-15.6645,-14.928,-33.5053,-33.6074,-35.3137,-34.8905,-33.722,-34.1966,-32.6738,-31.8742,-30.4152,-31.7391,-32.7278,-32.6281,-32.3227,-33.0215,-30.7602,-30.4303,-30.8342,-28.0039,-29.0078,-29.6241,-31.2125,-35.6875,-34.2678,-32.4034,-31.9018,-33.3285,-34.7068,-36.4365,-39.6188,-37.469
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-10.607,-8.8663,-3.4046,-1.4705,-1.5266,-2.2199,-1.4834,2.2212,2.1191,0.412800000000004,0.835999999999999,2.0045,1.5299,3.0527,3.8523,5.3113,3.9874,2.9987,3.0984,3.4038,2.705,4.9663,5.2962,4.8923,7.7226,6.7187,6.1024,4.514,0.0390000000000015,1.4587,3.3231,3.8247,2.398,1.0197,-0.710000000000001,-3.8923,-1.7425
