"","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.223,14.789,18.563,14.688,12.272,12.373,14.347,15.397,17.446,15.133,17.175,16.855,16.502,15.753,18.365,20.349,17.989,21.655,19.058,20.711,14.091,12.491,12.914,8.555,12.41,4.514,8.845,8.232
"B Annualized Returns",1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",9.039,12.921,15.405,10.943,10.715,12.301,11.361,12.82,12.071,9.644,9.66,9.431,8.561,7.797,10.594,11.293,9.822,9.469,7.982,6.129,2.86,2.073,1.936,-0.386000000000001,2.585,-0.673999999999999,1.72,2.493
"P Volatility",26.03,25.18,23.31,23.57,23.22,22.95,22.14,20.7,19.49,19.96,21.29,20.23,19.54,19.97,19.98,20.5,20.19,19.78,22.04,21.73,19.88,19.87,20.94,20.5,21.98,21.02,21.01,23.18
"B Volatility",15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",10.08,9.24,7.37,7.42,7.07,6.67,4.96,3.3,2.47,2.91,4.03,3.18,2.45,2.64,2.89,3.45,3.69,3.04,5.86,6.01,4.32,4.29,5.19,4.86,6.26,4.56,4.54,6.71
"P Tracking Error",14.59,14.1,13.2,12.74,11.83,11.75,11.28,11.83,8.8,8,8.12,9.76,8.74,8.76,10.11,11.64,12.09,10.99,11.77,8.31,7.86,7.76,8.16,10.06,10.33,7.4,7.63,8.97
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.62,0.92,1.17,0.86,0.91,1.05,1.01,1.08,1.37,1.21,1.19,0.97,0.98,0.89,1.05,0.97,0.81,0.86,0.68,0.74,0.36,0.27,0.24,-0.04,0.25,-0.09,0.23,0.28
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.92,1.04,1.19,1.04,0.97,0.97,0.88,1.12,0.85,0.69,0.73,0.71,0.73,0.78,0.86,0.91,0.73,0.73,0.41,0.17,0.13,0,0,-0.09,0.04,-0.13,0.15,0.13
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.41,1.36,1.23,1.25,1.27,1.23,1.11,0.98,1.02,1.08,1.15,1.04,1.02,1.04,1.01,0.99,0.98,0.98,1.16,1.32,1.19,1.19,1.25,1.15,1.26,1.21,1.21,1.34
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",74.23,72.91,69.39,72.98,76.79,75.82,74.05,66.35,79.05,83.87,86.52,76.15,79.43,80.25,73.63,66.82,63.05,68.23,72.12,90.28,86.13,86.56,87.96,76.56,80.89,90.13,89.1,90.66
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.2482,-35.4531,-32.4195,-33.3111,-34.1956,-33.7337,-32.159,-28.6026,-30.022,-32.1855,-33.6653,-31.3812,-31.2622,-31.4581,-30.6778,-30.2765,-29.4095,-29.6279,-32.8793,-37.0435,-34.2451,-34.621,-35.2367,-32.4124,-34.6483,-34.5156,-34.2201,-37.6068
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-1.5217,0.273400000000002,3.307,2.4154,1.5309,1.9928,3.5675,7.1239,5.7045,3.541,2.0612,4.3453,4.4643,4.2684,5.0487,5.45,6.317,6.0986,2.8472,-1.317,1.4814,1.1055,0.489800000000002,3.3141,1.0782,1.2109,1.5064,-1.8803
