"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.369,3.446,4.717,11.691,9.909,9.179,10.63,9.756,6.135,6.871,8.006,9.302,12.513,11.369,11.011,9.724,9.629,11.043,8.097,11.029,8.076,10.177,25.079,17.947,14.478,14.11,13.814,10.961
"B Annualized Returns",-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",4.28,4.577,4.772,9.519,8.891,7.406,3.736,-0.343,-0.482,0.77,0.561,1.645,0.93,0.519,-0.361000000000001,-3.037,-0.898,-1.958,-3.556,-1.681,-3.902,-4.471,-1.934,-1.181,-2.326,2.338,4.232,3.288
"P Volatility",18.01,18.32,17.45,19.98,19.55,19.67,18.88,19.05,17.98,18.49,18.38,18.6,17.83,19.7,19.01,18.49,18.99,19.45,19.01,18.59,18.72,13.11,13.88,11.68,12.15,12.46,14.21,14.6
"B Volatility",19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",-1.08,-0.699999999999999,-1.57,0.57,0.82,0.790000000000003,-0.359999999999999,0.359999999999999,-0.239999999999998,0.139999999999997,-0.300000000000001,0.41,-0.420000000000002,1.03,0.73,0.239999999999998,0.389999999999997,0.870000000000001,0.34,-0.0800000000000018,0.41,1.66,2.43,0.799999999999999,1.03,1.34,1.79,2.34
"P Tracking Error",6.73,7.03,5.08,9.34,7.81,7.62,7.6,3.3,4.24,7.13,5,4.85,5.46,4.7,5.03,7.54,7.01,8.08,8.44,7.12,7.87,7.69,7.28,6.2,6.85,5.99,5.73,6.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.64,0.65,0.94,1.02,1.14,0.97,0.49,-0.1,-0.11,0.11,0.11,0.34,0.17,0.11,-0.07,-0.4,-0.13,-0.24,-0.42,-0.24,-0.5,-0.58,-0.27,-0.19,-0.34,0.39,0.74,0.52
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.35,0.49,0.42,0.88,0.65,0.48,0.32,0.05,-0.05,-0.07,-0.11,0.08,0.21,0.2,-0.04,-0.03,0.04,-0.17,-0.19,-0.13,-0.02,-0.1,-0.22,0.02,0.16,0.2,0.36,0.13
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.88,0.9,0.88,0.91,0.96,0.96,0.9,1,0.96,0.93,0.95,0.99,0.93,1.02,1,0.93,0.95,0.95,0.92,0.92,0.93,0.93,1.03,0.91,0.91,0.98,1.05,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",86.97,85.79,92.78,77.82,83.43,84.42,84.06,96.84,94.34,84.87,92.53,92.9,90.68,94.09,92.68,83.11,85.95,82.13,80.06,85.27,81.99,64.39,71.3,71.15,67.41,75.83,83.15,81.05
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-29.0355,-29.3162,-30.4519,-30.2441,-29.8613,-30.2638,-29.5552,-31.5733,-31.4325,-30.0626,-30.9035,-31.1284,-29.7554,-31.5838,-32.0702,-30.4191,-30.4457,-30.3602,-30.479,-30.2358,-31.0801,-27.0487,-6.5323,-6.2499,-9.6749,-15.1525,-15.3242,-15.3262
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",6.691,6.4103,5.2746,5.4824,5.8652,5.4627,6.1713,4.1532,4.294,5.6639,4.823,4.5981,5.9711,4.1427,3.6563,5.3074,5.2808,5.3663,5.2475,5.4907,4.6464,4.3039,1.2355,1.5179,0.593200000000001,-0.357799999999999,1.4597,1.4577
