"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",26.061,35.65,27.362,14.354,8.237,12.44,12.783,13.579,9.82,7.354,8.299,4.089,3.99,0.336,5.743,5.311,5.858,6.093,6.231,7.377,5.203,8.057,8.967,4.807,10.168,7.75,12.312,5.217,0.032,2.451,0.02,0.151,2.11,8.72,2.149,12.247,13.816,21.068,9.345,7.862,9.464,12.757,9.253,9.805,8.907,10.879,9.509,11.961,12.811,10.789,7.506,13.109,25.229,16.806,11.924,12.608,12.984,10.796
"B Annualized Returns",9.908,13.106,13.295,9.399,7.159,7.269,7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",16.153,22.544,14.067,4.955,1.078,5.171,5.192,5.72,2.019,0.804,2.438,2.146,2.964,3.478,4.646,3.393,2.989,2.603,3.718,1.763,0.704000000000001,2.804,6.266,2.761,7.001,5.043,7.299,1.583,5.551,4.052,0.399,1.282,2.165,7.324,1.131,9.917,6.922,10.969,2.662,1.761,2.019,5.328,-1.752,-1.045,-3.909,-1.882,-1.397,-1.235,1.158,-1.921,-3.273,-1.539,-1.784,-2.984,-4.88,1.81,3.226,3.123
"P Volatility",8.87,11.99,12.6,5.37,6.36,5.79,5.68,5.47,5.88,5.73,5.92,6.63,6.64,8.43,9.09,10.01,9.86,9.64,8.93,8.92,8.94,9.26,14.65,9.27,10.1,8.35,8.98,9.92,15.97,19.24,19.05,19.5,18.51,20.1,18.84,19.77,19.57,21.68,19.16,20.38,20.1,18.6,19.16,20.87,19.4,20.01,23.24,19.7,21.28,19.92,18.64,13.2,12.63,12.76,12.53,14.1,14.51,13.1
"B Volatility",6.65,5.43,5.77,5.82,5.88,6.09,6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",2.22,6.56,6.83,-0.45,0.48,-0.3,-0.41,-0.42,-0.12,-0.27,-0.24,-1.41,-1.38,-0.970000000000001,-0.31,-1.63,-1.79,-2.16,-3.06,-3.06,-3.04,-2.56,2.93,-2.45,-1.93,-3.61,-2.77,-2.28,-1.91,0.329999999999998,-0.0399999999999991,0.48,-0.509999999999998,0.690000000000001,0.109999999999999,0.890000000000001,0.330000000000002,2.99,0.940000000000001,2.03,1.42,0.41,0.91,2.2,1.14,1.76,4.9,1.12,2.61,1.25,0.330000000000002,1.75,1.18,1.88,1.41,1.68,2.09,0.84
"P Tracking Error",7.42,10.75,10.64,3.87,4.74,5.2,5.33,5.35,4.59,4.86,4.61,4.67,4.51,4.71,4.98,4.82,4.31,3.62,4.95,5.18,4.68,4.49,7.17,5.12,5.45,5.93,5.9,3.67,5.45,6.91,5.72,6.12,4.56,5.34,4.08,5.94,5.46,8.07,6.93,4.5,4.05,6.35,6.35,8.33,6.12,5.83,6.7,6.04,5.21,5.41,7.24,6.88,5.65,5.71,6.66,5.96,5.89,6.47
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
