"","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.854,7.72,6.303,8.842,8.117,6.47,7.481,5.251,10.628,7.617,0.109,1.484,1.813,0.804,0.182,1.305,-1.664,1.298,5.14,13.474,6.884,8.187,9.248,8.918,10.273,10.36,8.105,8.629,8.451,12.697,8.567,10.078,7.822,12.069,25.161,16.546,13.809,13.297,11.593,11.747
"B Annualized Returns",2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",3.341,2.106,1.804,3.589,5.416,4.424,4.314,2.544,5.615,3.983,5.628,3.085,2.192,1.935,0.237,-0.091,-2.682,-1.032,-1.754,3.375,0.201000000000001,2.086,1.803,1.489,-0.732000000000001,-0.49,-4.711,-4.132,-2.455,-0.499000000000001,-3.086,-2.632,-2.957,-2.579,-1.852,-3.244,-2.995,2.499,1.835,4.074
"P Volatility",8.72,9.03,9.99,9.43,8.97,9.07,9.33,10.07,8.44,9.44,15.37,18.65,18.82,18.49,18.45,18.16,18.4,20.2,17.88,18.04,18.34,18.26,17.61,18.64,18.08,19.19,20.17,18.78,19.04,19.59,18.31,19.3,18.14,12.61,13.49,12.13,12.44,13.46,13.85,14.95
"B Volatility",11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",-3.27,-2.95,-1.99,-2.39,-2.75,-2.65,-2.7,-1.89,-3.31,-2.76,-2.51,-0.260000000000002,-0.27,-0.530000000000001,-0.57,-1.25,-0.330000000000002,1.32,-1.36,-0.650000000000002,0.120000000000001,-0.0899999999999999,-1.07,0.449999999999999,-0.170000000000002,0.52,1.91,0.530000000000001,0.699999999999999,1.01,-0.360000000000003,0.629999999999999,-0.169999999999998,1.16,2.04,1.25,1.32,1.04,1.43,2.69
"P Tracking Error",5.15,4.7,3.58,4.06,4.89,4.32,4.35,3.69,5.21,6,6.41,4.9,6,5.07,4.73,4.69,4.17,4.69,3.44,8.68,7.32,7.6,7.6,4.73,5.8,6.87,7.68,7.24,7.44,8.02,7.4,6.64,8.59,6.99,6.29,6,6.57,6.1,6.56,6.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
