"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.351,30.805,4.322,9.551,20.142,31.375,10.037,12.202,9.629,8.648,28.089,15.459,7.447,6.72,6.723,12.089,13.968,8.593,9.26,0.014,2.982,2.762,4.206,5.956,6.254,4.877,0.958,10.78,3.242,6.307,7.861,8.815,9.802,14.614,9.913,10.789,15.041,7.805,13.795,10.474,20.827,12.594,9.093,11.61,8.763,7.493,5.858,6.656,5.4
"B Annualized Returns",6.083,6.763,4.036,4.914,3.027,7.619,7.569,6.948,6.765,5.432,5.939,5.153,4.572,4.438,4.337,4.703,3.822,4.653,2.203,-4.976,-0.951,0.246,1.868,3.158,3.795,1.557,-0.385,2.953,2.577,3.608,5.489,7.515,7.602,7.96,8.055,7.766,8.864,8.013,12.328,11.076,14.582,11.667,10.418,10.978,8.347,9.334,5.6,6.071,5.739
"AR DIFF(P-B)",2.268,24.042,0.286,4.637,17.115,23.756,2.468,5.254,2.864,3.216,22.15,10.306,2.875,2.282,2.386,7.386,10.146,3.94,7.057,4.99,3.933,2.516,2.338,2.798,2.459,3.32,1.343,7.827,0.665,2.699,2.372,1.3,2.2,6.654,1.858,3.023,6.177,-0.208,1.467,-0.602,6.245,0.927,-1.325,0.632,0.416,-1.841,0.258,0.585,-0.339
"P Volatility",6.33,16.98,6.82,7.74,19.17,21.31,8.78,9.23,9.23,8.29,21.99,9.27,8.29,8.7,8.37,9.4,10.08,8.33,11.86,12.73,12.74,15.67,14.49,19.25,16.44,15.79,16.3,18.23,17.51,17.35,16.58,15.98,15.94,17.52,16.02,16.19,18.53,18.13,17.75,18.23,18.08,15.62,16.18,16.5,17.05,16.26,16.91,16.33,18.31
"B Volatility",7.78,7.19,8.23,8.23,8.13,8.86,9.85,9.71,9.89,9.89,9.9,9.9,9.9,9.93,9.93,10.05,10.05,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16,16.15,16.15,17.18,17.4,17.02,17.05,17.26,17.07,16.85,17.09,17.11,17.05,16.63,16.74,16.18,15.72,15.37,15.58,15.75,15.64,15.72,15.95,16.46,16.47
"V DIFF(P-B)",-1.45,9.79,-1.41,-0.49,11.04,12.45,-1.07,-0.48,-0.66,-1.6,12.09,-0.630000000000001,-1.61,-1.23,-1.56,-0.65,0.0299999999999994,-1.74,1.32,-2.22,-2.43,-0.279999999999999,-1.45,3.31,0.440000000000001,-0.359999999999999,0.150000000000002,1.05,0.110000000000003,0.330000000000002,-0.470000000000002,-1.28,-1.13,0.669999999999998,-1.07,-0.919999999999998,1.48,1.5,1.01,2.05,2.36,0.25,0.6,0.75,1.41,0.540000000000001,0.960000000000001,-0.130000000000003,1.84
"P Tracking Error",5.89,16.79,4.87,6.51,17.96,18.74,3.8,5.12,4.28,4.95,16.43,6.21,5.11,3.75,3.52,5.87,6.52,5.2,6.15,5.57,5.66,4.06,4.6,7.74,5.84,5.3,4.12,6.8,5.02,5.48,4.06,5.37,7.41,6.45,7.49,6.81,5.02,5.54,5.82,7.79,5.81,4.36,5.85,7.04,4.59,7.26,4.73,5.76,6.05
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.39,1.43,0.06,0.71,0.95,1.27,0.65,1.03,0.67,0.65,1.35,1.66,0.56,0.61,0.68,1.26,1.56,0.76,1.15,0.9,0.69,0.62,0.51,0.36,0.42,0.63,0.33,1.15,0.13,0.49,0.58,0.24,0.3,1.03,0.25,0.44,1.23,-0.04,0.25,-0.08,1.07,0.21,-0.23,0.09,0.09,-0.25,0.05,0.1,-0.06
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.42,2.04,0.12,0.48,1.62,1.22,0.29,0.5,0.23,0.28,1.46,0.92,0.26,0.22,0.24,0.66,0.84,0.39,0.41,0.15,0.12,0.19,0.26,0.25,0.21,0.29,0.11,0.69,0.14,0.17,0.07,0.06,0.31,0.58,0.34,0.32,0.48,-0.16,0.05,-0.14,0.43,0.1,-0.13,0.08,-0.07,-0.11,0.01,0.01,-0.03
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
