"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.469,7.411,15.048,6.748,-1.552,1.345,2.188,2.524,3.831,6.424,6.362,1.555,4.793,2.503,5.096,6.579,9.466,7.979,9.398,8.55,8.701,9.879,9.755,12.524,9.507,14.85,11.8,12.346,11.589,10.175,11.118,6.73,6.435,7.727
"B Annualized Returns",4.486,3.913,4.653,2.211,-4.458,-0.951,0.677,1.868,3.158,4.276,1.557,-0.442,2.986,2.577,4.083,5.489,7.515,7.407,7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",4.983,3.498,10.395,4.537,2.906,2.296,1.511,0.656,0.673,2.148,4.805,1.997,1.807,-0.0739999999999998,1.013,1.09,1.951,0.572,1.407,0.594,0.935,0.823,1.742,0.338999999999999,-1.569,0.267999999999999,0.0850000000000009,1.928,0.611000000000001,1.479,1.293,1.13,0.0259999999999998,1.988
"P Volatility",7.89,8.43,9.36,9.42,14.13,14.64,14.86,14.29,16.56,16.66,15.63,16.04,16.72,16.59,16.46,16.28,16.4,16.13,17.98,17.02,16.81,17.2,16.93,16.7,16.31,17.82,16.7,16.83,16.55,16.3,16.34,16.68,16.94,16.91
"B Volatility",10.05,10.07,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",-2.16,-1.64,-0.710000000000001,-1.12,-0.819999999999999,-0.529999999999999,-1.09,-1.65,0.619999999999999,0.510000000000002,-0.519999999999998,-0.240000000000002,-0.460000000000001,-0.809999999999999,-0.559999999999999,-0.77,-0.860000000000003,-0.920000000000002,0.890000000000001,-0.309999999999999,-0.300000000000001,0.149999999999999,0.300000000000001,-0.0399999999999991,0.129999999999999,2.1,1.14,1.25,0.800000000000001,0.66,0.619999999999999,0.73,0.470000000000002,0.440000000000001
"P Tracking Error",4.63,4.35,5.51,4,4.16,4.1,3.95,4.38,4.18,5.31,6.5,4.08,5.32,4.17,4.62,4.83,5.51,5.55,7.51,7.38,6.63,5.09,5.13,5.05,4.78,6.68,5.96,5.61,5.01,5.26,7.24,8.88,7.56,5.97
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.08,0.8,1.89,1.13,0.7,0.56,0.38,0.15,0.16,0.4,0.74,0.49,0.34,-0.02,0.22,0.23,0.35,0.1,0.19,0.08,0.14,0.16,0.34,0.07,-0.33,0.04,0.01,0.34,0.12,0.28,0.18,0.13,0,0.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.52,0.4,0.8,0.37,0.09,0.13,0.06,0.12,0.1,0.28,0.41,0.1,0.17,0.09,0.02,-0.02,0.05,0.11,0.21,0.26,0.13,0.15,0.09,0,-0.16,-0.07,0.08,0.1,0.09,0.08,0.21,0.13,0.06,0.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.7,0.76,0.78,0.83,0.91,0.93,0.9,0.86,1,0.98,0.89,0.95,0.93,0.93,0.93,0.92,0.9,0.89,0.96,0.89,0.91,0.96,0.97,0.95,0.96,1.05,1,1.02,1,0.99,0.93,0.89,0.92,0.96
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",79.41,81.25,69.98,85.23,92.04,92.48,93.84,92.7,93.43,89.59,83.56,93.56,90.16,94.09,92.42,91.73,89.51,89.06,82.21,81.87,84.89,91.12,90.63,90.81,91.28,85.71,86.86,88.6,90.54,89.29,80.17,71.89,80.02,87.3
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.1137,-11.9251,-13.4363,-12.2275,-30.5817,-30.6715,-31.0729,-29.6006,-33.3636,-32.4756,-30.1501,-31.7313,-31.3607,-31.3196,-31.5835,-31.0259,-30.5019,-31.2356,-32.261,-30.9254,-31.2399,-32.6511,-31.886,-31.6985,-31.8265,-33.4749,-31.7882,-33.5662,-32.8514,-32.7627,-30.7222,-29.1902,-30.513,-31.0077
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",3.3309,1.5195,0.0083000000000002,1.2171,5.1448,5.055,4.6536,6.1259,2.3629,3.2509,5.5764,3.9952,4.3658,4.4069,4.143,4.7006,5.2246,4.4909,3.4655,4.8011,4.4866,3.0754,3.8405,4.028,3.9,2.2516,3.9383,2.1603,2.8751,2.9638,5.0043,6.5363,5.2135,4.7188
