"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",31.207,26.698,15.615,14.455,30.446,21.008,28.825,19.081,34.025,49.606,54.407,41.013,62.768,43.261,19.255,12.928,-6.429,11.406,12.195,17.358,26.782,7.711,15.352,18.688,13.369,4.404,18.122,26.321,37.38,22.636,18.186,-9.134,8.828,4.921,6.684,7.819,34.684,30.076,48.019,34.338,31.733,18.734,8.633,36.264,6.837,15.357,8.991,3.343,14.239,-6.036,4.198,16.122,13.97,-0.691,10.373,0.363,0.582,-4.567,3.225,0.528,-2.876
"B Annualized Returns",4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",26.37,17.431,5.282,7.671,23.55,17.703,29.401,21.38,33.402,44.744,46.044,32.509,53.259,40.7,24.051,17.336,5.808,13.011,7.72,9.047,19.926,6.58,12.417,18.466,11.38,1.737,7.927,14.979,18.952,11.447,15.386,8.449,18.773,7.684,11.883,7.964,34.089,30.676,52.967,31.714,29.319,17.244,0.788999999999999,0.00800000000000267,-21.256,-11.365,-19.907,-21.386,-9.985,-28.52,-30.605,-5.473,-10.103,-21.61,-7.712,-18.034,-11.443,-10.958,8.16,3.911,3.646
"P Volatility",14.08,12.28,15.84,14.75,18.48,15.39,14.64,15.58,15.76,17.7,18.39,17.26,18,20.42,22.42,19.87,19.21,17.83,27.64,26.68,28.75,27,27.66,28.19,26.13,24.11,22.95,18.48,10.8,11.23,12.53,22.34,33.46,32,35.51,37.33,36.09,22.35,37.1,35.74,34,37.33,32.52,26.87,15.94,15.98,11.76,10.78,9.47,14.73,15.6,15.43,16.17,16.31,14.88,13.36,17.27,16.87,23.34,22.57,23.07
"B Volatility",4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",9.91,7.29,10.53,9.81,13.54,9.97,8.15,8.83,8.45,10.39,10.75,9.5,10.24,13.36,12.14,9.3,6.76,5.38,11.9,11.1,13.16,11.03,11.81,12.36,10.36,10.7,9.54,7.78,3.88,4.3,3.67,1.92,10.49,8.68,12.19,14.01,12.08,-1.77,13.15,9.58,7.84,11.82,18.42,12.77,3.75,3.89,-0.42,-0.850000000000001,-1.15,4.75,8.38,7.06,7.8,7.63,6.19,4.67,7.35,6.84,10.37,9.57,10.24
"P Tracking Error",14.74,13.4,15.13,15.23,17.48,15.26,14.89,15.38,16.83,18.47,18.17,17.79,18.76,21.38,19.69,17.62,13.79,13.44,16.75,15.33,16.78,15.77,14.35,13.82,12.16,14.05,12.96,11.95,10.11,10.8,10.08,9.06,15.95,13.5,16.72,18.1,23.66,10.88,23.89,28.1,26.01,27.44,26.66,20.78,13.95,16,14.98,15.13,11.18,17.02,10.79,9.23,10.82,10.02,9.4,6.75,10.16,8.37,14.82,13.86,14.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.79,1.3,0.35,0.5,1.35,1.16,1.97,1.39,1.98,2.42,2.53,1.83,2.84,1.9,1.22,0.98,0.42,0.97,0.46,0.59,1.19,0.42,0.87,1.34,0.94,0.12,0.61,1.25,1.87,1.06,1.53,0.93,1.18,0.57,0.71,0.44,1.44,2.82,2.22,1.13,1.13,0.63,0.03,0,-1.52,-0.71,-1.33,-1.41,-0.89,-1.68,-2.84,-0.59,-0.93,-2.16,-0.82,-2.67,-1.13,-1.31,0.55,0.28,0.25
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.23,0.9,1.02,1.6,1.18,2,1.89,2.31,2.24,2.71,3.46,2.76,2.93,3.35,2.2,1.03,0.44,0.27,0.51,0.76,0.84,0.97,1.78,1.08,1.04,-0.4,0.02,0.64,0.82,1,1.09,0.7,1.58,1.07,1.43,1.11,3.98,2.91,4.07,2.96,2.64,1.36,-0.97,-0.67,-0.64,-0.17,-0.46,0.35,0.28,-0.57,-2.83,-1.46,-1.54,-2.22,-1.27,-2.24,-1.19,-0.92,1.62,0.83,0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",-0.04,-0.08,0.89,0.2,1.24,0.56,0.41,0.57,0.17,0.24,0.57,0.34,0.27,0.1,1.04,0.88,1.08,0.94,1.48,1.48,1.62,1.44,1.61,1.7,1.58,1.57,1.5,1.37,0.65,0.6,0.85,1,1.32,1.27,1.4,1.48,1.14,0.83,1.2,0.86,0.85,0.99,1.37,1.23,0.7,0.5,0.21,0.08,0.34,0.13,1.72,1.59,1.53,1.6,1.38,1.38,1.49,1.57,1.47,1.44,1.49
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-11.09,-11,-1.29,-10.6,1.03,-6.71,-7.37,-4.38,-10.4,-10.03,-4.91,-8.45,-9.65,-10.98,14.38,13.1,43.01,37.01,67.37,72.15,74.77,69.65,83.81,90.73,89.36,73.31,73.96,58.61,8.24,4.04,29.34,81.74,80.1,84.67,83.11,83.85,53.28,77.5,55.85,32.54,36.45,39.96,28.28,35.11,20.73,4.65,-7.22,-10.21,5.35,-10.2,59.03,71.59,58.62,69.39,61.11,78.38,70.35,85.27,62.71,65.18,65.72
