"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.582,25.31,33.209,21.963,25.22,29.066,32.206,45.079,36.56,27.512,25.369,20.075,18.557,19.049,21.587,20.666,21.515,27.725,18.335,19.759,5.031,4.511,19.119,-0.234,-3.784,-9.724,-11.896,-10.632
"B Annualized Returns",-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",19.493,26.441,33.264,19.791,24.202,27.293,25.312,34.98,29.943,21.411,17.924,12.418,6.974,8.199,10.215,7.905,10.988,14.724,6.682,7.049,-6.947,-10.137,-7.894,-19.362,-20.588,-21.496,-21.478,-18.305
"P Volatility",31.62,30.34,33.55,30.57,29.97,30.29,31.5,34.26,31.59,29.63,29.58,27.42,26.46,26.02,25.45,25.77,25.78,24.24,26.64,26.4,25.72,21.12,19.72,16.63,18.2,18.38,16.56,16.43
"B Volatility",19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",12.53,11.32,14.53,11.16,11.24,11.41,12.26,15.57,13.37,11.28,10.9,9.23,8.21,7.35,7.17,7.52,7.18,5.66,7.97,7.73,7.41,9.67,8.27,5.75,7.08,7.26,4.14,4.17
"P Tracking Error",18.59,17.27,22.06,16.17,17.21,16.94,17.98,25.17,21.96,15.54,15.22,14.56,13.38,13.16,12.43,10.59,11.22,10.35,12.76,11.81,12.74,13.41,13.8,11.25,13.19,13.98,12.93,13.25
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.05,1.53,1.51,1.22,1.41,1.61,1.41,1.39,1.36,1.38,1.18,0.85,0.52,0.62,0.82,0.75,0.98,1.42,0.52,0.6,-0.55,-0.76,-0.57,-1.72,-1.56,-1.54,-1.66,-1.38
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.93,2.49,2.6,2.07,1.97,2.14,1.78,2.21,2.06,1.6,1.59,0.77,0.47,0.47,0.51,0.72,0.95,0.82,0.41,0.41,-0.39,-1.33,-1.02,-1.64,-2,-1.9,-1.47,-1.59
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.4,1.36,1.38,1.39,1.36,1.38,1.4,1.27,1.28,1.45,1.42,1.32,1.28,1.22,1.24,1.33,1.28,1.2,1.28,1.3,1.24,1.52,1.26,1.13,1.14,1.08,0.85,0.81
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",69.8,71.38,59.66,77.23,70.7,73.24,72.2,45.69,52.02,79.17,79.68,75.06,77.16,75.84,78.09,88,84.36,83.29,80.13,83.74,77.49,65.99,51.07,52.85,45.74,39.58,37.5,33.88
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-32.2754,-31.1209,-30.7545,-32.9176,-33.501,-31.9237,-33.2864,-31.3542,-31.203,-35.0122,-33.9547,-32.3135,-32.4004,-32.2881,-30.5796,-32.4063,-32.8547,-31.2942,-31.6203,-31.6543,-30.9039,-27.3441,-21.3696,-24.3347,-31.3755,-33.6199,-31.4071,-31.9825
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",3.4511,4.6056,4.972,2.8089,2.2255,3.8028,2.4401,4.3723,4.5235,0.714300000000001,1.7718,3.413,3.3261,3.4384,5.1469,3.3202,2.8718,4.4323,4.1062,4.0722,4.8226,4.0085,-13.6018,-16.5669,-21.1074,-18.8252,-14.6232,-15.1986
