"","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",51.087,49.375,33.532,57.858,46.949,20.701,16.756,17.329,25.291,29.29,29.201,38.374,36.951,39.231,31.671,27.83,17.881,13.065,17.718,17.315,26.743,12.769,4.94,9.673,7.184,12.4,23.66,18.677,21.474,27.84,30.239,34.411,30.851,26.242,24.033,18.918,14.563,20.055,23.202,17.254,18.085,25.536,20.515,20.62,7.826,7.83,19.824,0.177,1.986,-2.379,-5.993,-1.038
"B Annualized Returns",7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",43.496,41.516,25.731,51.308,41.088,18.758,15.73,20.471,24.194,27.372,26.332,34.884,34.438,33.617,27.172,22.577,15.18,11.019,14.551,14.608,21.73,9.135,10.459,11.274,7.563,13.531,23.715,17.281,20.456,25.51,23.345,24.312,24.168,20.141,16.588,11.489,3.558,9.205,10.386,4.493,7.179,12.34,8.862,7.91,-2.953,-6.818,-7.189,-19.613,-14.818,-13.177,-15.751,-8.711
"P Volatility",23.16,25.75,26.63,22.73,30.93,25.67,17.69,19.41,19.11,25.97,27.42,29.76,33.18,32.43,31.23,32.58,30.05,25.24,22.04,20.23,21.12,21.92,28.11,34.72,34.93,36.81,34.01,33.25,28.91,28.67,28.88,22.81,25.43,23.14,26.25,28.07,23.63,23.7,27.29,25.24,24.06,26.75,28.14,26.04,28.15,23.55,21.53,16.41,17.34,15.09,15.43,21.62
"B Volatility",6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",17.07,19.86,20.63,16.73,24.77,17.63,9.67,10.01,9.71,14.33,15.77,17.96,21.19,20.45,19.25,20.76,18.33,13.52,10.01,8.27,9.37,9.72,10.23,15.81,15.84,17.79,14.99,13.84,10.18,9.79,9.64,4.12,7.21,4.79,7.57,9.88,5.38,5.03,9.03,6.99,5.72,8.17,9.47,7.37,9.84,12.1,10.08,5.53,6.22,2.67,3.01,9.36
"P Tracking Error",22.95,25.14,26.35,23,31.26,24.21,16.87,17.71,17.39,19.14,21.04,23.01,26.34,25.26,24.36,25.71,23.41,18.74,16,14.2,14.06,14.2,15.25,20.33,19.98,21.99,18.6,17.47,15.01,15.24,14.56,11.46,12.84,11.82,13.47,13.96,10.33,11.02,18.02,20.87,21.93,20.46,21.03,17.72,21.29,17.66,16.17,14.31,14.26,14.13,12.84,14.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
