"","3 Y 2015-11-30 to 2018-12-05","3 Y 2015-12-30 to 2019-01-04","3 Y 2016-02-01 to 2019-02-04","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-03-30 to 2019-04-04","3 Y 2016-05-02 to 2019-05-05","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.339,7.513,13.051,42.622,48.149,49.685,39.624,36.08,38.835,32.833,31.494,26.418,25.796,25.18,23.61,17.147,7.656,21.739,21.237,29.05,28.604,27.922,22.36,24.33,5.426,19.22,28.616,24.472,15.622,23.414,20.879,26.158,27.544,8.725,22.387,11.345,13.315,15.113,16.253,20.272,19.259,7.71,7.813,3.956,4.286,-0.569
"B Annualized Returns",4.921,3.935,7.619,7.667,7.542,6.765,5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",4.418,3.578,5.432,34.955,40.607,42.92,34.502,29.888,33.682,28.244,26.96,22.081,21.44,21.267,19.14,14.936,12.114,22.333,20.053,27.182,25.446,24.177,20.803,24.258,2.44,16.643,23.241,18.983,8.107,15.99,12.938,18.202,19.773,-0.331,14.22,-0.840999999999999,2.239,0.530999999999999,5.022,9.854,8.281,-1.231,-2.012,-1.232,-2.839,-6.308
"P Volatility",9.12,9.19,10.65,35.13,39.28,40.19,41.15,42.38,38.12,35.4,36.12,28.31,23.03,25.34,25.42,23.48,26.99,31.48,23.44,25.67,25.08,22.36,27.64,30.04,29.34,35.84,27.98,30.2,23.17,32.18,30.53,24.23,26.87,22.75,25.6,18.65,17.92,13.24,20.72,25.78,25.54,25.6,24.47,23.13,25.93,26.29
"B Volatility",8.13,8.77,8.86,9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",0.989999999999998,0.42,1.79,25.28,29.51,30.3,31.07,32.48,28.22,25.5,26.19,18.38,12.98,15.27,15.27,12.94,12.04,15.64,7.49,9.73,9.14,6.21,11.49,13.76,12.16,18.44,10.96,13.15,5.91,15.13,13.44,6.9,9.78,5.7,9.1,1.91,1.74,-2.48,5.16,10.2,9.79,9.96,8.75,6.67,9.46,9.82
"P Tracking Error",8.62,8.76,11.61,31.28,35.51,36.1,36.63,37.88,33.6,30.65,31.89,23.86,17.72,20.07,20.36,18,18.5,21.96,17.27,17.63,14.81,15.67,17.7,19.48,17.51,23.05,16.4,17.73,10.38,19.86,18.42,12.89,14.76,8.97,14.21,7.97,6.66,11.73,15.32,22.82,22.92,15.66,16.26,13.7,19.19,19.58
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.51,0.41,0.47,1.12,1.14,1.19,0.94,0.79,1,0.92,0.85,0.93,1.21,1.06,0.94,0.83,0.65,1.02,1.16,1.54,1.72,1.54,1.18,1.25,0.14,0.72,1.42,1.07,0.78,0.81,0.7,1.41,1.34,-0.04,1,-0.11,0.34,0.05,0.33,0.43,0.36,-0.08,-0.12,-0.09,-0.15,-0.32
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.54,0.39,0.62,2.42,2.35,3.03,2.13,2.17,2.54,2.02,1.56,1.63,1.64,1.52,1.21,1.23,1.37,1.83,1.94,2.13,1.98,2.24,1.85,1.86,0,1.41,1.4,1.41,0.61,0.97,1.04,1.31,1.31,-0.22,0.91,-0.05,0.16,0.45,0.69,1.01,1.01,-0.28,-0.16,-0.22,-0.2,-0.14
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.57,0.55,0.36,1.82,1.98,2.1,2.23,2.34,2.15,2.1,1.96,1.68,1.57,1.68,1.62,1.52,1.36,1.51,0.99,1.18,1.31,0.99,1.36,1.49,1.44,1.74,1.39,1.53,1.22,1.6,1.51,1.2,1.36,1.25,1.33,1.01,1.03,0.58,0.9,0.8,0.76,1.34,1.18,1.14,1.06,1.07
