"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",43.961,44.418,48.646,39.727,36.852,28.001,35.095,31.697,19.776,21.194,24.402,26.628,19.214,9.82,21.934,23.388,29.903,28.82,27.426,28.287,30.845,28.515,27.114,29.102,21.977,23.878,20.624,21.309,27.895,28.552,28.347,25.46,30.778,26.104,23.346,15.428,11.536,13.835,7.443,10.023,5.155,5.228,1.748
"B Annualized Returns",7.667,7.601,6.765,5.31,6.192,5.153,4.776,4.534,5.232,4.21,3.913,4.93,2.211,-4.458,-0.449,1.003,1.868,3.155,3.745,1.867,0.663,2.986,2.48,5.642,5.489,7.731,7.218,7.941,8.083,8.095,9.056,8.385,12.383,11.076,13.746,11.231,10.418,10.932,8.125,9.825,4.934,7.2,5.739
"AR DIFF(P-B)",36.294,36.817,41.881,34.417,30.66,22.848,30.319,27.163,14.544,16.984,20.489,21.698,17.003,14.278,22.383,22.385,28.035,25.665,23.681,26.42,30.182,25.529,24.634,23.46,16.488,16.147,13.406,13.368,19.812,20.457,19.291,17.075,18.395,15.028,9.6,4.197,1.118,2.903,-0.682,0.198,0.221,-1.972,-3.991
"P Volatility",35.07,39.26,40.12,41.24,43.17,41.23,35.41,34.32,27.36,23.14,24.06,24.37,23.52,28.21,32.05,34.57,34.32,31.26,23.07,30.13,29.23,28.63,31.18,29.39,29.49,31.84,32.23,31.07,28.78,27.95,26.85,25.19,22.84,21.89,20.53,24.48,23.06,22.72,21.79,27.2,27.41,24.79,24.59
"B Volatility",9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.91,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,16.22,16.15,16.15,16.28,17.18,17.16,17.02,17.05,17.07,17.05,17.09,17.11,17.09,17.05,16.5,16.74,16.18,15.55,15.56,15.58,15.59,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",25.22,29.49,30.23,31.16,33.27,31.33,25.51,24.39,17.45,13.09,13.99,14.22,12.98,13.26,16.21,18.62,18.38,15.04,6.92,13.98,12.95,11.45,14.02,12.37,12.44,14.77,15.18,13.98,11.67,10.86,9.8,8.69,6.1,5.71,4.98,8.92,7.48,7.13,6.15,11.48,10.95,8.32,8.12
"P Tracking Error",31,35.39,36.14,36.66,38.67,36.91,31.05,30.24,23.52,17.85,19.28,19.17,17.76,19.54,22.44,25.08,24.42,21.88,16.85,20.16,18.43,17.63,19.36,18.16,17.19,19.31,20.16,18.15,16.81,16.09,14.13,13.67,12.7,12.17,12.35,15.84,15.24,14.77,14.29,22.06,21.13,18.3,19.18
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.17,1.04,1.16,0.94,0.79,0.62,0.98,0.9,0.62,0.95,1.06,1.13,0.96,0.73,1,0.89,1.15,1.17,1.41,1.31,1.64,1.45,1.27,1.29,0.96,0.84,0.66,0.74,1.18,1.27,1.37,1.25,1.45,1.23,0.78,0.26,0.07,0.2,-0.05,0.01,0.01,-0.11,-0.21
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.48,2.44,2.91,2.13,2.2,1.89,2.17,1.54,1.37,1.27,1.47,1.43,1.37,1.57,1.79,2.06,2.26,1.93,2.15,2.13,2.31,1.86,1.87,1.49,1.3,1.03,0.89,1.01,1.48,1.23,1.27,1.13,1.25,1.08,0.8,0.34,0.08,0.21,-0.05,0.12,-0.1,-0.14,0.09
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
