"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",41.888,39.557,29.145,34.746,18.413,9.447,22.888,24.328,23.518,20.182,9.823,22.639,23.792,31.054,30.268,26.259,23.027,22.489,28.074,29.238,32.075,26.221,31.661,23.029,19.09,22.181,28.426,27.264,24.971,32.05,28.453,30.355,18.154,14.934,14.131,3.577,4.696,3.311,3.513,-0.228
"B Annualized Returns",5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",36.766,33.365,23.992,30.157,13.879,5.11,18.532,20.415,19.048,17.971,14.281,23.233,22.608,29.186,27.11,22.514,21.47,22.417,25.088,26.661,26.7,20.732,24.146,15.605,11.149,14.225,20.655,18.208,16.804,19.864,17.377,15.773,6.923,4.516,3.153,-5.364,-5.129,-1.877,-3.612,-5.967
"P Volatility",41.06,40.64,40.51,35.16,38.75,30.07,21.34,23.57,23.47,23.18,27.67,32.52,35.02,34.54,33.1,33.38,31.65,29.11,27.63,29.63,28.5,28.29,29.78,31.81,31.29,33.15,29.53,29.48,26.09,24.91,24.8,19.94,24.01,22.83,24.7,26.88,22.95,22.52,25.62,23.98
"B Volatility",10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",30.98,30.74,30.61,25.26,28.82,20.14,11.29,13.5,13.32,12.64,12.72,16.68,19.07,18.6,17.16,17.23,15.5,12.83,10.45,12.23,11.48,11.24,12.52,14.76,14.2,15.82,12.44,12.43,9.59,8.17,8.62,4.22,8.45,7.25,8.95,11.24,7.23,6.06,9.15,7.51
"P Tracking Error",36.58,36.33,36.35,30.69,34.57,25.96,17.98,19.93,19.74,17.63,19.23,22.79,25.46,24.64,23.64,23.84,21.56,18.64,17.13,18.63,15.88,15.91,16.86,19.28,18.76,20.17,16.23,16.26,14.28,14.18,13.63,11.23,14.94,15.18,16.1,16.4,13.03,12.92,17.28,18.89
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
