"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",57.132,49.123,52.38,66.778,48.702,76.325,41.982,36.886,28.813,30.181,5.599,9.96,17.95,20.083,13.824,11.473,19.037,12.245,7.291,11.397,23.008,26.565,35.049,11.057,32.052,27.153,12.07,5.903,-1.592,9.259,11.232,24.96,15.59,2.485,12.961,16.389,19.727,23.087,15.085,14.157,22.529,19.178,10.516,-19.678,15.099,1.536,7.879,16.496,15.224,4.6,-1.923,19.121,14.699,9.055,27.749,78.115,37.904,38.869,36.374,30.988,26.43,40.671,55.261,17.308,27.098,30.39,26.348,20.698,17.283,-1.869,-8.94,-14.201,-9.136
"B Annualized Returns",7.33,9.628,8.352,11.521,17.484,24.252,20.245,15.865,13.629,11.206,9.71,6.477,4.837,8.114,9.158,7.177,5.936,3.305,-0.839,-2.523,0.231,4.862,6.03,8.959,9.509,2.642,-4.796,-3.461,-11.26,-1.605,3.983,7.655,6.856,1.744,2.391,0.222,0.613,2.663,10.195,10.635,18.456,12.697,2.419,-18.804,-9.981,-4.161,-5.199,-0.145,1.964,-0.6,-5.489,2.524,2.414,0.84,7.844,36.256,24.739,30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",49.802,39.495,44.028,55.257,31.218,52.073,21.737,21.021,15.184,18.975,-4.111,3.483,13.113,11.969,4.666,4.296,13.101,8.94,8.13,13.92,22.777,21.703,29.019,2.098,22.543,24.511,16.866,9.364,9.668,10.864,7.249,17.305,8.734,0.741,10.57,16.167,19.114,20.424,4.89,3.522,4.073,6.481,8.097,-0.874000000000002,25.08,5.697,13.078,16.641,13.26,5.2,3.566,16.597,12.285,8.215,19.905,41.859,13.165,8.786,6.047,6.29,2.407,16.265,18.276,-4.287,3.025,6.457,8.263,2.301,7.535,-6.665,-4.798,-11.034,-2.614
"P Volatility",21.74,22.49,21.39,14.51,16.84,24.71,14.78,17.34,11.07,13.28,8.53,11.81,11.45,8.06,7.06,6.83,7.68,8.12,4.42,8.68,8.75,9.93,10.91,8.83,10.32,12.63,13.65,13.02,9.92,10.55,14.93,17.25,14.19,13.84,16.02,16.41,11.52,14.17,12.84,13.79,8.05,8.02,10.97,24.1,21.55,36.54,32.26,39.53,35.38,28.47,30.85,39.71,30.77,31.76,22.29,26.61,16.38,19.34,14.83,15.11,10.96,17.78,14.12,13.71,13.18,13.59,12.03,9.68,11.23,10.51,11.74,16.92,16
"B Volatility",10.16,10.16,8.81,8.1,8.1,5.5,4.59,4.59,4.61,4.75,4.75,4.17,4.17,4.99,5.31,5.31,4.94,5.42,6.49,6.49,7.31,7.31,7.74,7.76,7.76,7.06,10.28,10.28,10.57,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,7.06,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,24.12,26.16,26.16,25.51,14.1,14.1,12.27,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",11.58,12.33,12.58,6.41,8.74,19.21,10.19,12.75,6.46,8.53,3.78,7.64,7.28,3.07,1.75,1.52,2.74,2.7,-2.07,2.19,1.44,2.62,3.17,1.07,2.56,5.57,3.37,2.74,-0.65,-1.9,-0.81,1.67,-1.4,-1.75,0.17,0.58,-4.31,0.76,-0.57,3.09,0.990000000000001,1.1,2.11,3.68,0.0899999999999999,13.22,8.94,16.21,11.37,4.35,6.73,13.55,4.61,6.25,8.19,12.51,4.11,7.25,2.74,3.54,0.340000000000002,7.16,6.9,5.34,4.81,4.91,3.34,0.99,1.31,0.48,1.71,3.95,3.17
"P Tracking Error",17.69,18.61,18.4,11.83,14.11,24.14,14.32,16.26,11.18,12.64,7.87,11.39,10.89,9.27,8.07,7.82,7.98,7.1,5.44,5.15,7.76,8.45,8.41,7.19,9.13,12.13,10.6,9.8,8.45,6.92,7.63,7.21,5.87,7.88,3.95,4.72,9.07,12.66,9.14,6.88,6.68,9.13,8.67,8.07,9.01,17.47,15.93,22.81,18.15,12.17,9.55,18.74,10.34,9.75,13.7,16.09,7.04,9.69,8.11,7.47,6.59,11.35,11.36,9.31,10.05,11.37,10.07,8.14,8.98,4,5.42,6.54,5.61
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
