"","1 Y 2016-03-01 to 2017-03-06","1 Y 2016-04-01 to 2017-04-06","1 Y 2016-05-02 to 2017-05-06","1 Y 2016-06-01 to 2017-06-06","1 Y 2016-07-04 to 2017-07-06","1 Y 2016-08-02 to 2017-08-06","1 Y 2016-09-01 to 2017-09-06","1 Y 2016-10-03 to 2017-10-06","1 Y 2016-11-01 to 2017-11-06","1 Y 2016-12-01 to 2017-12-06","1 Y 2017-01-03 to 2018-01-06","1 Y 2017-02-01 to 2018-02-06","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-04-03 to 2018-04-06","1 Y 2017-05-01 to 2018-05-06","1 Y 2017-06-01 to 2018-06-06","1 Y 2017-07-04 to 2018-07-06","1 Y 2017-08-01 to 2018-08-06","1 Y 2017-09-01 to 2018-09-06","1 Y 2017-10-02 to 2018-10-06","1 Y 2017-11-01 to 2018-11-06","1 Y 2017-12-01 to 2018-12-06","1 Y 2018-01-02 to 2019-01-06","1 Y 2018-02-01 to 2019-02-06","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-04-02 to 2019-04-06","1 Y 2018-05-01 to 2019-05-06","1 Y 2018-06-01 to 2019-06-06","1 Y 2018-07-03 to 2019-07-06","1 Y 2018-08-01 to 2019-08-06","1 Y 2018-09-04 to 2019-09-06","1 Y 2018-10-01 to 2019-10-06","1 Y 2018-11-01 to 2019-11-06","1 Y 2018-12-03 to 2019-12-06","1 Y 2019-01-02 to 2020-01-06","1 Y 2019-02-01 to 2020-02-06","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-04-01 to 2020-04-06","1 Y 2019-05-01 to 2020-05-06","1 Y 2019-06-03 to 2020-06-06","1 Y 2019-07-02 to 2020-07-06","1 Y 2019-08-01 to 2020-08-06","1 Y 2019-09-03 to 2020-09-06","1 Y 2019-10-01 to 2020-10-06","1 Y 2019-11-01 to 2020-11-06","1 Y 2019-12-02 to 2020-12-06","1 Y 2020-01-02 to 2021-01-06","1 Y 2020-02-03 to 2021-02-06","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-04-01 to 2021-04-06","1 Y 2020-05-01 to 2021-05-06","1 Y 2020-06-01 to 2021-06-06","1 Y 2020-07-02 to 2021-07-06","1 Y 2020-08-04 to 2021-08-06","1 Y 2020-09-01 to 2021-09-06","1 Y 2020-10-01 to 2021-10-06","1 Y 2020-11-02 to 2021-11-06","1 Y 2020-12-01 to 2021-12-06","1 Y 2021-01-04 to 2022-01-06","1 Y 2021-02-01 to 2022-02-06","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-04-01 to 2022-04-06","1 Y 2021-05-03 to 2022-05-06","1 Y 2021-06-01 to 2022-06-06","1 Y 2021-07-02 to 2022-07-06","1 Y 2021-08-03 to 2022-08-06","1 Y 2021-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",42.912,40.916,31.557,17.265,17.645,8.165,12.031,20.693,16.504,12.565,24.155,12.987,16.478,10.99,17.96,30.99,31.823,21.65,39.366,21.447,13.342,9.22,-5.536,13.741,9.783,17.604,16.988,13.627,16.199,16.187,32.674,24.529,17.064,15.179,22.624,17.963,-0.31,-21.603,4.823,8.349,7.332,16.851,11.449,11.891,17.383,19.499,21.953,21.878,16.088,67.748,41.899,39.801,45.934,27.447,40.431,37.996,52.759,22.027,22.979,21.993,17.602,18.406,15.829,10.285,-3.758,0.786,-3.316
"B Annualized Returns",20.245,18.284,14.086,9.184,7.969,6.331,2.673,8.97,10.333,6.462,6.553,-0.484,-0.535,-1.49,0.623,4.736,7.849,8.504,8.667,2.561,-4.704,-3.075,-12.237,3.432,4.275,8.597,6.856,2.139,2.935,0.222,3.087,2.667,10.241,9.672,18.428,12.224,2.8,-17.583,-9.527,-3.68,-5.199,2.841,0.595,0.21,-3.235,2.624,2.997,1.57,7.844,36.659,28.431,26.722,29.091,23.777,24.224,23.184,34.973,21.594,21.832,20.919,18.085,17.116,8.791,6.391,-5.598,-3.05,-6.522
"AR DIFF(P-B)",22.667,22.632,17.471,8.081,9.676,1.834,9.358,11.723,6.171,6.103,17.602,13.471,17.013,12.48,17.337,26.254,23.974,13.146,30.699,18.886,18.046,12.295,6.701,10.309,5.508,9.007,10.132,11.488,13.264,15.965,29.587,21.862,6.823,5.507,4.196,5.739,-3.11,-4.02,14.35,12.029,12.531,14.01,10.854,11.681,20.618,16.875,18.956,20.308,8.244,31.089,13.468,13.079,16.843,3.67,16.207,14.812,17.786,0.433,1.147,1.074,-0.483000000000001,1.29,7.038,3.894,1.84,3.836,3.206
"P Volatility",17.78,13.14,8.51,13.06,10.71,11.53,11,8.74,7.27,5.05,7.19,8.05,7.79,8.99,9.75,12.59,12.31,12.32,14.42,13.22,14.21,13.37,13.24,17.39,16.57,18.76,16.36,15.27,15.76,15.62,11.54,14.57,13.9,12.55,8.38,7.36,10.46,26,32.35,39.85,40.62,37.54,37.91,34.37,36.11,38.33,33.09,37.3,25,17.1,15.63,17.1,20.62,17.87,18.32,16.87,14.16,14.33,11.21,11.66,10.58,12.83,12.16,11.59,17.58,18.97,14.75
"B Volatility",4.59,4.31,4.61,4.75,4.03,4.17,4.12,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.74,7.64,7.76,7.45,7.06,10.28,10.57,12.45,15.76,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.53,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,24.06,24.01,24.12,23.95,26.16,26.07,25.51,14.1,12.27,12.19,12.09,11.57,11.63,10.62,9.98,7.22,8.37,8.45,8.68,8.69,8.87,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",13.19,8.83,3.9,8.31,6.68,7.36,6.88,3.75,1.96,0.109999999999999,2.25,2.63,1.3,2.24,2.44,4.85,4.67,4.56,6.97,6.16,3.93,2.8,0.790000000000001,1.63,0.83,3.18,0.77,-0.700000000000001,-0.0899999999999999,-0.210000000000001,-4.23,1.16,0.370000000000001,1.85,1.46,0.430000000000001,1.6,5.58,9.38,16.53,17.3,13.48,13.9,10.25,12.16,12.17,7.02,11.79,10.9,4.83,3.44,5.01,9.05,6.24,7.7,6.89,6.94,5.96,2.76,2.98,1.89,3.96,2.24,1.56,4.61,5.97,1.92
"P Tracking Error",16.8,13.01,8.48,11.74,10.76,11.03,10.88,9.09,8.71,5.59,7.38,7.99,6.72,8.54,8.98,9.44,9.24,10.71,14.09,12.62,11.11,11.19,8.64,9.75,9.79,8.61,7.59,8.72,5.13,5.82,8.67,12.32,10.34,8.15,6.5,5.99,5.04,6.96,15.03,22.38,22.35,18.95,19.68,14.36,17.46,18.94,15.52,18.29,14.93,7.97,6.36,7.69,12.06,9.01,12.25,10.27,11.64,9.9,7.15,7.27,6.54,9.35,7.36,5.43,7.99,8.97,6.49
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.35,1.74,2.06,0.69,0.9,0.17,0.86,1.29,0.71,1.09,2.39,1.69,2.53,1.46,1.93,2.78,2.59,1.23,2.18,1.5,1.62,1.1,0.78,1.06,0.56,1.05,1.33,1.32,2.59,2.74,3.41,1.77,0.66,0.68,0.65,0.96,-0.62,-0.58,0.95,0.54,0.56,0.74,0.55,0.81,1.18,0.89,1.22,1.11,0.55,3.9,2.12,1.7,1.4,0.41,1.32,1.44,1.53,0.04,0.16,0.15,-0.07,0.14,0.96,0.72,0.23,0.43,0.49
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.81,1.49,1.88,0.43,0.87,0.5,1.07,0.87,1.11,1.07,1.43,1.07,1.15,1.41,1.05,1.84,1.58,1.06,2.22,1.65,1.29,0.83,0.45,1.02,0.49,0.61,0.71,0.93,1.62,1.26,2.47,1.47,1.02,0.1,0.25,0.37,-0.44,-0.21,1.36,1.32,1.76,1.38,1.92,1.2,2.07,1.17,1.38,1.59,-0.09,0.75,0.41,0.22,0.24,-0.08,0.37,-0.16,0.69,-0.38,0.19,0.11,-0.35,0.48,0.3,0.6,0.54,0.77,0.31
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.3,0.59,0.51,1.23,0.47,0.82,0.58,0.38,0.09,0.38,0.44,0.51,0.68,0.59,0.63,1.08,1.07,0.81,0.58,0.66,0.87,0.74,0.82,0.92,0.86,1.07,0.93,0.81,0.94,0.92,0.62,0.67,0.74,0.9,0.79,0.69,1.04,1.25,1.28,1.5,1.56,1.41,1.41,1.34,1.37,1.31,1.13,1.31,1.51,1.26,1.19,1.3,1.55,1.38,1.32,1.4,1.12,1.27,1.02,1.05,0.96,0.99,0.98,1.02,1.23,1.33,1.03
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
