"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.89,11.946,16.115,16.941,11.671,10.051,14.933,24.822,9.629,14.862,9.044,19.516,31.19,32.546,23.484,34.104,19.387,13.508,6.325,-4.573,12.444,15.86,21.632,20.409,11.883,14.321,20.175,35.619,24.061,23.586,22.157,26.224,16.556,3.307,-18.277,-3.814,-9.01,-8.776,8.444,9.671,16.728,9.892,20.654,12.362,17.223,26.891,80.774,48.205,36.823,39.001,27.138,38.307,39.302,46.254,23.736,29.269,27.556,18.374,29.823,13.564,19.456,2.545,-0.552,-1.605
"B Annualized Returns",11.206,7.356,6.331,4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",11.684,4.59,9.784,12.104,2.404,-0.282,8.149,17.926,6.324,15.438,11.343,18.893,26.328,24.183,14.98,24.595,16.826,18.304,10.733,7.664,14.049,11.385,13.321,13.553,10.752,11.386,19.953,33.63,21.394,13.391,10.815,7.796,5.367,0.507,-0.694000000000003,6.131,-6.247,-3.577,8.589,9.076,17.328,14.84,18.03,9.948,15.733,19.047,44.518,20.112,10.101,10.103,2.409,14.083,16.818,11.451,2.141,5.196,6.637,0.288999999999998,11.426,1.539,13.065,7.48,2.831,4.917
"P Volatility",13.24,11.29,8.96,9.64,9.79,7.43,7.58,8.38,7.94,6.87,8.1,9.33,8.85,11.25,12.48,12.3,12.94,13.91,10.46,12.13,12.7,16.25,18.59,16.97,16.16,15.84,16.18,11.76,13.3,13.9,12.99,6.45,7.92,10.26,22.56,35.67,37.73,37.58,38.48,36.58,33.44,35.27,36.28,33.25,36.51,23.67,27.54,14.24,15.64,15.34,17.4,17.05,16.95,12.11,11.87,13.9,14.3,9.9,8.98,11.77,11.16,18.17,18.79,19.24
"B Volatility",4.75,4.03,4.17,4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",8.49,7.26,4.79,5.47,4.8,2.12,2.64,3.44,2.52,0.38,1.35,2.02,1.54,3.61,4.72,4.54,5.88,3.63,-0.109999999999999,-0.319999999999999,0.25,0.51,3.01,1.38,0.19,-0.00999999999999979,0.35,-4.01,-0.109999999999999,0.49,2.29,-0.47,0.99,1.4,2.14,12.7,14.41,14.26,15.16,12.57,9.32,11.32,10.12,7.09,11,9.57,13.44,2.05,3.55,3.16,5.77,6.43,6.97,4.89,3.5,5.53,5.62,1.21,0.290000000000001,1.85,1.13,5.2,5.79,6.41
"P Tracking Error",12.17,10.87,9.43,9.47,9.6,7.38,8.85,8.7,7.78,5.65,6.8,8.1,8.18,8.64,12.4,11.43,12.68,10.34,7.76,8.51,8.72,8.46,8.72,9,8.22,4.7,5.26,8.28,11.68,10.01,9.04,4.27,6.63,6.72,6.23,15.71,16.49,16.13,19.45,18.66,16.82,16.33,17.15,13.48,17.29,13.68,16.19,5.63,6.52,6.47,8.55,10.48,10.41,9.23,8.2,10.43,12.21,6.26,7.39,6.26,7.73,9.3,9.38,10.03
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
