"","2 Y 2015-08-28 to 2017-09-02","2 Y 2015-09-28 to 2017-10-03","2 Y 2015-10-28 to 2017-11-02","2 Y 2015-11-30 to 2017-12-03","2 Y 2015-12-29 to 2018-01-02","2 Y 2016-01-28 to 2018-02-02","2 Y 2016-02-29 to 2018-03-05","2 Y 2016-03-28 to 2018-04-02","2 Y 2016-04-28 to 2018-05-03","2 Y 2016-05-30 to 2018-06-02","2 Y 2016-06-28 to 2018-07-03","2 Y 2016-07-28 to 2018-08-02","2 Y 2016-08-29 to 2018-09-02","2 Y 2016-09-28 to 2018-10-03","2 Y 2016-10-28 to 2018-11-02","2 Y 2016-11-28 to 2018-12-03","2 Y 2016-12-28 to 2019-01-02","2 Y 2017-01-30 to 2019-02-02","2 Y 2017-02-28 to 2019-03-05","2 Y 2017-03-28 to 2019-04-02","2 Y 2017-04-28 to 2019-05-03","2 Y 2017-05-29 to 2019-06-02","2 Y 2017-06-28 to 2019-07-03","2 Y 2017-07-28 to 2019-08-02","2 Y 2017-08-28 to 2019-09-02","2 Y 2017-09-28 to 2019-10-03","2 Y 2017-10-30 to 2019-11-02","2 Y 2017-11-28 to 2019-12-03","2 Y 2017-12-28 to 2020-01-02","2 Y 2018-01-29 to 2020-02-02","2 Y 2018-02-28 to 2020-03-04","2 Y 2018-03-28 to 2020-04-02","2 Y 2018-04-30 to 2020-05-03","2 Y 2018-05-28 to 2020-06-02","2 Y 2018-06-28 to 2020-07-03","2 Y 2018-07-30 to 2020-08-02","2 Y 2018-08-28 to 2020-09-02","2 Y 2018-09-28 to 2020-10-03","2 Y 2018-10-29 to 2020-11-02","2 Y 2018-11-28 to 2020-12-03","2 Y 2018-12-28 to 2021-01-02","2 Y 2019-01-28 to 2021-02-02","2 Y 2019-02-28 to 2021-03-05","2 Y 2019-03-28 to 2021-04-02","2 Y 2019-04-29 to 2021-05-03","2 Y 2019-05-28 to 2021-06-02","2 Y 2019-06-28 to 2021-07-03","2 Y 2019-07-29 to 2021-08-02","2 Y 2019-08-28 to 2021-09-02","2 Y 2019-09-30 to 2021-10-03","2 Y 2019-10-28 to 2021-11-02","2 Y 2019-11-28 to 2021-12-03","2 Y 2019-12-30 to 2022-01-02","2 Y 2020-01-28 to 2022-02-02","2 Y 2020-02-28 to 2022-03-05","2 Y 2020-03-30 to 2022-04-02","2 Y 2020-04-28 to 2022-05-03","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",38.177,27.18,39.703,38.788,32.589,40.319,36.459,33.641,32.604,43.631,9.483,24.124,35.591,36.302,19.668,8.82,5.818,17.717,8.792,16.803,24.961,18.662,23.8,11.028,17.485,13.337,13.578,8.859,13.92,12.145,13.185,5.15,5.804,1.853,10.268,17.379,20.469,29.857,21.403,18.103,11.498,17.278,18.804,15.788,18.317,20.984,18.257,19.359,19.048,13.712,12.715,16.257,18.658,17.535,21.217,60.089,37.101,28.463,25.165,17.318,5.214
"B Annualized Returns",6.146,8.88,8.754,8.889,10.988,13.295,9.3,6.785,6.72,7.591,9.081,7.713,6.55,5.338,1.943,1.611,-3.031,1.097,2.095,2.653,3.49,3.151,5.235,4.499,5.085,2.652,2.046,3.251,2.889,5.111,3.197,-6.383,-1.692,-1.623,-1.131,-0.055,1.977,1.018,2.552,6.163,10.099,6.012,6.101,7.445,7.437,11.679,10.85,11.372,12.469,10.527,13.783,11.653,12.71,11.808,14.648,27.013,18.555,16.757,11.772,10.325,7.673
"AR DIFF(P-B)",32.031,18.3,30.949,29.899,21.601,27.024,27.159,26.856,25.884,36.04,0.402000000000001,16.411,29.041,30.964,17.725,7.209,8.849,16.62,6.697,14.15,21.471,15.511,18.565,6.529,12.4,10.685,11.532,5.608,11.031,7.034,9.988,11.533,7.496,3.476,11.399,17.434,18.492,28.839,18.851,11.94,1.399,11.266,12.703,8.343,10.88,9.305,7.407,7.987,6.579,3.185,-1.068,4.604,5.948,5.727,6.569,33.076,18.546,11.706,13.393,6.993,-2.459
"P Volatility",18.28,18.21,18.3,16.19,14.66,19.63,13.61,17.95,13.49,14.53,8.44,16.63,13.4,16.61,14.78,11.21,12.25,12.65,11.62,17.79,20.85,21.62,21.43,11.65,19.2,19.11,16.19,15.48,13.81,12.35,12.85,20.37,20.62,22.35,24.8,25.58,23.24,24.98,24.86,23.43,23.71,26.8,25.95,26.3,23.33,27.77,24.52,28.8,25.8,21.44,22.56,27.78,22.04,23.35,18.28,19.96,13.42,14.82,13.77,16.84,15.07
"B Volatility",7.61,7.29,7.05,6.8,6.65,5.77,5.82,5.82,6.09,6.09,6.31,6,6,6.16,8.04,8.04,8.02,9.4,11.64,11.4,11.8,11.8,11.98,11.98,11.98,11.72,11.72,11.78,12.03,11.96,12.2,17.88,18.1,18.68,19.02,19.02,19.41,18.73,18.73,19.24,18.69,17.88,18.35,18.68,18.34,18.25,18.67,18.28,18.25,18.6,18.27,18.67,18.67,18.31,11.45,11.45,10.74,11.12,11.12,12.42,12.26
"V DIFF(P-B)",10.67,10.92,11.25,9.39,8.01,13.86,7.79,12.13,7.4,8.44,2.13,10.63,7.4,10.45,6.74,3.17,4.23,3.25,-0.0200000000000014,6.39,9.05,9.82,9.45,-0.33,7.22,7.39,4.47,3.7,1.78,0.389999999999999,0.65,2.49,2.52,3.67,5.78,6.56,3.83,6.25,6.13,4.19,5.02,8.92,7.6,7.62,4.99,9.52,5.85,10.52,7.55,2.84,4.29,9.11,3.37,5.04,6.83,8.51,2.68,3.7,2.65,4.42,2.81
"P Tracking Error",15.89,16.75,16.58,14.45,13.59,19.24,12.62,16.43,13.49,14.14,7.19,15.7,12.95,17.44,13.45,9.86,11.02,9.6,5.65,10.22,13.46,14.91,14.03,7.07,11.36,12.67,10.4,9.86,8.8,7.45,8.33,7.46,7.06,10.13,9.33,11.66,14.32,15.9,13.93,10.2,12.07,15.87,14.63,12.21,12.86,13.66,11.93,16.46,13.87,10.37,7.59,13.75,8.24,9.04,10.85,12.73,8.29,8.72,9.71,7.98,6.4
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
