"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.526,30.359,36.938,35.669,34.735,29.856,34.672,32.555,26.3,35.164,30.928,19.587,14.707,11.432,16.757,17.09,18.035,20.474,18.962,23.314,21.514,19.895,10.279,12.772,6.837,7.852,12.991,14.748,-1.795,11.805,13.852,13.91,20.436,13.487,23.64,9.788,11.97,8.558,15.328,15.311,14.716,12.674,22.95,16.365,21.134,20.625,17.605,19.947,11.59,17.031,17.693,20.315,60.46,35.622,36.049,21.384,16.555,18.203
"B Annualized Returns",9.908,13.106,13.295,9.399,7.159,7.269,7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",11.618,17.253,23.643,26.27,27.576,22.587,27.081,24.696,18.499,28.614,25.067,17.644,13.681,14.574,15.66,15.172,15.166,16.984,16.449,17.7,17.015,14.642,7.578,10.726,3.67,5.145,7.978,11.114,3.724,13.406,14.231,15.041,20.491,12.091,22.622,7.458,5.076,-1.541,8.645,9.21,7.271,5.245,11.945,5.515,8.318,7.864,6.699,6.751,-0.0630000000000006,4.321,6.914,5.667,33.447,15.832,19.245,10.586,6.797,10.53
"P Volatility",14.15,13.81,14.92,13.45,14.57,15.1,15.73,16.17,14.43,13.19,16.56,14.56,10.78,13.27,12.6,16.44,17.46,19.01,22.77,21.24,20.58,21.39,11.05,16.41,14.1,14.08,12.09,14.08,19.75,22.93,22.82,22.27,24.2,25.15,26.59,25.78,26.08,22.47,24.19,23.9,25.06,24.92,26.23,23.67,26.22,26.71,20.78,27.64,24.34,25.52,26.07,16.55,22.45,14.24,16.06,17.3,17.16,19.27
"B Volatility",6.65,5.43,5.77,5.82,5.88,6.09,6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",7.5,8.38,9.15,7.63,8.69,9.01,9.64,10.28,8.43,7.19,10.4,6.52,2.76,3.87,3.2,4.8,5.81,7.21,10.78,9.26,8.6,9.57,-0.67,4.69,2.07,2.12,0.34,1.88,1.87,4.02,3.73,3.25,5.18,5.74,7.86,6.9,6.84,3.78,5.97,5.55,6.38,6.73,7.98,5,7.96,8.46,2.44,9.06,5.67,6.85,7.76,5.1,11,3.36,4.94,4.88,4.74,7.01
"P Tracking Error",13.22,13.23,14.54,12.47,14.17,14.55,15.23,15.2,14.47,13.07,17.13,13.29,9.73,11.24,10.86,10.47,11.14,12.5,15.33,13.57,13.72,14.57,9.6,10.66,8.63,7.89,6.46,10.14,6.76,9.21,10.49,8.87,12.01,16.02,17.94,12.97,13.11,7.77,10.09,14.74,14.33,11.47,13.51,8.2,13.72,14.25,10.54,14.72,12.52,12.8,10.61,7.41,15.04,8.48,10.17,9,8.85,10.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
