"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",34.857,29.314,14.847,10.095,6.578,16.735,16.101,18.13,21.321,20.671,22.157,22.017,17.512,15.221,15.389,14.695,10.104,14.799,9.706,1.743,13.252,10.567,13.876,20.282,28.535,26.408,24.732,26.83,23.617,18.169,17.593,19.666,19.992,22.572,17.254,19.683,20.96,19.656,22.393,18.512,17.828,14.69,21.32,58.972,35.194,34.336,20.116,16.22,18.169
"B Annualized Returns",6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",28.307,23.453,12.904,9.069,9.72,15.638,14.183,15.261,17.831,18.158,16.543,17.518,12.259,12.52,13.343,11.528,7.397,9.786,6.072,7.262,14.853,10.946,15.007,20.337,27.139,25.39,22.402,19.936,13.518,11.486,11.492,12.221,12.563,11.567,6.404,6.867,8.199,8.75,9.197,6.859,5.118,3.911,6.672,31.959,15.404,17.532,9.318,6.462,10.496
"P Volatility",13.41,16.89,14.19,10.72,12.84,13.21,16.33,17.54,19.09,21.22,21.2,18.64,20.7,18.65,16.47,15.86,14.23,13.96,12.98,18.32,25.42,23.05,22.43,22.24,24.46,25.11,25.38,26.85,27.48,25.94,23.7,23.5,24.8,25.94,27.67,30.15,29.56,24.67,28.53,25.03,24.3,26.18,18.91,21.24,15.08,14.99,18.56,17.84,18.57
"B Volatility",6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",7.41,10.73,6.15,2.7,3.44,3.81,4.69,5.89,7.29,9.23,9.22,6.66,8.88,6.93,4.75,3.83,2.27,2.21,0.780000000000001,0.440000000000001,6.51,3.96,3.41,3.22,5.05,6.38,6.5,7.61,8.79,7.72,5.35,4.82,6.61,7.69,9,11.89,11.31,6.33,9.95,6.36,5.63,7.87,7.46,9.79,4.2,3.87,6.14,5.42,6.31
"P Tracking Error",13.29,17,12.29,9.31,10.25,10.55,10.29,11.39,12.74,14.24,13.43,12.36,13.41,12.94,11.16,10.2,9.09,8.82,7.24,7.34,12.11,9.97,8.04,9.23,15.55,16.08,14.06,15.7,11.35,11.23,8.54,8.38,10.54,10.92,11.67,14.84,16.91,10.33,15.3,12.84,11.85,13.09,11.81,13.54,7.92,8.64,10.18,10.01,10.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
